Absolute Discount,Billing Country,Close Date Year,List Price,Opportunity Type,Product Family,Product Name,Quantity,Sales Price,Total List Price,Total Price
48570,Mexico,2029,150,New Business / Add-on,Digital Media,Books,1619,120,242850,194280
180225,Mexico,2029,450,New Business / Add-on,Phones,Space phone 2,801,225,360450,180225
21750,Germany,2029,300,New Business,Digital Media,Books,725,240,108750,87000
726000,Brazil,2029,4000,New Business,Tablets,Light tablet 2,4840,3400,4840000,4114000
313200,Brazil,2029,450,New Business,Phones,Space phone 2,1392,225,626400,313200
18250,Brazil,2029,60,New Business,Accessories,Mouse,1825,50,109500,91250
186700,Brazil,2029,1200,New Business,Laptops,Notebook,1867,1100,2240400,2053700
331200,Brazil,2029,800,New Business,Tablets,Light tablet,1656,600,1324800,993600
45360,Brazil,2029,150,New Business,Digital Media,Books,1512,120,226800,181440
815700,Canada,2029,5000,New Business,Tablets,Light tablet 2,5438,4250,5438000,4622300
0,Japan,2029,0,Existing Business,,,0,0,0,0
13850,Germany,2029,50,New Business / Add-on,Accessories,Cables,1385,40,69250,55400
39400,Germany,2029,600,New Business / Add-on,Tablets,Mini tablet,197,400,118200,78800
131300,Germany,2029,1200,New Business / Add-on,Laptops,Notebook,1313,1100,1575600,1444300
21810,Singapore,2029,150,New Business,Digital Media,Books,727,120,109050,87240
183800,USA,2029,3200,New Business / Add-on,Laptops,Pro laptop,919,2800,1470400,1286600
175100,Japan,2029,2400,New Business,Laptops,Notebook,1751,2200,2101200,1926100
156900,Japan,2029,1400,New Business,Laptops,Light laptop,1046,1250,1464400,1307500
296850,Japan,2029,1400,Existing Business,Laptops,Light laptop,1979,1250,2770600,2473750
38680,Japan,2029,150,Existing Business,Accessories,Cables,3868,120,193400,154720
126450,Japan,2029,450,Existing Business,Phones,Space phone 2,562,225,252900,126450
77730,Taiwan,2029,450,New Business / Add-on,Digital Media,Books,2591,360,388650,310920
9510,Taiwan,2029,100,New Business / Add-on,Accessories,Keyboard,951,90,95100,85590
0,Canada,2029,0,Existing Business,,,0,0,0,0
17090,Italy,2029,100,New Business,Accessories,Cables,1709,80,85450,68360
0,Taiwan,2029,500,New Business / Add-on,Digital Media,Certifications,527,500,263500,263500
78900,Sweden,2029,1400,New Business / Add-on,Laptops,Light laptop,526,1250,736400,657500
4840,Sweden,2029,60,New Business / Add-on,Accessories,Mouse,484,50,29040,24200
378400,Sweden,2029,600,New Business / Add-on,Tablets,Mini tablet,1892,400,1135200,756800
442200,Canada,2029,2800,New Business,Laptops,Light laptop,2948,2500,4127200,3685000
16380,Canada,2029,200,Existing Business,Accessories,Keyboard,1638,180,163800,147420
174240,Canada,2029,600,Existing Business,Digital Media,Books,5808,480,871200,696960
36640,Japan,2029,100,New Business / Add-on,Accessories,Cables,3664,80,183200,146560
270750,Singapore,2029,1400,New Business / Add-on,Laptops,Light laptop,1805,1250,2527000,2256250
5320,Singapore,2029,40,New Business / Add-on,Accessories,Cases,1064,35,42560,37240
6680,Singapore,2029,50,New Business / Add-on,Accessories,Cables,668,40,33400,26720
14100,Singapore,2029,650,New Business / Add-on,Tablets,Mini tablet 2,94,500,61100,47000
0,Australia,2029,0,Existing Business,,,0,0,0,0
76100,Singapore,2029,550,New Business / Add-on,Phones,Space phone 3,1522,500,837100,761000
7460,Switzerland,2029,50,New Business / Add-on,Accessories,Cables,746,40,37300,29840
98800,Switzerland,2029,1600,New Business / Add-on,Laptops,Pro laptop,494,1400,790400,691600
7870,Switzerland,2029,100,New Business / Add-on,Accessories,Keyboard,787,90,78700,70830
92000,Canada,2029,2000,New Business,Laptops,Mega laptop,230,1600,460000,368000
4230,Canada,2029,50,New Business / Add-on,Accessories,Cables,423,40,21150,16920
63720,Canada,2029,300,New Business / Add-on,Accessories,Mouse,6372,250,382320,318600
475800,USA,2029,4000,New Business / Add-on,Tablets,Light tablet,2379,3000,1903200,1427400
27840,China,2028,100,New Business,Accessories,Cables,2784,80,139200,111360
126400,China,2028,1600,New Business,Laptops,Pro laptop,632,1400,1011200,884800
10700,China,2028,1200,New Business,Laptops,Notebook,107,1100,128400,117700
74600,China,2028,600,New Business,Tablets,Mini tablet,373,400,223800,149200
33500,China,2028,550,New Business,Phones,Space phone 3,670,500,368500,335000
12810,China,2029,60,New Business / Add-on,Accessories,Mouse,1281,50,76860,64050
128250,China,2029,650,New Business / Add-on,Tablets,Mini tablet 2,855,500,555750,427500
0,Canada,2029,0,New Business,,,0,0,0,0
0,USA,2029,0,New Business,,,0,0,0,0
0,Hong Kong,2029,0,New Business / Add-on,,,0,0,0,0
420975,USA,2029,1350,New Business / Add-on,Phones,Space phone 2,1871,675,841950,420975
47850,France,2029,650,New Business,Tablets,Mini tablet 2,319,500,207350,159500
0,France,2029,500,New Business,Digital Media,Certifications,613,500,306500,306500
407200,Australia,2028,2000,New Business,Laptops,Mega laptop,1018,1600,2036000,1628800
0,Turkey,2029,0,New Business,,,0,0,0,0
352800,Taiwan,2029,2000,New Business,Laptops,Mega laptop,882,1600,1764000,1411200
202950,Singapore,2028,650,New Business / Add-on,Tablets,Mini tablet 2,1353,500,879450,676500
337800,Normway,2029,1600,New Business / Add-on,Tablets,Light tablet,1689,1200,1351200,1013400
71200,Germany,2029,600,New Business,Tablets,Mini tablet,356,400,213600,142400
0,Japan,2029,0,New Business / Add-on,,,0,0,0,0
141000,Japan,2029,1600,New Business,Laptops,Pro laptop,705,1400,1128000,987000
128050,USA,2029,2200,Existing Business,Phones,Space phone 3,2561,2000,1408550,1280500
1226550,USA,2029,8400,New Business,Laptops,Light laptop,8177,7500,11447800,10221250
0,Sweden,2029,0,New Business,,,0,0,0,0
0,Taiwan,2029,500,New Business,Digital Media,Certifications,1483,500,741500,741500
237300,Taiwan,2029,1400,New Business,Laptops,Light laptop,1582,1250,2214800,1977500
14470,France,2028,100,New Business,Accessories,Keyboard,1447,90,144700,130230
20650,USA,2028,150,New Business,Accessories,Cables,2065,120,103250,82600
138800,USA,2028,1650,New Business,Phones,Space phone 3,2776,1500,1526800,1388000
137700,Japan,2029,1650,New Business,Phones,Space phone 3,2754,1500,1514700,1377000
55200,United Kingdom,2029,550,New Business,Phones,Space phone 3,1104,500,607200,552000
14350,United Kingdom,2029,60,New Business,Accessories,Mouse,1435,50,86100,71750
881200,USA,2029,4000,New Business,Laptops,Mega laptop,2203,3200,4406000,3524800
42420,Canada,2029,450,New Business / Add-on,Digital Media,Books,1414,360,212100,169680
225200,USA,2028,800,New Business,Tablets,Light tablet,1126,600,900800,675600
32100,USA,2028,200,New Business,Accessories,Keyboard,3210,180,321000,288900
13110,India,2029,150,New Business / Add-on,Digital Media,Books,437,120,65550,52440
400000,Japan,2029,1600,New Business / Add-on,Laptops,Pro laptop,2000,1400,3200000,2800000
47250,Japan,2029,1000,New Business / Add-on,Tablets,Light tablet 2,315,850,315000,267750
12450,Japan,2029,650,New Business / Add-on,Tablets,Mini tablet 2,83,500,53950,41500
264400,Taiwan,2029,1600,New Business / Add-on,Laptops,Pro laptop,1322,1400,2115200,1850800
113550,Taiwan,2029,1000,New Business / Add-on,Tablets,Light tablet 2,757,850,757000,643450
239400,Taiwan,2029,2800,New Business / Add-on,Laptops,Light laptop,1596,2500,2234400,1995000
105250,Taiwan,2029,1100,New Business / Add-on,Phones,Space phone 3,2105,1000,1157750,1052500
325200,Australia,2029,800,New Business / Add-on,Tablets,Light tablet,1626,600,1300800,975600
4770,Australia,2029,150,New Business / Add-on,Digital Media,Books,159,120,23850,19080
150500,Canada,2029,1200,Existing Business,Laptops,Notebook,1505,1100,1806000,1655500
522200,Canada,2029,1600,Existing Business,Tablets,Light tablet,2611,1200,2088800,1566600
127800,Canada,2029,650,New Business / Add-on,Tablets,Mini tablet 2,852,500,553800,426000
125325,United Kingdom,2029,450,New Business,Phones,Space phone 2,557,225,250650,125325
0,Brazil,2029,0,New Business,,,0,0,0,0
0,Japan,2029,0,New Business,,,0,0,0,0
629400,Spain,2029,3200,New Business / Add-on,Laptops,Pro laptop,3147,2800,5035200,4405800
17990,Spain,2029,100,New Business / Add-on,Accessories,Cables,1799,80,89950,71960
218025,Spain,2029,450,New Business / Add-on,Phones,Space phone 2,969,225,436050,218025
52050,Thailand,2028,550,New Business / Add-on,Phones,Space phone 3,1041,500,572550,520500
10890,Mexico,2028,60,New Business,Accessories,Mouse,1089,50,65340,54450
191900,Mexico,2028,300,New Business,Digital Media,Courses,1919,200,575700,383800
338200,Mexico,2028,800,New Business,Tablets,Light tablet,1691,600,1352800,1014600
218850,Mexico,2028,650,New Business,Tablets,Mini tablet 2,1459,500,948350,729500
454950,USA,2029,1350,New Business,Phones,Space phone 2,2022,675,909900,454950
168400,USA,2029,600,New Business,Digital Media,Courses,1684,400,505200,336800
14850,Singapore,2029,60,New Business / Add-on,Accessories,Mouse,1485,50,89100,74250
13250,Singapore,2029,100,New Business / Add-on,Accessories,Keyboard,1325,90,132500,119250
93800,USA,2029,600,Existing Business,Tablets,Mini tablet,469,400,281400,187600
0,USA,2029,500,Existing Business,Digital Media,Certifications,53,500,26500,26500
124875,Canada,2028,450,New Business,Phones,Space phone 2,555,225,249750,124875
198600,Canada,2028,650,New Business,Tablets,Mini tablet 2,1324,500,860600,662000
0,United Kingdom,2029,0,New Business,,,0,0,0,0
113700,Italy,2029,1200,New Business,Laptops,Notebook,1137,1100,1364400,1250700
84450,Italy,2029,2800,New Business,Laptops,Light laptop,563,2500,788200,703750
310000,Italy,2029,1600,New Business,Laptops,Pro laptop,1550,1400,2480000,2170000
7430,Italy,2029,60,New Business,Accessories,Mouse,743,50,44580,37150
95250,China,2029,1000,New Business,Tablets,Light tablet 2,635,850,635000,539750
16850,China,2029,550,New Business,Phones,Space phone 3,337,500,185350,168500
163500,China,2029,600,New Business,Digital Media,Courses,1635,400,490500,327000
66300,China,2029,300,New Business,Digital Media,Books,2210,240,331500,265200
95250,China,2029,1300,New Business,Tablets,Mini tablet 2,635,1000,412750,317500
62700,Germany,2029,550,Existing Business,Phones,Space phone 3,1254,500,689700,627000
204900,Germany,2029,1000,Existing Business,Tablets,Light tablet 2,1366,850,1366000,1161100
14070,Germany,2029,100,Existing Business,Accessories,Keyboard,1407,90,140700,126630
186525,Germany,2029,450,Existing Business,Phones,Space phone 2,829,225,373050,186525
303400,Canada,2029,1600,New Business / Add-on,Tablets,Light tablet,1517,1200,1213600,910200
699600,Canada,2029,7000,New Business / Add-on,Laptops,Light laptop,4664,6250,6529600,5830000
9450,Hong Kong,2028,50,New Business / Add-on,Accessories,Cables,945,40,47250,37800
153600,Hong Kong,2028,1600,New Business / Add-on,Laptops,Pro laptop,768,1400,1228800,1075200
144900,USA,2029,3600,New Business,Laptops,Notebook,1449,3300,1738800,1593900
65400,USA,2029,800,New Business,Tablets,Light tablet,327,600,261600,196200
0,USA,2029,1000,New Business,Digital Media,Certifications,2829,1000,1414500,1414500
2610,Canada,2029,60,Existing Business,Accessories,Mouse,261,50,15660,13050
137400,Canada,2029,300,Existing Business,Digital Media,Courses,1374,200,412200,274800
98400,Canada,2029,600,New Business / Add-on,Digital Media,Courses,984,400,295200,196800
29150,USA,2029,300,New Business,Accessories,Keyboard,2915,270,291500,262350
33450,Normway,2028,150,New Business,Digital Media,Books,1115,120,167250,133800
799600,Korea,2028,2000,New Business,Laptops,Mega laptop,1999,1600,3998000,3198400
323550,Denmark,2029,450,Existing Business,Phones,Space phone 2,1438,225,647100,323550
3680,Singapore,2029,50,New Business,Accessories,Cables,368,40,18400,14720
57630,Switzerland,2029,150,New Business,Digital Media,Books,1921,120,288150,230520
0,Italy,2029,0,Existing Business,,,0,0,0,0
461100,Canada,2029,2000,New Business / Add-on,Tablets,Light tablet 2,3074,1700,3074000,2612900
0,Singapore,2028,0,New Business / Add-on,,,0,0,0,0
0,USA,2028,0,New Business,,,0,0,0,0
81000,Denmark,2029,1000,New Business,Tablets,Light tablet 2,540,850,540000,459000
140900,Denmark,2029,1200,New Business,Laptops,Notebook,1409,1100,1690800,1549900
63800,Mexico,2029,300,New Business,Digital Media,Courses,638,200,191400,127600
42250,Canada,2029,300,New Business,Accessories,Keyboard,4225,270,422500,380250
0,Australia,2028,0,New Business,,,0,0,0,0
597300,USA,2029,4200,New Business / Add-on,Laptops,Light laptop,3982,3750,5574800,4977500
12110,Canada,2028,100,Existing Business,Accessories,Cables,1211,80,60550,48440
12810,Japan,2029,100,New Business,Accessories,Keyboard,1281,90,128100,115290
12870,USA,2029,150,New Business / Add-on,Digital Media,Books,429,120,64350,51480
34300,Denmark,2029,300,New Business / Add-on,Digital Media,Courses,343,200,102900,68600
246825,Denmark,2029,450,New Business / Add-on,Phones,Space phone 2,1097,225,493650,246825
1400,Denmark,2029,550,New Business / Add-on,Phones,Space phone 3,28,500,15400,14000
115400,Spain,2029,300,New Business / Add-on,Digital Media,Courses,1154,200,346200,230800
44610,Spain,2029,150,New Business / Add-on,Digital Media,Books,1487,120,223050,178440
370200,Thailand,2029,1600,Existing Business,Laptops,Pro laptop,1851,1400,2961600,2591400
2510,Thailand,2029,50,Existing Business,Accessories,Cables,251,40,12550,10040
195075,Taiwan,2029,450,New Business / Add-on,Phones,Space phone 2,867,225,390150,195075
233100,India,2029,450,New Business / Add-on,Phones,Space phone 2,1036,225,466200,233100
4130,India,2029,40,New Business / Add-on,Accessories,Cases,826,35,33040,28910
68600,India,2029,600,New Business / Add-on,Tablets,Mini tablet,343,400,205800,137200
97050,India,2029,1400,New Business / Add-on,Laptops,Light laptop,647,1250,905800,808750
16480,Canada,2028,50,New Business,Accessories,Cables,1648,40,82400,65920
82500,USA,2028,1000,New Business,Tablets,Light tablet 2,550,850,550000,467500
102300,Thailand,2029,300,Existing Business,Digital Media,Courses,1023,200,306900,204600
805950,Canada,2029,2250,New Business / Add-on,Phones,Space phone 2,3582,1125,1611900,805950
6110,USA,2029,40,New Business,Accessories,Cases,1222,35,48880,42770
151600,USA,2028,1200,New Business / Add-on,Laptops,Notebook,1516,1100,1819200,1667600
14560,Russian,2029,100,New Business,Accessories,Cables,1456,80,72800,58240
334800,Russian,2029,2000,New Business,Laptops,Mega laptop,837,1600,1674000,1339200
164250,India,2029,450,New Business,Phones,Space phone 2,730,225,328500,164250
43350,India,2029,1100,New Business,Phones,Space phone 3,867,1000,476850,433500
296100,Russian,2029,450,Existing Business,Phones,Space phone 2,1316,225,592200,296100
6250,Russian,2029,100,Existing Business,Accessories,Keyboard,625,90,62500,56250
2280,Normway,2028,150,New Business / Add-on,Digital Media,Books,76,120,11400,9120
5885,Normway,2028,40,New Business / Add-on,Accessories,Cases,1177,35,47080,41195
28950,Normway,2028,550,New Business / Add-on,Phones,Space phone 3,579,500,318450,289500
21000,Normway,2029,650,New Business / Add-on,Tablets,Mini tablet 2,140,500,91000,70000
130950,Thailand,2029,650,Existing Business,Tablets,Mini tablet 2,873,500,567450,436500
0,Australia,2029,0,New Business,,,0,0,0,0
25950,Canada,2028,550,New Business,Phones,Space phone 3,519,500,285450,259500
8940,Canada,2029,60,New Business,Accessories,Mouse,894,50,53640,44700
280500,Canada,2029,900,New Business,Digital Media,Courses,2805,600,841500,561000
376000,Canada,2029,1600,New Business,Laptops,Pro laptop,1880,1400,3008000,2632000
200450,Canada,2029,2750,Existing Business,Phones,Space phone 3,4009,2500,2204950,2004500
785025,Canada,2029,900,Existing Business,Phones,Space phone 2,3489,450,1570050,785025
4100,Canada,2029,50,Existing Business,Accessories,Cables,410,40,20500,16400
308850,Canada,2029,2800,Existing Business,Laptops,Light laptop,2059,2500,2882600,2573750
225450,Canada,2029,1000,Existing Business,Tablets,Light tablet 2,1503,850,1503000,1277550
193650,USA,2028,1400,New Business,Laptops,Light laptop,1291,1250,1807400,1613750
214500,USA,2028,650,New Business,Tablets,Mini tablet 2,1430,500,929500,715000
14300,USA,2028,60,New Business,Accessories,Mouse,1430,50,85800,71500
1400,Japan,2028,300,New Business,Digital Media,Courses,14,200,4200,2800
201750,Japan,2028,1400,New Business,Laptops,Light laptop,1345,1250,1883000,1681250
0,Canada,2029,0,New Business / Add-on,,,0,0,0,0
167550,Normway,2029,650,New Business,Tablets,Mini tablet 2,1117,500,726050,558500
765200,Normway,2029,6000,New Business,Laptops,Mega laptop,1913,4800,3826000,3060800
205200,Normway,2029,600,New Business,Tablets,Mini tablet,1026,400,615600,410400
26450,Canada,2029,200,New Business / Add-on,Accessories,Keyboard,2645,180,264500,238050
216300,Singapore,2028,1400,New Business,Laptops,Light laptop,1442,1250,2018800,1802500
31450,Denmark,2028,550,New Business,Phones,Space phone 3,629,500,345950,314500
190650,Denmark,2028,1400,New Business,Laptops,Light laptop,1271,1250,1779400,1588750
57360,Denmark,2028,150,New Business,Digital Media,Books,1912,120,286800,229440
449600,Canada,2029,2000,New Business / Add-on,Laptops,Mega laptop,1124,1600,2248000,1798400
242400,India,2028,1000,New Business,Tablets,Light tablet 2,1616,850,1616000,1373600
11260,India,2028,50,New Business,Accessories,Cables,1126,40,56300,45040
15400,Sweden,2029,50,Existing Business,Accessories,Cables,1540,40,77000,61600
27750,Sweden,2029,1400,Existing Business,Laptops,Light laptop,185,1250,259000,231250
79300,Sweden,2029,550,Existing Business,Phones,Space phone 3,1586,500,872300,793000
310000,Sweden,2029,2000,Existing Business,Laptops,Mega laptop,775,1600,1550000,1240000
76650,China,2028,1400,New Business / Add-on,Laptops,Light laptop,511,1250,715400,638750
272850,Korea,2028,1000,New Business,Tablets,Light tablet 2,1819,850,1819000,1546150
170200,Korea,2028,600,New Business,Tablets,Mini tablet,851,400,510600,340400
26290,Switzerland,2029,200,New Business,Accessories,Keyboard,2629,180,262900,236610
12440,India,2029,50,New Business / Add-on,Accessories,Cables,1244,40,62200,49760
7950,Germany,2029,650,New Business,Tablets,Mini tablet 2,53,500,34450,26500
58740,Hong Kong,2029,150,New Business / Add-on,Digital Media,Books,1958,120,293700,234960
32750,Hong Kong,2029,550,New Business / Add-on,Phones,Space phone 3,655,500,360250,327500
9600,Hong Kong,2029,1400,New Business / Add-on,Laptops,Light laptop,64,1250,89600,80000
910,Hong Kong,2029,50,New Business / Add-on,Accessories,Cables,91,40,4550,3640
158175,Hong Kong,2029,450,New Business / Add-on,Phones,Space phone 2,703,225,316350,158175
0,Denmark,2029,0,Existing Business,,,0,0,0,0
0,Sweden,2029,0,New Business / Add-on,,,0,0,0,0
584800,Brazil,2028,4000,New Business,Laptops,Mega laptop,1462,3200,2924000,2339200
38400,Singapore,2029,600,New Business,Tablets,Mini tablet,192,400,115200,76800
26700,Brazil,2029,550,Existing Business,Phones,Space phone 3,534,500,293700,267000
13650,Brazil,2029,150,Existing Business,Digital Media,Books,455,120,68250,54600
13760,Brazil,2029,60,Existing Business,Accessories,Mouse,1376,50,82560,68800
22330,Singapore,2028,100,Existing Business,Accessories,Cables,2233,80,111650,89320
8080,Denmark,2029,100,New Business / Add-on,Accessories,Keyboard,808,90,80800,72720
63000,Sweden,2029,600,Existing Business,Tablets,Mini tablet,315,400,189000,126000
189200,Sweden,2029,1200,Existing Business,Laptops,Notebook,1892,1100,2270400,2081200
62400,Switzerland,2029,2000,New Business / Add-on,Laptops,Mega laptop,156,1600,312000,249600
16460,Thailand,2029,100,New Business,Accessories,Keyboard,1646,90,164600,148140
86450,Thailand,2029,550,New Business,Phones,Space phone 3,1729,500,950950,864500
359200,Spain,2029,2000,New Business / Add-on,Laptops,Mega laptop,898,1600,1796000,1436800
159000,Spain,2029,1000,New Business / Add-on,Tablets,Light tablet 2,1060,850,1060000,901000
13060,Belgium,2029,60,New Business,Accessories,Mouse,1306,50,78360,65300
100200,Belgium,2029,650,New Business,Tablets,Mini tablet 2,668,500,434200,334000
23625,Normway,2029,450,New Business,Phones,Space phone 2,105,225,47250,23625
102050,Normway,2029,1100,New Business,Phones,Space phone 3,2041,1000,1122550,1020500
49300,Italy,2029,300,New Business,Digital Media,Courses,493,200,147900,98600
7065,Italy,2029,40,New Business,Accessories,Cases,1413,35,56520,49455
91900,Canada,2029,1200,New Business,Laptops,Notebook,919,1100,1102800,1010900
0,China,2029,0,New Business,,,0,0,0,0
0,Canada,2029,500,Existing Business,Digital Media,Certifications,798,500,399000,399000
517600,Canada,2029,3200,Existing Business,Laptops,Pro laptop,2588,2800,4140800,3623200
1034000,Canada,2029,4000,Existing Business,Laptops,Mega laptop,2585,3200,5170000,4136000
376400,Japan,2029,600,Existing Business,Tablets,Mini tablet,1882,400,1129200,752800
141100,Japan,2029,1100,New Business / Add-on,Phones,Space phone 3,2822,1000,1552100,1411000
442000,USA,2029,2000,New Business / Add-on,Laptops,Mega laptop,1105,1600,2210000,1768000
3830,Thailand,2029,40,New Business,Accessories,Cases,766,35,30640,26810
218200,Thailand,2029,800,New Business,Tablets,Light tablet,1091,600,872800,654600
89550,Sweden,2029,1100,New Business,Phones,Space phone 3,1791,1000,985050,895500
42525,Sweden,2029,450,New Business,Phones,Space phone 2,189,225,85050,42525
18170,India,2029,100,New Business,Accessories,Keyboard,1817,90,181700,163530
18310,USA,2029,50,Existing Business,Accessories,Cables,1831,40,91550,73240
2350,Mexico,2029,100,New Business / Add-on,Accessories,Cables,235,80,11750,9400
92350,Mexico,2029,550,New Business / Add-on,Phones,Space phone 3,1847,500,1015850,923500
489600,India,2029,3200,Existing Business,Laptops,Pro laptop,2448,2800,3916800,3427200
4080,India,2029,100,Existing Business,Accessories,Keyboard,408,90,40800,36720
357800,Japan,2029,600,New Business,Tablets,Mini tablet,1789,400,1073400,715600
129200,USA,2029,1200,New Business / Add-on,Laptops,Notebook,1292,1100,1550400,1421200
195600,Denmark,2029,1200,Existing Business,Laptops,Notebook,1956,1100,2347200,2151600
377000,Canada,2028,1600,New Business,Laptops,Pro laptop,1885,1400,3016000,2639000
213150,Canada,2028,1400,New Business,Laptops,Light laptop,1421,1250,1989400,1776250
83400,Canada,2028,800,New Business,Tablets,Light tablet,417,600,333600,250200
87900,Canada,2028,300,New Business,Digital Media,Courses,879,200,263700,175800
487200,China,2029,2000,Existing Business,Laptops,Mega laptop,1218,1600,2436000,1948800
623200,USA,2028,2000,New Business / Add-on,Laptops,Mega laptop,1558,1600,3116000,2492800
232800,USA,2028,1000,New Business / Add-on,Tablets,Light tablet 2,1552,850,1552000,1319200
438750,USA,2028,450,New Business / Add-on,Phones,Space phone 2,1950,225,877500,438750
134000,USA,2028,1600,New Business / Add-on,Laptops,Pro laptop,670,1400,1072000,938000
461200,United Kingdom,2029,2000,New Business,Laptops,Mega laptop,1153,1600,2306000,1844800
9090,United Kingdom,2029,100,New Business,Accessories,Keyboard,909,90,90900,81810
22900,Brazil,2029,100,New Business / Add-on,Accessories,Cables,2290,80,114500,91600
102100,Brazil,2029,1100,New Business / Add-on,Phones,Space phone 3,2042,1000,1123100,1021000
0,USA,2029,500,New Business / Add-on,Digital Media,Certifications,224,500,112000,112000
4020,Japan,2028,150,Existing Business,Digital Media,Books,134,120,20100,16080
172800,Japan,2028,1200,Existing Business,Laptops,Notebook,1728,1100,2073600,1900800
129600,Japan,2028,800,Existing Business,Tablets,Light tablet,648,600,518400,388800
16170,Japan,2028,100,Existing Business,Accessories,Keyboard,1617,90,161700,145530
