Day,Source Data,Year,Month,Extent 10^6 sq km
5,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.05/nt_19781205_n07_v1.1_s.bin'],1978,12,12.829
7,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.07/nt_19781207_n07_v1.1_s.bin'],1978,12,12.436
9,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.09/nt_19781209_n07_v1.1_s.bin'],1978,12,11.963
11,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.11/nt_19781211_n07_v1.1_s.bin'],1978,12,11.652
13,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.13/nt_19781213_n07_v1.1_s.bin'],1978,12,11.148
15,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.15/nt_19781215_n07_v1.1_s.bin'],1978,12,10.664
17,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.17/nt_19781217_n07_v1.1_s.bin'],1978,12,10.239
19,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.19/nt_19781219_n07_v1.1_s.bin'],1978,12,9.758
21,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.21/nt_19781221_n07_v1.1_s.bin'],1978,12,9.362
23,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.23/nt_19781223_n07_v1.1_s.bin'],1978,12,8.706
25,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.25/nt_19781225_n07_v1.1_s.bin'],1978,12,8.362
27,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.27/nt_19781227_n07_v1.1_s.bin'],1978,12,7.907
29,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.29/nt_19781229_n07_v1.1_s.bin'],1978,12,7.588
31,['/ecs/DP1/PM/NSIDC-0051.001/1978.12.31/nt_19781231_n07_v1.1_s.bin'],1978,12,7.283
2,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.02/nt_19790102_n07_v1.1_s.bin'],1979,1,6.945
4,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.04/nt_19790104_n07_v1.1_s.bin'],1979,1,6.838
6,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.06/nt_19790106_n07_v1.1_s.bin'],1979,1,6.638
8,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.08/nt_19790108_n07_v1.1_s.bin'],1979,1,6.27
10,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.10/nt_19790110_n07_v1.1_s.bin'],1979,1,6.138
12,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.12/nt_19790112_n07_v1.1_s.bin'],1979,1,5.952
14,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.14/nt_19790114_n07_v1.1_s.bin'],1979,1,5.564
16,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.16/nt_19790116_n07_v1.1_s.bin'],1979,1,5.379
18,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.18/nt_19790118_n07_v1.1_s.bin'],1979,1,5.233
20,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.20/nt_19790120_n07_v1.1_s.bin'],1979,1,4.984
22,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.22/nt_19790122_n07_v1.1_s.bin'],1979,1,4.609
24,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.24/nt_19790124_n07_v1.1_s.bin'],1979,1,4.397
26,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.26/nt_19790126_n07_v1.1_s.bin'],1979,1,4.184
28,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.28/nt_19790128_n07_v1.1_s.bin'],1979,1,4.004
30,['/ecs/DP1/PM/NSIDC-0051.001/1979.01.30/nt_19790130_n07_v1.1_s.bin'],1979,1,3.898
1,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.01/nt_19790201_n07_v1.1_s.bin'],1979,2,3.704
3,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.03/nt_19790203_n07_v1.1_s.bin'],1979,2,3.516
5,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.05/nt_19790205_n07_v1.1_s.bin'],1979,2,3.367
7,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.07/nt_19790207_n07_v1.1_s.bin'],1979,2,3.326
9,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.09/nt_19790209_n07_v1.1_s.bin'],1979,2,3.212
11,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.11/nt_19790211_n07_v1.1_s.bin'],1979,2,3.043
13,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.13/nt_19790213_n07_v1.1_s.bin'],1979,2,3.049
15,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.15/nt_19790215_n07_v1.1_s.bin'],1979,2,2.916
17,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.17/nt_19790217_n07_v1.1_s.bin'],1979,2,2.911
19,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.19/nt_19790219_n07_v1.1_s.bin'],1979,2,2.95
21,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.21/nt_19790221_n07_v1.1_s.bin'],1979,2,2.945
23,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.23/nt_19790223_n07_v1.1_s.bin'],1979,2,2.924
25,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.25/nt_19790225_n07_v1.1_s.bin'],1979,2,2.996
27,['/ecs/DP1/PM/NSIDC-0051.001/1979.02.27/nt_19790227_n07_v1.1_s.bin'],1979,2,3.116
1,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.01/nt_19790301_n07_v1.1_s.bin'],1979,3,3.248
3,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.03/nt_19790303_n07_v1.1_s.bin'],1979,3,3.079
5,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.05/nt_19790305_n07_v1.1_s.bin'],1979,3,3.228
7,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.07/nt_19790307_n07_v1.1_s.bin'],1979,3,3.308
9,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.09/nt_19790309_n07_v1.1_s.bin'],1979,3,3.366
11,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.11/nt_19790311_n07_v1.1_s.bin'],1979,3,3.443
13,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.13/nt_19790313_n07_v1.1_s.bin'],1979,3,3.594
15,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.15/nt_19790315_n07_v1.1_s.bin'],1979,3,3.721
17,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.17/nt_19790317_n07_v1.1_s.bin'],1979,3,3.832
19,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.19/nt_19790319_n07_v1.1_s.bin'],1979,3,4.091
21,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.21/nt_19790321_n07_v1.1_s.bin'],1979,3,4.248
23,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.23/nt_19790323_n07_v1.1_s.bin'],1979,3,4.5
25,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.25/nt_19790325_n07_v1.1_s.bin'],1979,3,4.818
27,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.27/nt_19790327_n07_v1.1_s.bin'],1979,3,4.894
29,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.29/nt_19790329_n07_v1.1_s.bin'],1979,3,5.208
31,['/ecs/DP1/PM/NSIDC-0051.001/1979.03.31/nt_19790331_n07_v1.1_s.bin'],1979,3,5.411
2,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.02/nt_19790402_n07_v1.1_s.bin'],1979,4,5.649
4,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.04/nt_19790404_n07_v1.1_s.bin'],1979,4,5.826
6,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.06/nt_19790406_n07_v1.1_s.bin'],1979,4,6.152
8,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.08/nt_19790408_n07_v1.1_s.bin'],1979,4,6.409
10,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.10/nt_19790410_n07_v1.1_s.bin'],1979,4,6.806
12,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.12/nt_19790412_n07_v1.1_s.bin'],1979,4,7.149
14,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.14/nt_19790414_n07_v1.1_s.bin'],1979,4,7.309
16,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.16/nt_19790416_n07_v1.1_s.bin'],1979,4,7.587
18,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.18/nt_19790418_n07_v1.1_s.bin'],1979,4,7.742
20,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.20/nt_19790420_n07_v1.1_s.bin'],1979,4,8.01
22,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.22/nt_19790422_n07_v1.1_s.bin'],1979,4,8.273
24,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.24/nt_19790424_n07_v1.1_s.bin'],1979,4,8.572
26,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.26/nt_19790426_n07_v1.1_s.bin'],1979,4,8.791
28,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.28/nt_19790428_n07_v1.1_s.bin'],1979,4,8.97
30,['/ecs/DP1/PM/NSIDC-0051.001/1979.04.30/nt_19790430_n07_v1.1_s.bin'],1979,4,9.038
2,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.02/nt_19790502_n07_v1.1_s.bin'],1979,5,9.162
4,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.04/nt_19790504_n07_v1.1_s.bin'],1979,5,9.498
6,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.06/nt_19790506_n07_v1.1_s.bin'],1979,5,9.968
8,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.08/nt_19790508_n07_v1.1_s.bin'],1979,5,9.848
10,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.10/nt_19790510_n07_v1.1_s.bin'],1979,5,10.109
12,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.12/nt_19790512_n07_v1.1_s.bin'],1979,5,10.342
14,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.14/nt_19790514_n07_v1.1_s.bin'],1979,5,10.656
16,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.16/nt_19790516_n07_v1.1_s.bin'],1979,5,10.953
18,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.18/nt_19790518_n07_v1.1_s.bin'],1979,5,11.145
20,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.20/nt_19790520_n07_v1.1_s.bin'],1979,5,11.273
22,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.22/nt_19790522_n07_v1.1_s.bin'],1979,5,11.458
24,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.24/nt_19790524_n07_v1.1_s.bin'],1979,5,11.634
26,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.26/nt_19790526_n07_v1.1_s.bin'],1979,5,11.868
28,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.28/nt_19790528_n07_v1.1_s.bin'],1979,5,12.116
30,['/ecs/DP1/PM/NSIDC-0051.001/1979.05.30/nt_19790530_n07_v1.1_s.bin'],1979,5,12.37
1,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.01/nt_19790601_n07_v1.1_s.bin'],1979,6,12.654
3,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.03/nt_19790603_n07_v1.1_s.bin'],1979,6,13.061
5,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.05/nt_19790605_n07_v1.1_s.bin'],1979,6,13.24
7,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.07/nt_19790607_n07_v1.1_s.bin'],1979,6,13.452
9,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.09/nt_19790609_n07_v1.1_s.bin'],1979,6,13.523
11,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.11/nt_19790611_n07_v1.1_s.bin'],1979,6,13.661
13,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.13/nt_19790613_n07_v1.1_s.bin'],1979,6,13.748
15,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.15/nt_19790615_n07_v1.1_s.bin'],1979,6,13.952
17,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.17/nt_19790617_n07_v1.1_s.bin'],1979,6,14.26
19,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.19/nt_19790619_n07_v1.1_s.bin'],1979,6,14.588
21,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.21/nt_19790621_n07_v1.1_s.bin'],1979,6,14.909
23,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.23/nt_19790623_n07_v1.1_s.bin'],1979,6,15.227
25,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.25/nt_19790625_n07_v1.1_s.bin'],1979,6,15.371
27,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.27/nt_19790627_n07_v1.1_s.bin'],1979,6,15.513
29,['/ecs/DP1/PM/NSIDC-0051.001/1979.06.29/nt_19790629_n07_v1.1_s.bin'],1979,6,15.646
1,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.01/nt_19790701_n07_v1.1_s.bin'],1979,7,15.685
3,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.03/nt_19790703_n07_v1.1_s.bin'],1979,7,15.779
5,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.05/nt_19790705_n07_v1.1_s.bin'],1979,7,15.896
7,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.07/nt_19790707_n07_v1.1_s.bin'],1979,7,15.947
9,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.09/nt_19790709_n07_v1.1_s.bin'],1979,7,16.128
11,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.11/nt_19790711_n07_v1.1_s.bin'],1979,7,16.235
13,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.13/nt_19790713_n07_v1.1_s.bin'],1979,7,16.408
15,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.15/nt_19790715_n07_v1.1_s.bin'],1979,7,16.588
17,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.17/nt_19790717_n07_v1.1_s.bin'],1979,7,16.661
19,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.19/nt_19790719_n07_v1.1_s.bin'],1979,7,16.794
21,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.21/nt_19790721_n07_v1.1_s.bin'],1979,7,16.864
23,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.23/nt_19790723_n07_v1.1_s.bin'],1979,7,16.93
25,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.25/nt_19790725_n07_v1.1_s.bin'],1979,7,17.144
27,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.27/nt_19790727_n07_v1.1_s.bin'],1979,7,17.042
29,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.29/nt_19790729_n07_v1.1_s.bin'],1979,7,17.11
31,['/ecs/DP1/PM/NSIDC-0051.001/1979.07.31/nt_19790731_n07_v1.1_s.bin'],1979,7,17.059
2,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.02/nt_19790802_n07_v1.1_s.bin'],1979,8,16.944
4,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.04/nt_19790804_n07_v1.1_s.bin'],1979,8,17.022
6,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.06/nt_19790806_n07_v1.1_s.bin'],1979,8,16.983
8,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.08/nt_19790808_n07_v1.1_s.bin'],1979,8,17
10,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.10/nt_19790810_n07_v1.1_s.bin'],1979,8,17.181
12,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.12/nt_19790812_n07_v1.1_s.bin'],1979,8,17.506
14,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.14/nt_19790814_n07_v1.1_s.bin'],1979,8,17.62
16,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.16/nt_19790816_n07_v1.1_s.bin'],1979,8,17.876
18,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.18/nt_19790818_n07_v1.1_s.bin'],1979,8,18.118
20,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.20/nt_19790820_n07_v1.1_s.bin'],1979,8,18.136
22,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.22/nt_19790822_n07_v1.1_s.bin'],1979,8,18.283
24,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.24/nt_19790824_n07_v1.1_s.bin'],1979,8,18.268
26,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.26/nt_19790826_n07_v1.1_s.bin'],1979,8,18.203
28,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.28/nt_19790828_n07_v1.1_s.bin'],1979,8,18.159
30,['/ecs/DP1/PM/NSIDC-0051.001/1979.08.30/nt_19790830_n07_v1.1_s.bin'],1979,8,18.175
1,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.01/nt_19790901_n07_v1.1_s.bin'],1979,9,18.187
3,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.03/nt_19790903_n07_v1.1_s.bin'],1979,9,18.197
5,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.05/nt_19790905_n07_v1.1_s.bin'],1979,9,18.295
7,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.07/nt_19790907_n07_v1.1_s.bin'],1979,9,18.28
9,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.09/nt_19790909_n07_v1.1_s.bin'],1979,9,18.215
11,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.11/nt_19790911_n07_v1.1_s.bin'],1979,9,18.264
13,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.13/nt_19790913_n07_v1.1_s.bin'],1979,9,18.361
15,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.15/nt_19790915_n07_v1.1_s.bin'],1979,9,18.326
17,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.17/nt_19790917_n07_v1.1_s.bin'],1979,9,18.105
19,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.19/nt_19790919_n07_v1.1_s.bin'],1979,9,17.978
21,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.21/nt_19790921_n07_v1.1_s.bin'],1979,9,18.117
23,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.23/nt_19790923_n07_v1.1_s.bin'],1979,9,17.973
25,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.25/nt_19790925_n07_v1.1_s.bin'],1979,9,18.118
27,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.27/nt_19790927_n07_v1.1_s.bin'],1979,9,18.26
29,['/ecs/DP1/PM/NSIDC-0051.001/1979.09.29/nt_19790929_n07_v1.1_s.bin'],1979,9,18.257
1,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.01/nt_19791001_n07_v1.1_s.bin'],1979,10,18.25
3,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.03/nt_19791003_n07_v1.1_s.bin'],1979,10,18.311
5,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.05/nt_19791005_n07_v1.1_s.bin'],1979,10,18.275
7,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.07/nt_19791007_n07_v1.1_s.bin'],1979,10,18.109
9,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.09/nt_19791009_n07_v1.1_s.bin'],1979,10,18.16
11,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.11/nt_19791011_n07_v1.1_s.bin'],1979,10,18.022
13,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.13/nt_19791013_n07_v1.1_s.bin'],1979,10,18.077
15,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.15/nt_19791015_n07_v1.1_s.bin'],1979,10,17.961
17,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.17/nt_19791017_n07_v1.1_s.bin'],1979,10,17.95
19,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.19/nt_19791019_n07_v1.1_s.bin'],1979,10,17.777
21,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.21/nt_19791021_n07_v1.1_s.bin'],1979,10,17.738
23,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.23/nt_19791023_n07_v1.1_s.bin'],1979,10,17.598
25,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.25/nt_19791025_n07_v1.1_s.bin'],1979,10,17.403
27,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.27/nt_19791027_n07_v1.1_s.bin'],1979,10,17.274
29,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.29/nt_19791029_n07_v1.1_s.bin'],1979,10,17.206
31,['/ecs/DP1/PM/NSIDC-0051.001/1979.10.31/nt_19791031_n07_v1.1_s.bin'],1979,10,17.017
2,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.02/nt_19791102_n07_v1.1_s.bin'],1979,11,16.945
4,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.04/nt_19791104_n07_v1.1_s.bin'],1979,11,16.767
6,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.06/nt_19791106_n07_v1.1_s.bin'],1979,11,16.71
8,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.08/nt_19791108_n07_v1.1_s.bin'],1979,11,16.537
10,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.10/nt_19791110_n07_v1.1_s.bin'],1979,11,16.266
12,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.12/nt_19791112_n07_v1.1_s.bin'],1979,11,15.947
14,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.14/nt_19791114_n07_v1.1_s.bin'],1979,11,15.729
16,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.16/nt_19791116_n07_v1.1_s.bin'],1979,11,15.481
18,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.18/nt_19791118_n07_v1.1_s.bin'],1979,11,15.256
20,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.20/nt_19791120_n07_v1.1_s.bin'],1979,11,14.984
22,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.22/nt_19791122_n07_v1.1_s.bin'],1979,11,14.682
24,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.24/nt_19791124_n07_v1.1_s.bin'],1979,11,14.202
26,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.26/nt_19791126_n07_v1.1_s.bin'],1979,11,13.82
28,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.28/nt_19791128_n07_v1.1_s.bin'],1979,11,13.569
30,['/ecs/DP1/PM/NSIDC-0051.001/1979.11.30/nt_19791130_n07_v1.1_s.bin'],1979,11,13.161
2,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.02/nt_19791202_n07_v1.1_s.bin'],1979,12,12.893
4,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.04/nt_19791204_n07_v1.1_s.bin'],1979,12,12.471
6,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.06/nt_19791206_n07_v1.1_s.bin'],1979,12,12.042
8,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.08/nt_19791208_n07_v1.1_s.bin'],1979,12,11.457
10,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.10/nt_19791210_n07_v1.1_s.bin'],1979,12,10.844
12,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.12/nt_19791212_n07_v1.1_s.bin'],1979,12,10.34
14,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.14/nt_19791214_n07_v1.1_s.bin'],1979,12,9.793
16,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.16/nt_19791216_n07_v1.1_s.bin'],1979,12,9.125
18,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.18/nt_19791218_n07_v1.1_s.bin'],1979,12,8.307
20,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.20/nt_19791220_n07_v1.1_s.bin'],1979,12,7.891
22,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.22/nt_19791222_n07_v1.1_s.bin'],1979,12,7.405
24,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.24/nt_19791224_n07_v1.1_s.bin'],1979,12,6.842
26,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.26/nt_19791226_n07_v1.1_s.bin'],1979,12,6.607
28,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.28/nt_19791228_n07_v1.1_s.bin'],1979,12,6.396
30,['/ecs/DP1/PM/NSIDC-0051.001/1979.12.30/nt_19791230_n07_v1.1_s.bin'],1979,12,6.124
1,['/ecs/DP1/PM/NSIDC-0051.001/1980.01.01/nt_19800101_n07_v1.1_s.bin'],1980,1,5.967
3,['/ecs/DP1/PM/NSIDC-0051.001/1980.01.03/nt_19800103_n07_v1.1_s.bin'],1980,1,5.674
5,['/ecs/DP1/PM/NSIDC-0051.001/1980.01.05/nt_19800105_n07_v1.1_s.bin'],1980,1,5.584
7,['/ecs/DP1/PM/NSIDC-0051.001/1980.01.07/nt_19800107_n07_v1.1_s.bin'],1980,1,5.329
9,['/ecs/DP1/PM/NSIDC-0051.001/1980.01.09/nt_19800109_n07_v1.1_s.bin'],1980,1,5
