RecordID,id,Name,Value,random1,random2
10049,Respondent #6,Quality - The product was free from scratches.,Agree,0.71499,0.169908
10050,Respondent #6,Quality - The product is deformed.,Agree,0.490208,0.188904
10051,Respondent #6,Pricing - The product is affordable.,Strongly Disagree,0.184686,0.708943
10052,Respondent #6,Pricing - The product saves me valuable time.,Neutral,0.297006,0.836681
10053,Respondent #6,Pricing - The product saves me valuable effort.,Neutral,0.906923,0.463537
10054,Respondent #7,Design - I easily understood how to use the product.,Strongly Disagree,0.591125,0.340275
10055,Respondent #7,Design - I had no trouble installing the product.,Neutral,0.204355,0.3532
10056,Respondent #7,"Design - The product's design is unintuitive.",Disagree,0.46878,0.887242
10057,Respondent #7,Quality - The product was durable.,Strongly Agree,0.002779,0.439217
10058,Respondent #7,Quality - The product was free from scratches.,Disagree,0.413607,0.887038
10059,Respondent #7,Quality - The product is deformed.,Agree,0.24776,0.432671
10060,Respondent #7,Pricing - The product is affordable.,Neutral,0.435052,0.484693
10061,Respondent #7,Pricing - The product saves me valuable time.,Neutral,0.569158,0.759791
10062,Respondent #7,Pricing - The product saves me valuable effort.,Disagree,0.62507,0.539728
10063,Respondent #8,Design - I easily understood how to use the product.,Strongly Disagree,0.33563,0.773356
10064,Respondent #8,Design - I had no trouble installing the product.,Neutral,0.274603,0.776921
10065,Respondent #8,"Design - The product's design is unintuitive.",Disagree,0.701257,0.250062
10066,Respondent #8,Quality - The product was durable.,Agree,0.271334,0.428135
10067,Respondent #8,Quality - The product was free from scratches.,Disagree,0.03069,0.639933
10068,Respondent #8,Quality - The product is deformed.,Neutral,0.057712,0.134648
10069,Respondent #8,Pricing - The product is affordable.,Strongly Disagree,0.103458,0.745349
10070,Respondent #8,Pricing - The product saves me valuable time.,Strongly Agree,0.187883,0.870779
10071,Respondent #8,Pricing - The product saves me valuable effort.,Strongly Disagree,0.352755,0.238393
10072,Respondent #9,Design - I easily understood how to use the product.,Strongly Agree,0.303584,0.521655
10073,Respondent #9,Design - I had no trouble installing the product.,Strongly Agree,0.452282,0.169777
10074,Respondent #9,"Design - The product's design is unintuitive.",Disagree,0.22679,0.789147
10075,Respondent #9,Quality - The product was durable.,Neutral,0.509125,0.379073
10076,Respondent #9,Quality - The product was free from scratches.,Disagree,0.874224,0.508912
10077,Respondent #9,Quality - The product is deformed.,Agree,0.604284,0.749631
10078,Respondent #9,Pricing - The product is affordable.,Strongly Disagree,0.19379,0.123623
10079,Respondent #9,Pricing - The product saves me valuable time.,Agree,0.331122,0.687525
10080,Respondent #9,Pricing - The product saves me valuable effort.,Neutral,0.094373,0.039935
10081,Respondent #10,Design - I easily understood how to use the product.,Strongly Disagree,0.580114,0.649793
10082,Respondent #10,Design - I had no trouble installing the product.,Agree,0.966282,0.593034
10083,Respondent #10,"Design - The product's design is unintuitive.",Agree,0.876171,0.249918
10084,Respondent #10,Quality - The product was durable.,Strongly Agree,0.027617,0.122957
10085,Respondent #10,Quality - The product was free from scratches.,Disagree,0.247253,0.832778
10086,Respondent #10,Quality - The product is deformed.,Strongly Agree,0.304505,0.315761
10087,Respondent #10,Pricing - The product is affordable.,Strongly Disagree,0.866209,0.666072
10088,Respondent #10,Pricing - The product saves me valuable time.,Neutral,0.556944,0.083696
10089,Respondent #10,Pricing - The product saves me valuable effort.,Strongly Disagree,0.128009,0.115965
10090,Respondent #11,Design - I easily understood how to use the product.,Agree,0.150493,0.297726
10091,Respondent #11,Design - I had no trouble installing the product.,Agree,0.285875,0.736687
10092,Respondent #11,"Design - The product's design is unintuitive.",Disagree,0.356648,0.384046
10093,Respondent #11,Quality - The product was durable.,Agree,0.627229,0.00334
10094,Respondent #11,Quality - The product was free from scratches.,Disagree,0.780253,0.664886
10095,Respondent #11,Quality - The product is deformed.,Strongly Agree,0.469578,0.419368
10096,Respondent #11,Pricing - The product is affordable.,Agree,0.240774,0.987937
10097,Respondent #11,Pricing - The product saves me valuable time.,Neutral,0.142866,0.075293
10098,Respondent #11,Pricing - The product saves me valuable effort.,Strongly Disagree,0.857886,0.336948
10099,Respondent #12,Design - I easily understood how to use the product.,Strongly Disagree,0.889212,0.215341
10100,Respondent #12,Design - I had no trouble installing the product.,Agree,0.331731,0.85836
10101,Respondent #12,"Design - The product's design is unintuitive.",Neutral,0.92455,0.94785
10102,Respondent #12,Quality - The product was durable.,Strongly Agree,0.441631,0.888337
10103,Respondent #12,Quality - The product was free from scratches.,Disagree,0.66551,0.292739
10104,Respondent #12,Quality - The product is deformed.,Agree,0.561651,0.888426
10105,Respondent #12,Pricing - The product is affordable.,Strongly Disagree,0.845581,0.712621
10106,Respondent #12,Pricing - The product saves me valuable time.,Neutral,0.303032,0.063615
10107,Respondent #12,Pricing - The product saves me valuable effort.,Neutral,0.432479,0.650154
10108,Respondent #13,Design - I easily understood how to use the product.,Strongly Disagree,0.175556,0.550906
10109,Respondent #13,Design - I had no trouble installing the product.,Strongly Agree,0.005699,0.069696
10110,Respondent #13,"Design - The product's design is unintuitive.",Neutral,0.128953,0.807363
10111,Respondent #13,Quality - The product was durable.,Agree,0.053765,0.541197
10112,Respondent #13,Quality - The product was free from scratches.,Disagree,0.377682,0.948863
10113,Respondent #13,Quality - The product is deformed.,Disagree,0.674162,0.862553
10114,Respondent #13,Pricing - The product is affordable.,Strongly Disagree,0.117998,0.9884
10115,Respondent #13,Pricing - The product saves me valuable time.,Neutral,0.052191,0.516156
10116,Respondent #13,Pricing - The product saves me valuable effort.,Strongly Disagree,0.483552,0.539326
10117,Respondent #14,Design - I easily understood how to use the product.,Disagree,0.91124,0.670659
10118,Respondent #14,Design - I had no trouble installing the product.,Neutral,0.722942,0.775442
10119,Respondent #14,"Design - The product's design is unintuitive.",Disagree,0.578379,0.908506
10120,Respondent #14,Quality - The product was durable.,Neutral,0.535507,0.055126
10121,Respondent #14,Quality - The product was free from scratches.,Disagree,0.112693,0.071152
10122,Respondent #14,Quality - The product is deformed.,Neutral,0.538084,0.668517
10123,Respondent #14,Pricing - The product is affordable.,Strongly Disagree,0.928613,0.106782
10124,Respondent #14,Pricing - The product saves me valuable time.,Neutral,0.881529,0.448365
10125,Respondent #14,Pricing - The product saves me valuable effort.,Neutral,0.743089,0.381962
10126,Respondent #15,Design - I easily understood how to use the product.,Strongly Disagree,0.168447,0.519381
10127,Respondent #15,Design - I had no trouble installing the product.,Agree,0.753407,0.003656
10128,Respondent #15,"Design - The product's design is unintuitive.",Disagree,0.58615,0.004213
10129,Respondent #15,Quality - The product was durable.,Strongly Agree,0.47705,0.615391
10130,Respondent #15,Quality - The product was free from scratches.,Disagree,0.65609,0.215854
10131,Respondent #15,Quality - The product is deformed.,Agree,0.677549,0.314817
10132,Respondent #15,Pricing - The product is affordable.,Strongly Disagree,0.684306,0.436438
10133,Respondent #15,Pricing - The product saves me valuable time.,Agree,0.554153,0.158195
10134,Respondent #15,Pricing - The product saves me valuable effort.,Neutral,0.08083,0.179219
10135,Respondent #16,Design - I easily understood how to use the product.,Disagree,0.012909,0.51074
10136,Respondent #16,Design - I had no trouble installing the product.,Agree,0.580015,0.380615
10137,Respondent #16,"Design - The product's design is unintuitive.",Agree,0.445989,0.554889
10138,Respondent #16,Quality - The product was durable.,Neutral,0.552192,0.008966
10139,Respondent #16,Quality - The product was free from scratches.,Disagree,0.293411,0.008838
10140,Respondent #16,Quality - The product is deformed.,Neutral,0.970698,0.916277
10141,Respondent #16,Pricing - The product is affordable.,Strongly Disagree,0.469213,0.041603
10142,Respondent #16,Pricing - The product saves me valuable time.,Neutral,0.541128,0.774527
10143,Respondent #16,Pricing - The product saves me valuable effort.,Disagree,0.651611,0.736551
10144,Respondent #17,Design - I easily understood how to use the product.,Strongly Disagree,0.709264,0.78745
10145,Respondent #17,Design - I had no trouble installing the product.,Neutral,0.557534,0.418489
10146,Respondent #17,"Design - The product's design is unintuitive.",Strongly Disagree,0.096523,0.830489
10147,Respondent #17,Quality - The product was durable.,Neutral,0.757037,0.831237
10148,Respondent #17,Quality - The product was free from scratches.,Disagree,0.940795,0.218331
10149,Respondent #17,Quality - The product is deformed.,Disagree,0.334884,0.811163
10150,Respondent #17,Pricing - The product is affordable.,Disagree,0.650557,0.540384
10151,Respondent #17,Pricing - The product saves me valuable time.,Neutral,0.034842,0.913705
10152,Respondent #17,Pricing - The product saves me valuable effort.,Disagree,0.059053,0.885021
10153,Respondent #18,Design - I easily understood how to use the product.,Strongly Disagree,0.882751,0.218758
10154,Respondent #18,Design - I had no trouble installing the product.,Agree,0.930168,0.1723
10155,Respondent #18,"Design - The product's design is unintuitive.",Disagree,0.788727,0.909525
10156,Respondent #18,Quality - The product was durable.,Agree,0.141848,0.185944
10157,Respondent #18,Quality - The product was free from scratches.,Neutral,0.53933,0.029677
10158,Respondent #18,Quality - The product is deformed.,Neutral,0.483179,0.168834
10159,Respondent #18,Pricing - The product is affordable.,Neutral,0.677483,0.081586
10160,Respondent #18,Pricing - The product saves me valuable time.,Agree,0.733965,0.21629
10161,Respondent #18,Pricing - The product saves me valuable effort.,Agree,0.377658,0.715179
10162,Respondent #19,Design - I easily understood how to use the product.,Strongly Disagree,0.845041,0.785099
10163,Respondent #19,Design - I had no trouble installing the product.,Strongly Agree,0.137174,0.991264
10164,Respondent #19,"Design - The product's design is unintuitive.",Disagree,0.515141,0.590458
10165,Respondent #19,Quality - The product was durable.,Agree,0.233323,0.852115
10166,Respondent #19,Quality - The product was free from scratches.,Disagree,0.498089,0.342213
10167,Respondent #19,Quality - The product is deformed.,Agree,0.911984,0.989498
10168,Respondent #19,Pricing - The product is affordable.,Strongly Disagree,0.729166,0.793165
10169,Respondent #19,Pricing - The product saves me valuable time.,Agree,0.802067,0.417295
10170,Respondent #19,Pricing - The product saves me valuable effort.,Disagree,0.988236,0.259962
10171,Respondent #20,Design - I easily understood how to use the product.,Neutral,0.768571,0.211253
10172,Respondent #20,Design - I had no trouble installing the product.,Agree,0.810102,0.093656
10173,Respondent #20,"Design - The product's design is unintuitive.",Agree,0.627089,0.194349
10174,Respondent #20,Quality - The product was durable.,Agree,0.854331,0.370339
10175,Respondent #20,Quality - The product was free from scratches.,Disagree,0.54502,0.357049
10176,Respondent #20,Quality - The product is deformed.,Disagree,0.517091,0.01788
10177,Respondent #20,Pricing - The product is affordable.,Strongly Agree,0.446592,0.551444
10178,Respondent #20,Pricing - The product saves me valuable time.,Agree,0.780541,0.702369
10179,Respondent #20,Pricing - The product saves me valuable effort.,Disagree,0.735186,0.799549
10180,Respondent #21,Design - I easily understood how to use the product.,Strongly Disagree,0.848174,0.295903
10181,Respondent #21,Design - I had no trouble installing the product.,Strongly Agree,0.480997,0.104528
10182,Respondent #21,"Design - The product's design is unintuitive.",Neutral,0.55135,0.317097
10183,Respondent #21,Quality - The product was durable.,Agree,0.099103,0.71121
10184,Respondent #21,Quality - The product was free from scratches.,Disagree,0.794123,0.968495
10185,Respondent #21,Quality - The product is deformed.,Agree,0.455618,0.734817
10186,Respondent #21,Pricing - The product is affordable.,Strongly Disagree,0.04909,0.663852
10187,Respondent #21,Pricing - The product saves me valuable time.,Strongly Agree,0.980183,0.444003
10188,Respondent #21,Pricing - The product saves me valuable effort.,Strongly Disagree,0.955984,0.935262
10189,Respondent #22,Design - I easily understood how to use the product.,Strongly Disagree,0.755247,0.591407
10190,Respondent #22,Design - I had no trouble installing the product.,Strongly Agree,0.092784,0.661229
10191,Respondent #22,"Design - The product's design is unintuitive.",Agree,0.969718,0.680053
10192,Respondent #22,Quality - The product was durable.,Strongly Agree,0.213487,0.219576
10193,Respondent #22,Quality - The product was free from scratches.,Disagree,0.25705,0.98166
10194,Respondent #22,Quality - The product is deformed.,Agree,0.244607,0.22316
10195,Respondent #22,Pricing - The product is affordable.,Strongly Disagree,0.025461,0.671674
10196,Respondent #22,Pricing - The product saves me valuable time.,Agree,0.246923,0.357866
10197,Respondent #22,Pricing - The product saves me valuable effort.,Disagree,0.082812,0.260435
10198,Respondent #23,Design - I easily understood how to use the product.,Strongly Disagree,0.025773,0.799247
10199,Respondent #23,Design - I had no trouble installing the product.,Strongly Agree,0.878428,0.00452
10200,Respondent #23,"Design - The product's design is unintuitive.",Agree,0.415495,0.236928
10201,Respondent #23,Quality - The product was durable.,Strongly Agree,0.878633,0.144426
10202,Respondent #23,Quality - The product was free from scratches.,Disagree,0.142749,0.700254
10203,Respondent #23,Quality - The product is deformed.,Agree,0.608048,0.631055
10204,Respondent #23,Pricing - The product is affordable.,Neutral,0.789798,0.486028
10205,Respondent #23,Pricing - The product saves me valuable time.,Agree,0.440024,0.34512
10206,Respondent #23,Pricing - The product saves me valuable effort.,Disagree,0.514755,0.660358
10207,Respondent #24,Design - I easily understood how to use the product.,Strongly Disagree,0.762454,0.971848
10208,Respondent #24,Design - I had no trouble installing the product.,Neutral,0.111343,0.981888
10209,Respondent #24,"Design - The product's design is unintuitive.",Disagree,0.401485,0.017106
10210,Respondent #24,Quality - The product was durable.,Neutral,0.729344,0.44479
10211,Respondent #24,Quality - The product was free from scratches.,Disagree,0.826071,0.689674
10212,Respondent #24,Quality - The product is deformed.,Agree,0.952723,0.021477
10213,Respondent #24,Pricing - The product is affordable.,Neutral,0.824269,0.176753
10214,Respondent #24,Pricing - The product saves me valuable time.,Agree,0.151302,0.913473
10215,Respondent #24,Pricing - The product saves me valuable effort.,Disagree,0.210368,0.558513
10216,Respondent #25,Design - I easily understood how to use the product.,Strongly Disagree,0.182345,0.178628
10217,Respondent #25,Design - I had no trouble installing the product.,Strongly Agree,0.926531,0.524596
10218,Respondent #25,"Design - The product's design is unintuitive.",Strongly Disagree,0.788476,0.636863
10219,Respondent #25,Quality - The product was durable.,Strongly Agree,0.633713,0.480893
10220,Respondent #25,Quality - The product was free from scratches.,Disagree,0.468013,0.151344
10221,Respondent #25,Quality - The product is deformed.,Disagree,0.326079,0.718119
10222,Respondent #25,Pricing - The product is affordable.,Strongly Agree,0.374434,0.527452
10223,Respondent #25,Pricing - The product saves me valuable time.,Agree,0.166273,0.861202
10224,Respondent #25,Pricing - The product saves me valuable effort.,Disagree,0.676122,0.743605
10225,Respondent #26,Design - I easily understood how to use the product.,Disagree,0.776748,0.71468
10226,Respondent #26,Design - I had no trouble installing the product.,Neutral,0.237506,0.647978
10227,Respondent #26,"Design - The product's design is unintuitive.",Neutral,0.059696,0.024667
10228,Respondent #26,Quality - The product was durable.,Strongly Agree,0.609213,0.200479
10229,Respondent #26,Quality - The product was free from scratches.,Strongly Disagree,0.67939,0.353797
10230,Respondent #26,Quality - The product is deformed.,Agree,0.368741,0.354886
10231,Respondent #26,Pricing - The product is affordable.,Strongly Disagree,0.265323,0.233126
10232,Respondent #26,Pricing - The product saves me valuable time.,Agree,0.907698,0.894429
10233,Respondent #26,Pricing - The product saves me valuable effort.,Disagree,0.930227,0.25733
10234,Respondent #27,Design - I easily understood how to use the product.,Strongly Disagree,0.416796,0.180704
10235,Respondent #27,Design - I had no trouble installing the product.,Agree,0.167697,0.399438
10236,Respondent #27,"Design - The product's design is unintuitive.",Disagree,0.073203,0.427493
10237,Respondent #27,Quality - The product was durable.,Agree,0.5068,0.224514
10238,Respondent #27,Quality - The product was free from scratches.,Strongly Disagree,0.869671,0.915391
10239,Respondent #27,Quality - The product is deformed.,Strongly Agree,0.802481,0.146463
10240,Respondent #27,Pricing - The product is affordable.,Strongly Disagree,0.161139,0.016875
10241,Respondent #27,Pricing - The product saves me valuable time.,Agree,0.262151,0.599285
10242,Respondent #27,Pricing - The product saves me valuable effort.,Strongly Disagree,0.656209,0.160681
10243,Respondent #28,Design - I easily understood how to use the product.,Strongly Disagree,0.174384,0.30876
10244,Respondent #28,Design - I had no trouble installing the product.,Strongly Agree,0.124739,0.273218
10245,Respondent #28,"Design - The product's design is unintuitive.",Neutral,0.58336,0.345296
10246,Respondent #28,Quality - The product was durable.,Strongly Agree,0.726349,0.809054
10247,Respondent #28,Quality - The product was free from scratches.,Disagree,0.683361,0.852622
10248,Respondent #28,Quality - The product is deformed.,Agree,0.886764,0.769609
10249,Respondent #28,Pricing - The product is affordable.,Disagree,0.76503,0.016444
10250,Respondent #28,Pricing - The product saves me valuable time.,Agree,0.22422,0.314479
10251,Respondent #28,Pricing - The product saves me valuable effort.,Disagree,0.429641,0.7314
10252,Respondent #29,Design - I easily understood how to use the product.,Strongly Disagree,0.986914,0.224499
10253,Respondent #29,Design - I had no trouble installing the product.,Neutral,0.960543,0.429181
10254,Respondent #29,"Design - The product's design is unintuitive.",Neutral,0.456499,0.013242
10255,Respondent #29,Quality - The product was durable.,Agree,0.292961,0.926344
10256,Respondent #29,Quality - The product was free from scratches.,Neutral,0.347964,0.494767
10257,Respondent #29,Quality - The product is deformed.,Disagree,0.610791,0.610348
10258,Respondent #29,Pricing - The product is affordable.,Disagree,0.726574,0.591717
10259,Respondent #29,Pricing - The product saves me valuable time.,Agree,0.61127,0.174925
10260,Respondent #29,Pricing - The product saves me valuable effort.,Disagree,0.371869,0.102321
10261,Respondent #30,Design - I easily understood how to use the product.,Disagree,0.549996,0.663442
10262,Respondent #30,Design - I had no trouble installing the product.,Strongly Agree,0.70302,0.790083
10263,Respondent #30,"Design - The product's design is unintuitive.",Neutral,0.103542,0.287807
10264,Respondent #30,Quality - The product was durable.,Agree,0.823337,0.124682
10265,Respondent #30,Quality - The product was free from scratches.,Disagree,0.40813,0.012156
10266,Respondent #30,Quality - The product is deformed.,Neutral,0.99161,0.680116
10267,Respondent #30,Pricing - The product is affordable.,Disagree,0.093558,0.272568
10268,Respondent #30,Pricing - The product saves me valuable time.,Disagree,0.825902,0.929556
10269,Respondent #30,Pricing - The product saves me valuable effort.,Strongly Disagree,0.088193,0.971169
10270,Respondent #31,Design - I easily understood how to use the product.,Disagree,0.530833,0.975875
10271,Respondent #31,Design - I had no trouble installing the product.,Agree,0.211776,0.976177
10272,Respondent #31,"Design - The product's design is unintuitive.",Disagree,0.764517,0.005102
10273,Respondent #31,Quality - The product was durable.,Agree,0.099527,0.951077
10274,Respondent #31,Quality - The product was free from scratches.,Disagree,0.278918,0.675474
10275,Respondent #31,Quality - The product is deformed.,Agree,0.463766,0.554606
10276,Respondent #31,Pricing - The product is affordable.,Strongly Disagree,0.701293,0.329215
10277,Respondent #31,Pricing - The product saves me valuable time.,Agree,0.818016,0.38313
10278,Respondent #31,Pricing - The product saves me valuable effort.,Strongly Disagree,0.111368,0.887704
10279,Respondent #32,Design - I easily understood how to use the product.,Strongly Disagree,0.359819,0.70397
10280,Respondent #32,Design - I had no trouble installing the product.,Strongly Agree,0.506001,0.015354
10281,Respondent #32,"Design - The product's design is unintuitive.",Agree,0.531679,0.482169
10282,Respondent #32,Quality - The product was durable.,Neutral,0.213626,0.704554
10283,Respondent #32,Quality - The product was free from scratches.,Disagree,0.909187,0.847529
10284,Respondent #32,Quality - The product is deformed.,Disagree,0.995161,0.077164
10285,Respondent #32,Pricing - The product is affordable.,Strongly Disagree,0.959489,0.049988
10286,Respondent #32,Pricing - The product saves me valuable time.,Agree,0.527161,0.787138
10287,Respondent #32,Pricing - The product saves me valuable effort.,Disagree,0.840028,0.066177
10288,Respondent #33,Design - I easily understood how to use the product.,Strongly Disagree,0.174831,0.749925
10289,Respondent #33,Design - I had no trouble installing the product.,Agree,0.618968,0.305319
10290,Respondent #33,"Design - The product's design is unintuitive.",Disagree,0.290415,0.192497
10291,Respondent #33,Quality - The product was durable.,Agree,0.424475,0.428774
10292,Respondent #33,Quality - The product was free from scratches.,Strongly Disagree,0.091272,0.854818
10293,Respondent #33,Quality - The product is deformed.,Disagree,0.099498,0.696533
10294,Respondent #33,Pricing - The product is affordable.,Strongly Agree,0.03619,0.773265
10295,Respondent #33,Pricing - The product saves me valuable time.,Strongly Agree,0.483055,0.333835
10296,Respondent #33,Pricing - The product saves me valuable effort.,Disagree,0.878236,0.512001
10297,Respondent #34,Design - I easily understood how to use the product.,Strongly Disagree,0.382104,0.604422
10298,Respondent #34,Design - I had no trouble installing the product.,Agree,0.898036,0.890863
10299,Respondent #34,"Design - The product's design is unintuitive.",Agree,0.374758,0.071335
10300,Respondent #34,Quality - The product was durable.,Agree,0.436731,0.302261
10301,Respondent #34,Quality - The product was free from scratches.,Disagree,0.313011,0.516846
10302,Respondent #34,Quality - The product is deformed.,Agree,0.511089,0.178472
10303,Respondent #34,Pricing - The product is affordable.,Strongly Disagree,0.97105,0.933007
10304,Respondent #34,Pricing - The product saves me valuable time.,Neutral,0.051222,0.213245
10305,Respondent #34,Pricing - The product saves me valuable effort.,Disagree,0.680176,0.770697
10306,Respondent #35,Design - I easily understood how to use the product.,Agree,0.594705,0.88309
10307,Respondent #35,Design - I had no trouble installing the product.,Neutral,0.466493,0.748955
10308,Respondent #35,"Design - The product's design is unintuitive.",Disagree,0.651252,0.490258
10309,Respondent #35,Quality - The product was durable.,Strongly Agree,0.385491,0.376215
10310,Respondent #35,Quality - The product was free from scratches.,Disagree,0.916856,0.147577
10311,Respondent #35,Quality - The product is deformed.,Neutral,0.30085,0.443772
10312,Respondent #35,Pricing - The product is affordable.,Strongly Disagree,0.910548,0.545902
10313,Respondent #35,Pricing - The product saves me valuable time.,Agree,0.783764,0.749908
10314,Respondent #35,Pricing - The product saves me valuable effort.,Disagree,0.494512,0.938063
10315,Respondent #36,Design - I easily understood how to use the product.,Strongly Disagree,0.566317,0.455656
10316,Respondent #36,Design - I had no trouble installing the product.,Strongly Agree,0.756643,0.647964
10317,Respondent #36,"Design - The product's design is unintuitive.",Neutral,0.095309,0.37698
10318,Respondent #36,Quality - The product was durable.,Neutral,0.677081,0.590991
10319,Respondent #36,Quality - The product was free from scratches.,Neutral,0.321332,0.897527
10320,Respondent #36,Quality - The product is deformed.,Agree,0.947834,0.966242
10321,Respondent #36,Pricing - The product is affordable.,Strongly Agree,0.567003,0.260067
10322,Respondent #36,Pricing - The product saves me valuable time.,Agree,0.646338,0.173974
10323,Respondent #36,Pricing - The product saves me valuable effort.,Agree,0.798908,0.527834
10324,Respondent #37,Design - I easily understood how to use the product.,Disagree,0.018785,0.04246
10325,Respondent #37,Design - I had no trouble installing the product.,Strongly Agree,0.421883,0.839493
10326,Respondent #37,"Design - The product's design is unintuitive.",Disagree,0.019157,0.192394
10327,Respondent #37,Quality - The product was durable.,Strongly Agree,0.198701,0.905408
10328,Respondent #37,Quality - The product was free from scratches.,Disagree,0.490329,0.727348
10329,Respondent #37,Quality - The product is deformed.,Agree,0.155535,0.095661
10330,Respondent #37,Pricing - The product is affordable.,Strongly Disagree,0.757592,0.079653
10331,Respondent #37,Pricing - The product saves me valuable time.,Neutral,0.030322,0.396731
10332,Respondent #37,Pricing - The product saves me valuable effort.,Disagree,0.016688,0.862558
10333,Respondent #38,Design - I easily understood how to use the product.,Strongly Disagree,0.917885,0.96962
10334,Respondent #38,Design - I had no trouble installing the product.,Neutral,0.133598,0.820718
10335,Respondent #38,"Design - The product's design is unintuitive.",Neutral,0.721028,0.81506
10336,Respondent #38,Quality - The product was durable.,Neutral,0.711753,0.837459
10337,Respondent #38,Quality - The product was free from scratches.,Disagree,0.363416,0.152295
10338,Respondent #38,Quality - The product is deformed.,Strongly Agree,0.487888,0.578196
10339,Respondent #38,Pricing - The product is affordable.,Disagree,0.484887,0.629114
10340,Respondent #38,Pricing - The product saves me valuable time.,Neutral,0.973739,0.600608
10341,Respondent #38,Pricing - The product saves me valuable effort.,Strongly Disagree,0.623752,0.508661
10342,Respondent #39,Design - I easily understood how to use the product.,Neutral,0.381533,0.757409
10343,Respondent #39,Design - I had no trouble installing the product.,Strongly Agree,0.230938,0.333835
10344,Respondent #39,"Design - The product's design is unintuitive.",Strongly Agree,0.653895,0.415132
10345,Respondent #39,Quality - The product was durable.,Strongly Agree,0.041981,0.507384
10346,Respondent #39,Quality - The product was free from scratches.,Disagree,0.730425,0.633076
