OppID,StageName,SortOrder,CreatedDate
0068d000002OrdPAAS,Prospecting,1,2023-02-01 00:00:00
0068d000002OrdPAAS,Qualification,2,2023-02-02 00:00:00
0068d000002OrdPAAS,Value Proposition,4,2023-02-12 00:00:00
0068d000002OrdVAAS,Prospecting,1,2023-01-03 00:00:00
0068d000002OrdVAAS,Qualification,2,2023-01-17 00:00:00
0068d000002OrdVAAS,Value Proposition,4,2023-01-26 00:00:00
0068d000002OrdVAAS,Closed Won,9,2023-02-08 00:00:00
0068d000002OrZuAAK,Prospecting,1,2023-02-23 00:00:00
0068d000002OrZuAAK,Qualification,2,2023-02-26 00:00:00
0068d000002OrZxAAK,Prospecting,1,2023-03-05 00:00:00
0068d000002OrZxAAK,Value Proposition,4,2023-03-09 00:00:00
0068d000002OrZxAAK,Negotiation/Review,8,2023-03-22 00:00:00
