transaction_date,transaction_hour,location_state,location_city,rewards_number,rewards_member,num_of_items,coupon_flag,discount_amt,order_amt
10/13/2020,1:24 PM,South Carolina,Charleston,,,19,,,$132.16
3/12/2020,11:17 AM,Georgia,Atlanta,,,10,Yes,0.48,$208.13
1/16/2020,3:28 PM,Florida,Melbourne,637-614-49,true,20,,,$206.81
1/20/2020,11:18 AM,Florida,Clearwater,212-189-17,true,14,,,$168.37
2/7/2020,11:35 AM,Florida,Miami,703-421-15,false,17,,,$147.08
10/12/2019,4:42 PM,Alabama,Birmingham,099-836-76,false,33,,,$110.53
10/19/2019,2:20 PM,South Carolina,Columbia,486-966-25,false,15,Yes,0.16,$165.73
12/21/2019,5:48 PM,Florida,Saint Augustine,,,20,,,$44.12
11/16/2019,7:27 PM,South Carolina,Columbia,094-714-15,false,30,,,$183.37
1/13/2020,5:01 PM,Florida,Saint Augustine,045-092-88,true,17,,,$24.27
1/13/2020,2:11 PM,Florida,Tampa,,,27,Yes,0.17,$37.97
10/25/2019,7:04 PM,Florida,Fort Pierce,463-913-89,true,24,,,$93.12
6/21/2020,8:40 PM,Florida,Bradenton,423-176-96,true,31,,,$58.10
10/30/2019,8:19 PM,South Carolina,Spartanburg,,,8,,,$181.53
3/8/2020,1:08 PM,Florida,Saint Petersburg,,,29,,,$156.03
9/10/2020,11:33 AM,Florida,Jacksonville,,,8,,,$209.72
7/15/2020,2:24 PM,Florida,Clearwater,564-197-35,false,15,,,$120.35
12/29/2019,5:11 PM,South Carolina,Charleston,028-510-50,false,34,,,$119.07
7/6/2020,3:38 PM,Florida,Fort Myers,745-088-52,true,5,,,$216.23
6/10/2020,4:12 PM,Alabama,Birmingham,709-907-14,true,28,,,$128.69
11/19/2019,3:51 PM,Georgia,Augusta,,,16,,,$144.50
8/9/2020,4:00 PM,Florida,North Port,967-358-67,true,6,,,$223.75
3/17/2020,2:48 PM,Florida,Melbourne,293-121-81,true,17,Yes,0.19,$149.90
1/2/2020,7:12 PM,South Carolina,Columbia,320-367-67,false,16,,,$65.29
4/8/2020,2:45 PM,Georgia,Duluth,082-039-56,true,24,,,$85.79
1/17/2020,3:04 PM,Mississippi,Jackson,,,33,,,$198.82
5/11/2020,8:43 PM,Georgia,Valdosta,,,20,,,$195.39
7/31/2020,7:46 PM,Georgia,Atlanta,,,31,Yes,0.26,$209.01
11/7/2019,8:16 PM,Florida,Fort Lauderdale,,,15,,,$151.35
10/2/2019,7:47 PM,Florida,Clearwater,,,20,Yes,0.43,$39.00
10/30/2020,12:06 PM,Alabama,Montgomery,,,27,,,$188.53
9/15/2020,8:57 PM,Florida,Fort Lauderdale,,,27,,,$27.63
10/27/2019,4:59 PM,Florida,Hialeah,370-879-96,true,10,Yes,0.19,$32.38
8/8/2020,5:03 PM,Florida,Pensacola,020-618-84,false,17,,,$223.06
8/24/2020,12:48 PM,Alabama,Birmingham,,,5,Yes,0.27,$133.75
2/1/2020,1:50 PM,Florida,Hialeah,697-715-12,true,10,Yes,0.16,$75.92
6/9/2020,12:32 PM,Alabama,Birmingham,225-466-73,false,28,,,$76.13
2/15/2020,1:36 PM,Alabama,Huntsville,984-636-47,true,32,,,$218.20
3/13/2020,2:08 PM,Alabama,Birmingham,796-466-81,false,8,Yes,0.29,$70.11
12/27/2019,12:52 PM,Georgia,Athens,,,32,,,$43.23
11/28/2019,11:41 AM,Florida,Boynton Beach,,,16,,,$82.78
12/28/2019,8:43 PM,Georgia,Atlanta,874-520-67,false,19,Yes,0.35,$56.48
4/22/2020,2:38 PM,Florida,Pompano Beach,,,31,,,$219.86
12/31/2019,1:05 PM,Florida,Miami,,,30,,,$28.77
10/20/2019,3:43 PM,Florida,Pompano Beach,089-372-60,false,4,Yes,0.14,$121.08
8/15/2020,4:52 PM,South Carolina,Florence,391-149-21,true,14,,,$73.71
9/5/2020,7:51 PM,Mississippi,Jackson,,,8,Yes,0.39,$84.35
10/30/2020,7:08 PM,Florida,Largo,487-261-40,false,30,,,$43.04
3/23/2020,2:14 PM,Florida,Tampa,,,24,,,$124.79
10/7/2019,8:58 PM,Georgia,Augusta,106-157-93,false,7,Yes,0.27,$126.95
5/30/2020,6:52 PM,Florida,Jacksonville,688-724-07,false,28,,,$109.48
10/8/2019,5:09 PM,South Carolina,Columbia,018-949-51,true,23,Yes,0.49,$62.42
10/3/2019,12:52 PM,Florida,Sarasota,,,3,,,$227.51
4/28/2020,4:01 PM,Florida,Pompano Beach,,,7,Yes,0.2,$186.19
1/30/2020,6:20 PM,Florida,Largo,,,21,,,$127.23
3/7/2020,8:01 PM,Florida,Naples,,,33,,,$193.96
8/12/2020,8:19 PM,Florida,Fort Lauderdale,,,13,Yes,0.25,$225.25
10/13/2020,5:28 PM,South Carolina,Charleston,,,12,,,$151.57
1/18/2020,12:11 PM,South Carolina,Columbia,,,13,,,$146.07
11/1/2019,1:47 PM,South Carolina,Columbia,,,13,,,$121.83
10/24/2019,5:37 PM,Alabama,Birmingham,202-030-84,true,25,Yes,0.47,$205.13
3/24/2020,11:33 AM,Florida,Melbourne,120-024-53,true,27,Yes,0.15,$181.06
12/31/2019,12:23 PM,Florida,Tallahassee,521-521-28,false,26,,,$110.94
12/23/2019,6:45 PM,Florida,West Palm Beach,474-909-31,true,12,,,$22.60
4/10/2020,11:23 AM,Alabama,Birmingham,,,10,,,$121.88
9/18/2020,8:12 PM,Florida,Zephyrhills,420-339-26,true,33,,,$61.66
9/26/2020,5:55 PM,South Carolina,Columbia,049-739-93,false,15,Yes,0.41,$129.16
8/15/2020,4:10 PM,Florida,Jacksonville,942-853-98,true,24,Yes,0.24,$69.75
12/1/2019,8:51 PM,Florida,West Palm Beach,969-119-79,false,16,Yes,0.43,$216.92
11/11/2019,3:12 PM,Mississippi,Meridian,,,32,Yes,0.18,$163.78
8/10/2020,8:04 PM,Alabama,Birmingham,,,17,,,$231.57
8/13/2020,2:03 PM,Georgia,Savannah,612-053-33,true,11,,,$200.83
4/19/2020,12:47 PM,Alabama,Montgomery,786-934-67,false,20,,,$57.40
6/30/2020,5:56 PM,Florida,Miami,778-055-23,true,27,,,$72.79
8/8/2020,12:47 PM,Georgia,Atlanta,,,13,Yes,0.5,$171.74
7/16/2020,6:04 PM,Alabama,Anniston,,,27,,,$91.45
10/12/2019,11:08 AM,Mississippi,Jackson,967-213-02,true,25,Yes,0.16,$226.42
2/17/2020,11:05 AM,Florida,Tampa,836-628-74,true,29,,,$38.75
10/24/2019,12:47 PM,Florida,Gainesville,,,18,,,$50.51
3/10/2020,12:48 PM,Florida,Tampa,473-686-31,false,22,,,$64.02
2/18/2020,1:16 PM,Florida,Tallahassee,,,21,,,$146.65
10/25/2019,4:10 PM,Georgia,Decatur,,,30,,,$163.61
10/20/2020,8:33 PM,South Carolina,Columbia,257-025-85,false,20,,,$116.17
6/7/2020,4:53 PM,Georgia,Atlanta,,,8,Yes,0.12,$217.33
6/26/2020,11:31 AM,Alabama,Montgomery,,,9,,,$223.83
10/23/2020,6:23 PM,Florida,Hialeah,,,5,,,$63.54
2/5/2020,11:07 AM,Georgia,Lawrenceville,,,8,,,$91.07
8/6/2020,4:31 PM,Florida,Hialeah,508-601-52,true,19,,,$61.15
4/5/2020,8:10 PM,Florida,Sarasota,,,22,,,$40.42
5/17/2020,1:03 PM,Georgia,Macon,,,19,,,$135.71
5/8/2020,7:20 PM,Mississippi,Jackson,801-240-76,false,6,,,$184.32
3/22/2020,1:23 PM,Florida,Miami,386-489-18,false,28,,,$162.92
11/23/2019,12:32 PM,Georgia,Atlanta,,,23,Yes,0.45,$161.94
1/22/2020,3:41 PM,Florida,Miami,271-923-53,false,32,,,$136.09
12/20/2019,8:23 PM,Florida,Daytona Beach,162-905-05,true,8,Yes,0.22,$86.79
12/4/2019,5:25 PM,Florida,Fort Lauderdale,916-177-06,false,24,,,$28.89
1/6/2020,3:41 PM,Florida,Tampa,,,4,,,$44.94
1/15/2020,8:55 PM,Mississippi,Jackson,,,9,,,$85.39
10/6/2020,7:53 PM,Alabama,Mobile,,,15,,,$29.49
4/7/2020,7:57 PM,Georgia,Columbus,,,28,Yes,0.33,$111.58
1/3/2020,11:42 AM,Georgia,Atlanta,911-544-76,true,10,,,$157.42
7/21/2020,4:16 PM,Florida,North Port,,,12,,,$192.48
6/15/2020,6:51 PM,Florida,Clearwater,004-442-45,true,10,,,$158.85
5/13/2020,4:00 PM,Florida,Hollywood,,,34,,,$215.03
10/17/2019,11:08 AM,Florida,Pompano Beach,,,26,Yes,0.45,$60.17
8/20/2020,6:43 PM,Georgia,Athens,,,25,,,$169.77
2/10/2020,3:50 PM,Florida,Zephyrhills,707-992-67,true,27,Yes,0.46,$85.76
11/10/2019,12:16 PM,Alabama,Mobile,103-003-18,true,32,,,$149.00
8/9/2020,5:25 PM,South Carolina,Charleston,,,6,Yes,0.13,$227.23
1/4/2020,12:37 PM,Alabama,Birmingham,,,22,,,$27.94
9/9/2020,8:06 PM,South Carolina,Aiken,906-308-50,false,20,,,$86.54
11/6/2019,5:15 PM,Florida,Pensacola,648-698-10,true,23,Yes,0.11,$19.08
8/28/2020,12:00 PM,Florida,Pensacola,,,19,Yes,0.22,$163.48
7/4/2020,2:14 PM,Florida,Fort Lauderdale,733-410-28,true,25,,,$189.71
11/21/2019,5:28 PM,Florida,Lakeland,,,22,Yes,0.5,$84.69
1/20/2020,8:02 PM,Georgia,Duluth,100-727-85,false,18,,,$201.92
2/29/2020,3:48 PM,Florida,Naples,,,7,,,$146.73
9/29/2020,3:32 PM,Alabama,Mobile,,,14,,,$232.72
7/13/2020,11:40 AM,Mississippi,Hattiesburg,104-607-36,true,25,,,$185.09
2/14/2020,2:26 PM,Florida,Orlando,928-332-99,false,16,,,$55.73
5/26/2020,7:59 PM,Georgia,Atlanta,038-984-74,false,29,,,$199.04
7/15/2020,11:33 AM,Florida,Pompano Beach,272-054-85,true,26,,,$26.81
11/28/2019,12:43 PM,Florida,Pensacola,963-897-25,false,15,,,$210.68
12/14/2019,11:16 AM,Georgia,Atlanta,214-091-46,false,31,Yes,0.19,$168.69
8/12/2020,4:00 PM,Florida,Fort Pierce,041-735-80,true,31,Yes,0.29,$228.71
11/20/2019,5:41 PM,Florida,Seminole,,,25,,,$118.38
1/24/2020,4:31 PM,Florida,Orlando,,,5,,,$149.51
5/13/2020,1:33 PM,South Carolina,Columbia,504-712-42,true,12,,,$31.70
2/11/2020,8:19 PM,Alabama,Huntsville,576-855-09,false,34,,,$146.84
7/4/2020,8:34 PM,South Carolina,Columbia,057-973-56,false,25,,,$36.18
5/10/2020,7:08 PM,Alabama,Montgomery,791-998-26,false,6,,,$161.99
8/10/2020,8:14 PM,Florida,Tampa,517-837-99,false,9,,,$115.53
2/17/2020,6:22 PM,Florida,Saint Augustine,281-300-59,true,16,,,$114.11
10/26/2019,11:05 AM,Florida,Jacksonville,390-039-00,true,32,,,$116.69
5/16/2020,8:31 PM,Florida,Clearwater,995-884-04,true,32,,,$23.13
10/3/2019,2:34 PM,Florida,Orlando,330-922-39,true,14,,,$183.37
6/23/2020,5:06 PM,Florida,Lakeland,539-118-14,true,10,Yes,0.19,$113.38
12/30/2019,7:10 PM,Alabama,Tuscaloosa,,,34,Yes,0.34,$87.81
12/7/2019,1:13 PM,Florida,Cape Coral,,,7,,,$179.07
4/27/2020,2:37 PM,Georgia,Atlanta,,,31,,,$159.42
10/14/2020,7:40 PM,Florida,Lakeland,563-347-18,false,13,,,$155.59
10/20/2019,4:10 PM,Florida,Saint Petersburg,,,17,,,$232.34
8/14/2020,4:51 PM,Florida,Fort Lauderdale,223-922-78,false,30,,,$45.02
10/28/2019,7:24 PM,Mississippi,Gulfport,282-769-51,true,13,,,$87.59
11/7/2019,1:10 PM,Alabama,Huntsville,912-996-42,false,8,,,$153.66
6/30/2020,12:47 PM,Florida,Spring Hill,936-089-52,true,15,,,$169.94
8/22/2020,7:46 PM,Florida,Sarasota,641-310-82,true,6,,,$145.43
10/17/2019,3:52 PM,Florida,Seminole,,,29,,,$156.33
1/24/2020,11:38 AM,Mississippi,Jackson,939-883-99,true,29,Yes,0.31,$126.80
12/19/2019,5:58 PM,Florida,Saint Petersburg,,,5,,,$119.96
9/8/2020,5:28 PM,Florida,Pensacola,,,7,,,$110.39
4/13/2020,4:21 PM,South Carolina,Columbia,,,19,,,$77.59
5/30/2020,8:09 PM,Florida,Pensacola,931-581-74,true,8,,,$167.18
10/8/2020,5:35 PM,Georgia,Augusta,669-739-57,false,5,,,$86.44
12/26/2019,5:16 PM,Georgia,Albany,989-462-67,true,26,,,$188.05
7/9/2020,1:33 PM,Alabama,Birmingham,,,7,,,$84.68
12/4/2019,1:01 PM,Georgia,Gainesville,011-593-54,false,14,,,$153.53
2/8/2020,12:12 PM,Florida,Miami,958-775-85,false,7,,,$78.73
10/3/2020,3:59 PM,Georgia,Albany,,,15,,,$212.83
10/31/2019,3:48 PM,Florida,Melbourne,429-870-74,false,12,Yes,0.28,$73.03
5/14/2020,7:05 PM,Florida,Jacksonville,157-406-69,true,26,,,$23.94
10/9/2020,4:08 PM,Alabama,Montgomery,,,24,,,$81.36
6/20/2020,12:53 PM,South Carolina,Aiken,,,26,,,$102.32
6/18/2020,1:07 PM,Florida,Miami,298-533-60,true,33,,,$57.38
9/1/2020,1:42 PM,Florida,Tampa,,,16,Yes,0.25,$144.88
2/10/2020,4:41 PM,Florida,Naples,176-537-18,false,30,,,$66.97
6/14/2020,12:33 PM,Georgia,Athens,,,22,,,$228.80
7/19/2020,5:53 PM,Florida,Saint Petersburg,642-724-48,true,32,Yes,0.35,$53.96
7/17/2020,11:58 AM,Florida,Orlando,659-311-19,true,22,,,$154.98
8/22/2020,7:39 PM,Georgia,Augusta,,,15,,,$21.98
7/10/2020,12:20 PM,Florida,Naples,,,31,,,$42.52
6/25/2020,2:01 PM,Florida,Tampa,271-028-85,true,11,,,$163.01
5/5/2020,7:19 PM,South Carolina,Anderson,,,15,,,$75.22
4/23/2020,11:26 AM,Alabama,Birmingham,,,25,Yes,0.23,$80.82
6/9/2020,4:44 PM,South Carolina,Columbia,135-429-24,true,17,,,$77.70
6/6/2020,6:51 PM,Georgia,Atlanta,926-105-30,true,9,Yes,0.15,$46.15
10/11/2019,5:53 PM,Georgia,Atlanta,962-298-88,false,12,,,$24.06
11/2/2019,3:50 PM,Florida,Orlando,,,7,Yes,0.1,$139.75
1/9/2020,12:58 PM,Florida,Daytona Beach,,,5,,,$91.08
11/18/2019,5:27 PM,Florida,Tampa,241-509-88,true,16,,,$139.22
5/24/2020,4:44 PM,Florida,Pompano Beach,,,13,,,$180.93
11/2/2019,5:02 PM,Florida,Pensacola,,,16,Yes,0.5,$19.30
9/4/2020,11:30 AM,Florida,Tampa,,,30,,,$42.83
11/27/2019,4:12 PM,Georgia,Atlanta,,,31,Yes,0.37,$134.68
12/22/2019,6:02 PM,Florida,Zephyrhills,661-417-87,true,26,,,$111.26
5/12/2020,8:47 PM,Alabama,Birmingham,494-303-53,true,8,Yes,0.36,$124.34
8/28/2020,2:22 PM,South Carolina,Charleston,,,11,,,$151.77
2/6/2020,1:32 PM,Florida,Punta Gorda,,,11,,,$142.09
11/10/2019,5:21 PM,Florida,Seminole,267-286-39,true,33,,,$59.25
7/22/2020,6:35 PM,Florida,Seminole,,,25,,,$205.91
2/28/2020,6:55 PM,Mississippi,Biloxi,,,8,,,$50.13
10/5/2019,12:47 PM,Alabama,Mobile,868-855-93,true,34,,,$179.60
12/21/2019,3:54 PM,South Carolina,Greenville,349-276-67,true,5,Yes,0.31,$52.36
9/1/2020,11:31 AM,Alabama,Tuscaloosa,,,6,Yes,0.17,$164.96
6/18/2020,11:14 AM,Georgia,Atlanta,784-688-12,true,31,Yes,0.32,$215.67
2/6/2020,11:28 AM,Alabama,Birmingham,298-784-70,false,8,,,$140.77
7/8/2020,5:16 PM,Alabama,Birmingham,,,28,,,$51.51
1/14/2020,8:31 PM,Florida,Miami,700-268-61,false,29,,,$189.61
7/9/2020,4:34 PM,Alabama,Birmingham,583-602-03,true,23,,,$109.36
4/8/2020,4:16 PM,Florida,Orlando,540-768-28,false,3,,,$67.14
4/16/2020,12:06 PM,Florida,Orlando,150-290-19,true,10,Yes,0.18,$88.83
3/14/2020,3:47 PM,South Carolina,Columbia,475-703-75,false,19,,,$64.99
8/9/2020,12:14 PM,Florida,Brooksville,081-824-51,false,4,,,$179.51
3/9/2020,4:11 PM,Florida,Orlando,289-117-64,true,27,,,$132.85
10/4/2020,2:59 PM,Florida,Miami,009-847-43,true,12,Yes,0.3,$112.12
5/22/2020,12:01 PM,Florida,Miami,,,25,,,$127.23
10/8/2020,12:00 PM,Florida,West Palm Beach,497-802-65,true,9,Yes,0.17,$100.89
2/14/2020,2:42 PM,Alabama,Mobile,247-586-42,false,30,,,$218.75
11/15/2019,11:11 AM,Florida,Naples,,,16,,,$120.70
2/8/2020,1:42 PM,Florida,Tampa,783-116-61,false,26,Yes,0.15,$173.94
5/10/2020,11:31 AM,Florida,Gainesville,583-360-18,false,23,,,$77.98
4/2/2020,6:31 PM,Florida,Clearwater,789-317-48,true,29,,,$154.91
12/7/2019,5:20 PM,Florida,Jacksonville,262-471-17,true,12,,,$203.96
11/4/2019,4:15 PM,Georgia,Albany,,,28,Yes,0.12,$95.95
1/5/2020,11:50 AM,Alabama,Mobile,822-270-21,false,33,,,$135.98
10/8/2019,7:37 PM,Florida,Miami,470-407-64,false,21,,,$111.86
6/26/2020,2:34 PM,Florida,Pensacola,,,19,,,$131.70
3/1/2020,4:53 PM,Georgia,Atlanta,,,32,Yes,0.15,$44.97
1/4/2020,1:21 PM,Florida,Bonita Springs,902-990-05,false,7,,,$144.59
4/2/2020,11:22 AM,Georgia,Marietta,321-014-29,false,3,,,$39.02
4/1/2020,1:55 PM,Florida,Naples,,,3,Yes,0.17,$186.09
6/8/2020,7:23 PM,Florida,Kissimmee,471-157-15,false,18,Yes,0.11,$118.73
7/19/2020,8:17 PM,Georgia,Atlanta,,,20,,,$147.51
2/22/2020,3:50 PM,Florida,Hollywood,,,3,Yes,0.27,$204.09
1/5/2020,5:53 PM,Alabama,Mobile,781-529-77,true,15,Yes,0.4,$59.71
9/18/2020,8:00 PM,Florida,Fort Myers,128-533-42,true,13,,,$77.35
3/22/2020,1:05 PM,Georgia,Atlanta,709-125-70,false,32,,,$209.12
12/27/2019,7:22 PM,Georgia,Atlanta,718-339-69,true,13,,,$46.34
10/30/2020,6:23 PM,Georgia,Atlanta,149-919-60,true,21,,,$163.05
2/18/2020,1:03 PM,Florida,Gainesville,999-439-66,true,27,,,$49.53
10/8/2020,1:11 PM,Florida,Saint Petersburg,457-361-48,true,30,,,$49.00
1/11/2020,7:08 PM,Florida,Jacksonville,862-813-87,false,16,,,$86.17
5/30/2020,5:40 PM,Alabama,Huntsville,181-258-52,true,32,,,$173.53
6/23/2020,12:28 PM,Florida,Lake Worth,,,12,Yes,0.34,$188.53
1/2/2020,3:13 PM,Florida,Brooksville,,,19,,,$197.31
9/3/2020,6:01 PM,Florida,Tampa,859-813-40,false,6,,,$77.80
2/22/2020,6:47 PM,Florida,Lakeland,,,3,,,$83.42
6/22/2020,4:14 PM,Mississippi,Jackson,,,10,,,$168.94
7/2/2020,4:57 PM,Georgia,Atlanta,872-138-71,false,17,,,$214.46
6/6/2020,7:34 PM,Alabama,Montgomery,555-457-92,false,19,Yes,0.22,$81.30
7/27/2020,4:09 PM,Georgia,Alpharetta,956-987-60,true,19,,,$220.21
1/28/2020,5:54 PM,Georgia,Atlanta,,,3,,,$110.75
10/23/2019,7:22 PM,Florida,Lehigh Acres,701-175-10,true,17,Yes,0.37,$60.92
1/5/2020,12:16 PM,Florida,Tampa,176-996-74,true,12,,,$124.70
2/9/2020,12:04 PM,South Carolina,Spartanburg,097-412-69,true,31,Yes,0.25,$115.44
6/20/2020,2:17 PM,Georgia,Savannah,541-524-93,false,13,,,$160.13
2/14/2020,6:34 PM,Georgia,Atlanta,,,9,,,$51.66
12/4/2019,5:27 PM,Georgia,Atlanta,708-375-56,false,22,,,$137.62
6/16/2020,7:12 PM,South Carolina,Charleston,,,16,,,$77.96
1/27/2020,1:17 PM,Florida,Naples,,,13,,,$131.26
8/9/2020,11:37 AM,Alabama,Birmingham,970-713-36,true,21,Yes,0.2,$115.83
2/14/2020,7:36 PM,Georgia,Atlanta,421-220-79,false,11,,,$62.37
1/7/2020,7:16 PM,Georgia,Atlanta,,,6,Yes,0.48,$203.29
9/17/2020,5:17 PM,Florida,Boynton Beach,317-208-06,false,6,Yes,0.29,$19.25
11/20/2019,2:58 PM,Florida,Clearwater,,,9,,,$179.03
9/18/2020,7:21 PM,Alabama,Mobile,085-616-44,true,12,Yes,0.18,$121.22
10/3/2019,2:47 PM,Florida,Fort Myers,276-556-46,true,12,Yes,0.37,$68.76
4/3/2020,1:07 PM,Florida,Hollywood,232-405-93,false,30,Yes,0.11,$126.16
9/6/2020,2:46 PM,Florida,Orlando,639-928-27,false,16,Yes,0.25,$203.32
7/22/2020,6:52 PM,Florida,Lehigh Acres,337-334-26,false,28,Yes,0.46,$79.48
7/30/2020,4:01 PM,South Carolina,Columbia,,,29,,,$28.98
11/3/2019,1:48 PM,Florida,Lakeland,,,23,,,$195.64
11/11/2019,4:23 PM,Florida,Clearwater,799-891-14,true,6,,,$169.08
1/17/2020,7:52 PM,Alabama,Mobile,658-552-78,false,10,,,$91.99
10/17/2019,2:52 PM,Florida,Pensacola,056-158-29,true,27,Yes,0.27,$20.45
7/28/2020,6:21 PM,Florida,Punta Gorda,539-067-23,true,31,Yes,0.26,$24.43
10/27/2020,6:23 PM,Florida,North Port,563-920-53,false,7,,,$77.73
6/23/2020,3:26 PM,Alabama,Mobile,510-330-54,false,24,Yes,0.34,$210.27
2/18/2020,12:19 PM,South Carolina,Columbia,026-159-69,true,12,Yes,0.4,$86.31
9/20/2020,6:03 PM,South Carolina,Beaufort,,,12,Yes,0.34,$102.83
4/15/2020,8:47 PM,Florida,Jacksonville,,,11,,,$129.47
11/3/2019,4:31 PM,Georgia,Augusta,482-012-31,false,33,Yes,0.48,$90.37
8/19/2020,11:12 AM,Florida,Clearwater,522-606-75,true,29,,,$164.27
4/30/2020,5:30 PM,Georgia,Atlanta,099-386-16,true,7,,,$29.09
2/2/2020,12:48 PM,Florida,Sarasota,112-164-33,false,29,,,$225.04
7/16/2020,2:45 PM,Alabama,Montgomery,209-650-77,false,9,,,$69.31
6/1/2020,6:26 PM,Georgia,Lawrenceville,,,33,,,$109.96
2/1/2020,7:50 PM,Florida,Miami,885-278-78,true,13,,,$111.00
2/28/2020,2:05 PM,Florida,Fort Lauderdale,610-493-16,false,3,Yes,0.35,$126.51
12/29/2019,2:41 PM,Florida,Lake Worth,202-378-86,true,20,,,$52.45
9/4/2020,7:19 PM,South Carolina,Columbia,,,9,,,$208.18
3/7/2020,5:30 PM,Georgia,Atlanta,,,33,,,$206.31
10/12/2020,8:27 PM,South Carolina,Spartanburg,,,12,,,$229.03
5/9/2020,6:18 PM,Florida,Miami,,,7,Yes,0.21,$138.01
4/23/2020,12:24 PM,Florida,Jacksonville,,,31,Yes,0.4,$103.89
10/27/2020,8:35 PM,Florida,Orlando,,,7,,,$170.33
4/6/2020,3:10 PM,South Carolina,Greenville,567-181-49,false,17,Yes,0.27,$130.06
12/11/2019,6:06 PM,Georgia,Lawrenceville,,,24,,,$73.42
3/30/2020,12:22 PM,Alabama,Birmingham,721-788-32,false,22,,,$133.52
5/18/2020,6:39 PM,Florida,Bradenton,094-936-00,true,19,Yes,0.15,$104.80
10/5/2019,11:54 AM,Florida,Seminole,949-200-96,true,33,,,$198.96
1/19/2020,12:15 PM,Mississippi,Jackson,325-991-05,false,7,Yes,0.24,$166.74
10/7/2019,1:08 PM,South Carolina,Columbia,844-106-59,true,14,Yes,0.24,$137.69
10/27/2020,3:49 PM,Alabama,Huntsville,,,5,,,$231.57
3/18/2020,1:08 PM,Georgia,Atlanta,542-542-23,true,3,Yes,0.4,$92.65
10/31/2019,5:45 PM,Georgia,Savannah,,,7,Yes,0.12,$27.34
11/3/2019,8:27 PM,Georgia,Atlanta,,,20,,,$156.50
12/7/2019,2:36 PM,Alabama,Birmingham,935-754-26,true,24,,,$57.09
10/12/2019,2:36 PM,Georgia,Columbus,537-112-47,false,13,,,$194.58
10/20/2020,12:29 PM,Georgia,Columbus,031-527-84,true,9,Yes,0.19,$138.04
6/2/2020,6:17 PM,South Carolina,Spartanburg,,,32,,,$117.09
5/12/2020,3:48 PM,Georgia,Marietta,619-152-39,false,6,,,$188.28
3/16/2020,8:17 PM,Florida,Punta Gorda,642-203-83,false,24,,,$186.97
4/30/2020,1:17 PM,Florida,Sarasota,289-045-13,false,13,Yes,0.15,$197.73
4/14/2020,4:40 PM,Florida,Tallahassee,,,21,Yes,0.36,$213.02
12/29/2019,12:55 PM,Florida,Fort Lauderdale,,,30,,,$39.05
4/18/2020,6:50 PM,Florida,Bonita Springs,597-513-38,false,14,Yes,0.41,$43.54
10/25/2020,3:03 PM,Florida,Orlando,611-391-51,false,16,,,$81.57
