(1.1) Sub-Category from Category Set,(1.2) Sub-Category from Category Set,All-in-one Calc (1),All-in-one Calc (2),All-in-one Calc (3),Category,Colour by Category Level,Manufacturer,Order Date,Product Name,Sub-Category,Sales
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Howard Miller,17/09/2019,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings,124.2
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Poly,17/09/2019,Poly String Tie Envelopes,Envelopes,3.264
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Boston,17/09/2019,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Art,86.304
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,17/09/2019,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Binders,6.858
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,17/09/2019,Lumber Crayons,Art,15.76
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Easy-staple paper,19/10/2021,Easy-staple paper,Paper,29.472
,Technology,False,False,Technology,Technology,Category,GE,08/12/2020,GE 30524EE4,Phones,1097.544
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Electrix,08/12/2020,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furnishings,190.92
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,27/12/2019,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,113.328
Bookcases,Bookcases,True,False,- Bookcases,Furniture,Sub-Category,Atlantic,27/12/2019,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,532.3992
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,27/12/2019,"Global Fabric Manager's Chair, Dark Gray",Chairs,212.058
,Technology,False,False,Technology,Technology,Category,Plantronics,27/12/2019,Plantronics HL10 Handset Lifter,Phones,371.168
,Technology,False,False,Technology,Technology,Category,Panasonic,10/09/2021,Panasonic Kx-TS550,Phones,147.168
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eldon,17/07/2020,"Eldon Base for stackable storage shelf, platinum",Storage,77.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Advantus,19/09/2021,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage,95.616
,Technology,False,False,Technology,Technology,Category,Verbatim,11/03/2020,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,45.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,11/03/2020,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,17.46
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Gould Plastics,20/10/2018,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Storage,211.96
,Technology,False,False,Technology,Technology,Category,Imation,20/06/2020,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,45
,Technology,False,False,Technology,Technology,Category,Other,20/06/2020,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Phones,21.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,C-Line,18/04/2019,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Binders,38.22
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,18/04/2019,Avery 485,Labels,75.18
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Other,18/04/2019,Longer-Life Soft White Bulbs,Furnishings,6.16
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,18/04/2019,"Global Leather Task Chair, Black",Chairs,89.99
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Advantus,11/12/2020,Advantus Push Pins,Fasteners,15.26
,Technology,False,False,Technology,Technology,Category,AT&T,11/12/2020,AT&T CL83451 4-Handset Telephone,Phones,1029.95
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,17/06/2020,Home/Office Personal File Carts,Storage,208.56
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,17/06/2020,Xerox 232,Paper,32.4
Chairs,Chairs,True,True,   -- Novimex,Furniture,Manufacturer,Novimex,17/06/2020,Novimex Turbo Task Chair,Chairs,319.41
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Array,17/06/2020,"Array Parchment Paper, Assorted Colors",Paper,14.56
,Technology,False,False,Technology,Technology,Category,Imation,17/06/2020,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,30
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,17/06/2020,Plastic Binding Combs,Binders,48.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Prang,17/06/2020,Prang Dustless Chalk Sticks,Art,1.68
,Technology,False,False,Technology,Technology,Category,Verbatim,24/11/2019,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Accessories,13.98
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,24/11/2019,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders,25.824
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,24/11/2019,Xerox 1943,Paper,146.73
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Luxo,24/11/2019,Luxo Economy Swing Arm Lamp,Furnishings,79.76
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,30/04/2019,"Global Value Mid-Back Manager's Chair, Gray",Chairs,213.115
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Hunt,05/12/2018,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Art,1113.024
,Technology,False,False,Technology,Technology,Category,Other,05/12/2018,netTALK DUO VoIP Telephone Service,Phones,167.968
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,04/06/2020,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,75.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,18/09/2020,Avery Binding System Hidden Tab Executive Style Index Sets,Binders,4.616
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,14/09/2021,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,19.05
Chairs,Chairs,True,True,   -- Other,Furniture,Manufacturer,Other,26/04/2019,High-Back Leather Manager's Chair,Chairs,831.936
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Tenex,26/04/2019,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furnishings,97.04
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,26/04/2019,Safco Industrial Wire Shelving System,Storage,72.784
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,09/12/2021,Economy Binders,Binders,1.248
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Other,09/12/2021,"6"" Cubicle Wall Clock, Black",Furnishings,9.708
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,09/12/2021,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage,27.24
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Eldon,26/11/2018,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furnishings,19.3
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,12/06/2020,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,208.16
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,12/06/2020,Avery Heavy-Duty EZD  Binder With Locking Rings,Binders,16.74
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,12/10/2018,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Art,14.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,12/10/2018,"Sortfiler Multipurpose Personal File Organizer, Black",Storage,21.39
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,03/09/2019,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,200.984
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,13/11/2021,Safco Industrial Wire Shelving,Storage,230.376
Chairs,Chairs,True,True,   -- Novimex,Furniture,Manufacturer,Novimex,28/05/2021,Novimex Swivel Fabric Task Chair,Chairs,301.96
,Technology,False,False,Technology,Technology,Category,Logitech,26/10/2021,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories,19.99
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,26/10/2021,Avery 511,Labels,6.16
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Eldon,05/04/2020,Eldon Portable Mobile Manager,Storage,158.368
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,17/09/2020,Turquoise Lead Holder with Pocket Clip,Art,20.1
,Technology,False,False,Technology,Technology,Category,Panasonic,17/09/2020,Panasonic Kx-TS550,Phones,73.584
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,17/09/2020,Xerox 1995,Paper,6.48
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,31/01/2019,Xerox 1999,Paper,12.96
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Seth Thomas,31/01/2019,"Seth Thomas 13 1/2"" Wall Clock",Furnishings,53.34
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Ibico,31/01/2019,Ibico Standard Transparent Covers,Binders,32.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,06/11/2021,Flexible Leather- Look Classic Collection Ring Binder,Binders,5.682
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Other,09/11/2021,9-3/4 Diameter Round Wall Clock,Furnishings,96.53
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,17/06/2021,Trimflex Flexible Post Binders,Binders,51.312
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fellowes,06/09/2020,Fellowes Basic Home/Office Series Surge Protectors,Appliances,77.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,29/08/2020,Avery Personal Creations Heavyweight Cards,Paper,64.624
,Technology,False,False,Technology,Technology,Category,SanDisk,29/08/2020,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Accessories,95.976
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,29/08/2020,Avery Hidden Tab Dividers for Binding Systems,Binders,1.788
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Universal,01/12/2020,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,23.92
,Technology,False,False,Technology,Technology,Category,Logitech,13/11/2019,Logitech K350 2.4Ghz Wireless Keyboard,Accessories,238.896
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Deflect-o,13/11/2019,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furnishings,102.36
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,13/11/2019,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders,36.882
,Technology,False,False,Technology,Technology,Category,Memorex,23/11/2021,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Accessories,74.112
,Technology,False,False,Technology,Technology,Category,Other,23/11/2021,Speck Products Candyshell Flip Case,Phones,27.992
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,23/11/2021,Newell Chalk Holder,Art,3.304
,Technology,False,False,Technology,Technology,Category,Logitech,15/10/2019,Logitech Gaming G510s - Keyboard,Accessories,339.96
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Other,25/12/2021,Magnifier Swing Arm Lamp,Furnishings,41.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Hunt,03/11/2020,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Art,75.96
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,03/11/2020,"Avery Durable Plastic 1"" Binders",Binders,27.24
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,25/08/2018,"OIC Colored Binder Clips, Assorted Sizes",Fasteners,40.096
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,25/08/2018,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Envelopes,4.72
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,25/08/2018,Xerox 1921,Paper,23.976
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tyvek,25/08/2018,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Envelopes,130.464
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Hon,02/03/2019,Hon Racetrack Conference Tables,Tables,787.53
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,05/04/2019,GBC DocuBind 300 Electric Binding Machine,Binders,157.794
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Other,12/06/2020,Artistic Insta-Plaque,Furnishings,47.04
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,DXL,12/06/2020,DXL Angle-View Binders with Locking Rings by Samsill,Binders,30.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,12/06/2020,"Companion Letter/Legal File, Black",Storage,226.56
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Global,12/06/2020,Globe Weis Peel & Seel First Class Envelopes,Envelopes,115.02
,Technology,False,False,Technology,Technology,Category,Other,12/06/2020,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Phones,68.04
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,26/12/2018,Global Deluxe High-Back Manager's Chair,Chairs,600.558
Tables,Tables,True,False,- Tables,Furniture,Sub-Category,Bevis,20/09/2018,Bevis 44 x 96 Conference Tables,Tables,617.7
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,05/11/2021,"Avery Durable Slant Ring Binders, No Labels",Binders,2.388
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,05/11/2021,"Trav-L-File Heavy-Duty Shuttle II, Black",Storage,243.992
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,06/11/2020,"Global Task Chair, Black",Chairs,81.424
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Eldon,06/11/2020,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furnishings,238.56
,Technology,False,False,Technology,Technology,Category,Anker,02/02/2021,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Phones,59.97
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,02/02/2021,Xerox 1916,Paper,78.304
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,02/02/2021,Staples,Fasteners,21.456
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,13/10/2020,Xerox 195,Paper,20.04
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,13/10/2020,Xerox 1880,Paper,35.44
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,13/10/2020,"Sanford Colorific Colored Pencils, 12/Box",Art,11.52
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,13/10/2020,Ideal Clamps,Fasteners,4.02
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,13/10/2020,GBC Wire Binding Strips,Binders,76.176
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Fiskars,13/10/2020,Fiskars Softgrip Scissors,Supplies,65.88
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Other,13/10/2020,Longer-Life Soft White Bulbs,Furnishings,43.12
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Howard Miller,05/09/2020,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings,82.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,18/09/2021,Newell 343,Art,8.82
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,18/09/2021,Convenience Packs of Business Envelopes,Envelopes,10.86
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,18/09/2021,Xerox 1911,Paper,143.7
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanyo,22/12/2021,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Appliances,839.43
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,SAFCO,07/09/2019,Safco Industrial Wire Shelving,Storage,671.93
Furnishings,Furnishings,True,False,- Furnishings,Furniture,Sub-Category,Seth Thomas,22/10/2018,"Seth Thomas 14"" Putty-Colored Wall Clock",Furnishings,93.888
,Technology,False,False,Technology,Technology,Category,Plantronics,05/12/2020,Plantronics Cordless Phone Headset with In-line Volume - M214C,Phones,384.45
,Technology,False,False,Technology,Technology,Category,Anker,05/12/2020,Anker Astro 15000mAh USB Portable Charger,Phones,149.97
Chairs,Chairs,True,True,   -- Hon,Furniture,Manufacturer,Hon,05/12/2020,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,1951.84
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,GBC,05/12/2020,GBC Prestige Therm-A-Bind Covers,Binders,171.55
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Belkin,13/03/2020,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Appliances,157.92
,Technology,False,False,Technology,Technology,Category,Jabra,13/03/2020,Jabra BIZ 2300 Duo QD Duo Corded Headset,Phones,203.184
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Southworth,31/05/2019,Southworth 25% Cotton Antique Laid Paper & Envelopes,Paper,58.38
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,31/05/2019,Xerox 1883,Paper,105.52
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tenex,31/05/2019,"Tenex Personal Project File with Scoop Front Design, Black",Storage,80.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Newell,28/05/2019,Newell 311,Art,6.63
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,01/03/2018,Global Deluxe High-Back Manager's Chair,Chairs,457.568
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,20/11/2020,Avery 519,Labels,14.62
,Technology,False,False,Technology,Technology,Category,Avaya,20/11/2020,Avaya 5420 Digital phone,Phones,944.93
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,11/05/2020,Xerox 1920,Paper,5.98
,Technology,False,False,Technology,Technology,Category,Other,28/12/2019,Lenovo 17-Key USB Numeric Keypad,Accessories,54.384
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Staple envelope,16/11/2020,Staple envelope,Envelopes,28.4
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Wilson Jones,07/11/2020,Wilson Jones International Size A4 Ring Binders,Binders,27.68
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,BIC,08/09/2018,BIC Brite Liner Highlighters,Art,9.936
,Technology,False,False,Technology,Technology,Category,Other,08/09/2018,Lexmark MX611dhe Monochrome Laser Printer,Machines,8159.952
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Space Solutions,08/09/2018,Space Solutions HD Industrial Steel Shelving.,Storage,275.928
Chairs,Chairs,True,True,   -- SAFCO,Furniture,Manufacturer,SAFCO,08/09/2018,SAFCO Arco Folding Chair,Chairs,1740.06
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,08/09/2018,Sanford Liquid Accent Highlighters,Art,32.064
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Kensington,08/09/2018,Kensington 7 Outlet MasterPiece Power Center,Appliances,177.98
,Technology,False,False,Technology,Technology,Category,Other,08/09/2018,JBL Micro Wireless Portable Bluetooth Speaker,Phones,143.976
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Adams,05/08/2018,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Paper,20.94
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,05/08/2018,Xerox 1913,Paper,110.96
Chairs,Chairs,True,True,   -- Global,Furniture,Manufacturer,Global,05/08/2018,"Global Value Steno Chair, Gray",Chairs,340.144
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Kensington,14/09/2018,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Appliances,52.448
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,14/09/2018,Avery 51,Labels,20.16
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acco,21/04/2021,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Appliances,97.264
Chairs,Chairs,True,True,   -- Other,Furniture,Manufacturer,Other,21/11/2019,"Padded Folding Chairs, Black, 4/Carton",Chairs,396.802
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Acme,21/11/2019,Acme Rosewood Handle Letter Opener,Supplies,15.88
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Sanford,15/12/2019,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Art,3.28
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Tenex,05/12/2018,"Tenex File Box, Personal Filing Tote with Lid, Black",Storage,24.816
,Technology,False,False,Technology,Technology,Category,Imation,05/12/2018,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Accessories,408.744
,Technology,False,False,Technology,Technology,Category,AT&T,19/11/2018,AT&T TR1909W,Phones,503.96
,Technology,False,False,Technology,Technology,Category,Nokia,19/11/2018,Nokia Lumia 521 (T-Mobile),Phones,149.95
,Technology,False,False,Technology,Technology,Category,HP,19/11/2018,HP Standard 104 key PS/2 Keyboard,Accessories,29
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Avery,28/11/2020,Avery Poly Binder Pockets,Binders,7.16
,Technology,False,False,Technology,Technology,Category,SanDisk,26/08/2018,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Accessories,176.8
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,16/07/2020,"Personal Filing Tote with Lid, Black/Gray",Storage,37.224
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Southworth,16/07/2020,Southworth 25% Cotton Antique Laid Paper & Envelopes,Paper,20.016
Bookcases,Bookcases,True,False,- Bookcases,Furniture,Sub-Category,Atlantic,12/10/2019,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Bookcases,899.136
,Technology,False,False,Technology,Technology,Category,Other,12/10/2019,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Phones,71.76
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Xerox,12/10/2019,Xerox 205,Paper,51.84
Bookcases,Bookcases,True,False,- Bookcases,Furniture,Sub-Category,Atlantic,12/10/2019,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,626.352
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Other,12/10/2019,4009 Highlighters by Sanford,Art,19.9
,Office Supplies,False,False,Office Supplies,Office Supplies,Category,Poly,31/10/2019,Poly String Tie Envelopes,Envelopes,14.28
