City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
20-9001-002,7/6/2020,O,,Planning Director's Office - Admin,Public Safety,Negligent Plan Approval,,0.00,0.00
20-0075-001,7/7/2020,F,7/31/2020,Police- Central City Precinct 500,Law Enforcement,Improper Medical Care,"250,000.00",0.00,0.00
20-0122-001,7/7/2020,F,9/1/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"3,000.00",0.00,0.00
20-0281-001,7/7/2020,F,10/9/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,200.00",0.00,0.00
20-0368-001,7/7/2020,O,,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","400,000.00",0.00,0.00
20-0736-001,7/7/2020,F,2/3/2021,Street- Southwest Maint Dist,Operations,Pot Hole,180.00,0.00,0.00
20-9000-001,7/7/2020,O,,Planning Director's Office - Admin,Public Officials,Negligent Plan Approval,,0.00,0.00
20-0027-001,7/8/2020,F,8/27/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,,0.00,"1,282.87"
20-0092-001,7/8/2020,F,10/14/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"1,000.00",0.00,"1,195.00"
20-0134-001,7/8/2020,F,10/7/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"5,000.00",0.00,"4,475.18"
20-0088-001,7/9/2020,F,8/14/2020,Police - Northern Precinct 200,Police Vehicle,Backing,"1,701.95",0.00,"1,861.95"
20-0091-001,7/9/2020,F,12/1/2020,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,"1,000.00",0.00,"1,266.16"
20-0668-001,7/9/2020,F,1/8/2021,Street- North Maint Dist,Operations,Excavation Related,"1,773.08",0.00,0.00
20-0105-001,7/10/2020,F,10/20/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Main/Vehicle/Int,"1,172.14",0.00,"1,849.56"
20-0229-001,7/10/2020,F,10/23/2020,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",768.56,0.00,768.56
20-0413-001,7/10/2020,F,3/2/2021,Pub Wks- Solid Waste Field Services Sout,Operations,Damage by Mobile Equipment,"12,000.00",0.00,"6,316.60"
20-0490-001,7/10/2020,F,2/18/2021,Police- Maryvale Precinct 800,Police Vehicle,Failure to Yield,"8,613.64",0.00,0.00
20-0084-001,7/11/2020,F,8/17/2020,Street- Central Maintenance Dist,Operations,Pot Hole,"1,068.70",0.00,0.00
20-0099-001,7/11/2020,F,9/24/2020,Fire Battalion 1,Fire/EMS Operations,Maint. of Equipment,"2,632.42",0.00,"2,632.42"
20-0133-001,7/11/2020,F,10/9/2020,Street- Southwest Maint Dist,Operations,Overhanging Tree,"8,466.00",0.00,0.00
20-0263-001,7/11/2020,F,10/15/2020,Street- Southwest Maint Dist,Operations,Damage to Property/Injury to Persons,"2,635.50",0.00,"2,635.50"
20-0110-001,7/13/2020,F,12/11/2020,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"27,100.00",0.00,"25,000.00"
20-0110-002,7/13/2020,F,3/2/2021,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"8,123.89",0.00,"6,782.69"
20-0110-003,7/13/2020,F,5/17/2021,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"15,000.00",0.00,0.00
20-0110-004,7/13/2020,F,11/6/2020,Police- Desert Horizon Precinct 600,Medium/Heavy,Failure to Yield,"8,123.89",0.00,0.00
20-0110-005,7/13/2020,F,12/24/2020,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"2,647.27",0.00,"2,647.27"
20-0110-006,7/13/2020,O,,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"45,809.49",59.37,0.00
20-0110-007,7/13/2020,F,6/22/2021,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"7,000.00",0.00,0.00
20-0110-008,7/13/2020,F,3/15/2021,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"10,040.85",0.00,"10,040.85"
20-0115-001,7/13/2020,F,3/2/2021,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"2,800.00",0.00,"3,352.86"
20-0137-001,7/13/2020,F,10/1/2020,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Police Vehicle,Failure to Yield,850.00,0.00,742.51
20-0159-001,7/13/2020,F,8/27/2020,Street- Central Maintenance Dist,Operations,Pot Hole,79.99,0.00,0.00
20-0221-001,7/13/2020,F,10/5/2020,Police- Maryvale Precinct 800,Police Vehicle,Rear End,"3,508.00",0.00,"3,008.20"
20-0403-001,7/13/2020,F,10/21/2020,Police- Desert Horizon Precinct 600,Medium/Heavy,Failure to Yield,"8,123.89",0.00,0.00
20-0447-001,7/13/2020,F,11/13/2020,Parks- South Division,Premises,Maint. Building/Premises,"31,505.86",0.00,0.00
20-0080-001,7/14/2020,F,3/17/2021,Water Distrib - Cave Creek Yard,Operations,Sewer Backup,,0.00,0.00
20-0123-001,7/14/2020,F,7/31/2020,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Other,"1,752.95",0.00,0.00
20-0177-001,7/14/2020,F,9/24/2020,Street- Central Maintenance Dist,Operations,Missing/Hit Cover,"1,350.00",0.00,"1,350.00"
20-0596-001,7/14/2020,F,4/9/2021,Street- Southeast Maint Dist,Operations,Construction Area,"80,000.00",0.00,0.00
20-0132-001,7/15/2020,F,8/31/2020,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,125.00,0.00,125.00
20-0158-001,7/15/2020,F,12/22/2020,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,"1,499.00",0.00,"1,500.00"
20-0207-001,7/15/2020,F,9/18/2020,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",385.00,0.00,0.00
20-0435-001,7/15/2020,F,6/16/2021,Water Distrib - Cave Creek Yard,Operations,Change Meter,400.00,0.00,400.00
20-0083-001,7/16/2020,F,9/11/2020,Street- North Maint Dist,Operations,Tar/Paint/Oil,264.99,0.00,0.00
20-0125-001,7/16/2020,F,9/4/2020,Street- North Maint Dist,Operations,Pot Hole,"4,187.52",0.00,0.00
20-0286-001,7/16/2020,F,1/11/2021,Water Distrib - Reservoir Yard,Operations,Change Meter,,0.00,0.00
20-0082-001,7/17/2020,F,8/26/2020,Street- Southwest Maint Dist,Operations,Pot Hole,"2,052.00",0.00,513.00
20-0154-001,7/17/2020,F,12/3/2020,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,400.00,0.00,400.00
20-0492-001,7/17/2020,F,12/16/2020,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"1,500.00",0.00,"1,500.00"
20-0666-001,7/17/2020,F,1/8/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Rear End,"2,019,021.05",0.00,0.00
20-0666-002,7/17/2020,F,1/11/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Failure to Yield,"75,000.00",0.00,0.00
20-0700-001,7/17/2020,F,4/21/2021,Police- Central City Precinct 500,Law Enforcement,False Arrest,"125,000.00",0.00,0.00
20-0151-001,7/18/2020,F,10/13/2020,Street- North Maint Dist,Operations,Pot Hole,265.00,0.00,0.00
20-0280-001,7/20/2020,F,9/24/2020,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,800.00,0.00,800.00
20-0111-001,7/21/2020,F,10/1/2020,Police- Maryvale Precinct 800,Law Enforcement,Failure/Negligent Investigation,"540,000.00",0.00,0.00
20-0328-001,7/23/2020,F,10/23/2020,Water Distrib - Cave Creek Yard,Operations,Change Meter,573.13,0.00,0.00
20-9002-001,7/23/2020,O,,Planning Director's Office - Admin,Public Officials,Public Officials Liability,,0.00,0.00
20-0121-001,7/24/2020,F,8/25/2020,Street- Southwest Maint Dist,Operations,Pot Hole,"1,075.12",0.00,687.50
20-0167-001,7/24/2020,F,8/21/2020,Street- North Maint Dist,Operations,Damage to Property/Injury to Persons,"4,018.00",0.00,0.00
20-0802-001,7/24/2020,O,,Police- Central City Precinct 500,Employment,Employment Discrimination,,0.00,0.00
20-0141-001,7/26/2020,F,9/2/2020,Water Distrib - 2nd/3rd Shift,Operations,Pot Hole,"1,392.88",0.00,"1,130.00"
20-0139-001,7/27/2020,F,8/21/2020,Non-City Claim,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,005.37",0.00,0.00
20-0156-001,7/27/2020,F,8/13/2020,Street- North Maint Dist,Operations,Pot Hole,"3,480.89",0.00,0.00
20-0246-001,7/27/2020,F,10/9/2020,Water Distrib - Reservoir Yard,Light Truck,Struck Fixed Object,"2,290.00",0.00,0.00
20-0265-001,7/27/2020,F,10/9/2020,Planning-Commer Bldg Plan Rev/Insp/Elevatr In,Contract Dispute,Construction Contract,"150,000.00",0.00,0.00
20-0348-001,7/27/2020,R,12/17/2020,Street- North Maint Dist,Operations,Pot Hole,"5,171.91",0.00,0.00
20-0415-001,7/27/2020,O,,Equal Opprty- Admin/Enforcemt/Aff Action,Employment,Retaliation,,0.00,0.00
20-0239-001,7/28/2020,F,3/22/2021,Police- Central City Precinct 500,Law Enforcement,Defamation,"65,000.00",0.00,0.00
20-0160-001,7/29/2020,F,8/11/2020,Street- North Maint Dist,Operations,Tar/Paint/Oil,"1,530.80",0.00,0.00
20-0237-001,7/29/2020,F,4/30/2021,Water Distrib - Reservoir Yard,Operations,Water Main Break,380.00,0.00,380.00
20-0278-001,7/29/2020,F,10/9/2020,Parks- South Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","5,531.25",0.00,0.00
20-0285-001,7/29/2020,F,12/7/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Forced Entry,231.65,0.00,231.65
20-0763-001,7/29/2020,F,2/18/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Struck Fixed Object,"1,603.56",0.00,0.00
20-0173-001,7/30/2020,F,9/25/2020,Police- Central City Precinct 500,Police Vehicle,Backing,"3,295.78",0.00,"3,211.98"
20-0732-001,7/30/2020,F,5/20/2021,Parks- Downtown Division,Premises,Maint. Building/Premises,"300,000.00",0.00,0.00
20-0267-001,7/31/2020,F,12/9/2020,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","8,600.00",0.00,"10,139.60"
20-0359-001,7/31/2020,F,10/16/2020,Police- Central City Precinct 500,Law Enforcement,"Care, Custody, Control",80.00,0.00,0.00
20-0164-001,8/1/2020,F,8/14/2020,Street- Southwest Maint Dist,Operations,Tar/Paint/Oil,"2,020.20",0.00,0.00
20-0174-001,8/1/2020,R,6/28/2021,Water Distrib - Corona Yard,Operations,Water Main Break,"6,000.00",0.00,0.00
20-0503-001,8/1/2020,F,2/18/2021,Police- Cactus Park Precinct 900,Law Enforcement,Excessive Force,800.00,0.00,0.00
20-0565-001,8/1/2020,F,1/14/2021,Police- Central City Precinct 500,Law Enforcement,"Care, Custody, Control","42,000.00",0.00,0.00
20-0222-001,8/2/2020,F,12/1/2020,Parks- South Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","2,535.50",0.00,"2,535.50"
20-0251-001,8/2/2020,F,9/16/2020,Street- Southeast Maint Dist,Operations,Debris/Object in Road,979.67,0.00,0.00
20-0256-001,8/3/2020,F,2/1/2021,Water Distrib - Reservoir Yard,Operations,Water Main Break,"1,067.83",0.00,"1,067.83"
20-0299-001,8/3/2020,F,11/9/2020,Police- S. Mountain Precinct 400,Police Vehicle,Turning,"1,000.00",0.00,"1,000.00"
20-0220-001,8/4/2020,F,10/29/2020,Street- Southwest Maint Dist,Operations,Pot Hole,329.55,0.00,329.55
20-0741-001,8/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,Shooting,"5,000,000.00",0.00,0.00
20-0741-002,8/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,Shooting,"5,000,000.00",0.00,0.00
20-0741-003,8/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,Shooting,"5,000,000.00",0.00,0.00
20-0741-004,8/4/2020,O,,Police- Central City Precinct 500,Law Enforcement,Shooting,"5,000,000.00",0.00,0.00
20-0172-001,8/5/2020,F,8/25/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Backing,849.74,0.00,849.74
20-0175-001,8/5/2020,F,3/2/2021,Water Distrib - Reservoir Yard,Operations,Water Main Break,,0.00,"2,500.00"
20-0238-001,8/5/2020,F,9/10/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"5,500.00",0.00,"6,500.00"
20-0252-001,8/5/2020,F,10/27/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,750.00,0.00,750.00
20-0254-001,8/5/2020,F,3/2/2021,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"6,503.56",0.00,"3,205.21"
20-0307-001,8/5/2020,F,10/16/2020,Street- Southwest Maint Dist,Operations,Pot Hole,536.00,0.00,0.00
20-0573-001,8/5/2020,F,12/28/2020,Street- Southeast Maint Dist,Operations,Damage to Property/Injury to Persons,"7,233.36",0.00,0.00
20-0592-001,8/5/2020,F,2/22/2021,Water Distrib - Morten Yard,Operations,Water Service Related,"1,267.00",0.00,0.00
20-0687-001,8/5/2020,F,6/23/2021,Library- Admin,Medium/Heavy,Backing,"17,962.81",0.00,0.00
20-0226-001,8/6/2020,F,9/11/2020,Street- North Maint Dist,Operations,Tar/Paint/Oil,150.80,0.00,0.00
20-0598-001,8/6/2020,F,5/27/2021,Water Distrib - Reservoir Yard,Operations,"Care, Custody, Control","1,761.59",0.00,0.00
20-0756-001,8/6/2020,F,2/18/2021,Aviation- Sky Harbor Airport/Terminals,Operations,Damage to Property/Injury to Persons,"900,900.00",0.00,0.00
20-0275-001,8/7/2020,F,10/13/2020,Fire- Admin/EMS/CAD-Alarm/Safety,EMS/Ambulance,Main/Vehicle/Int,188.58,0.00,188.58
20-0362-001,8/7/2020,F,10/9/2020,Street- Central Maintenance Dist,Operations,Construction Area,56.47,0.00,0.00
20-0509-001,8/7/2020,F,12/11/2020,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,425.00,0.00,0.00
20-0669-001,8/7/2020,F,1/20/2021,Street- Southeast Maint Dist,Operations,Construction Area,"7,065.58",0.00,0.00
20-0329-001,8/8/2020,F,2/16/2021,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"1,004.39",0.00,0.00
20-0772-001,8/8/2020,F,2/11/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Operations,"Care, Custody, Control",340.00,0.00,0.00
20-0272-001,8/9/2020,F,4/22/2021,Police- Central City Precinct 500,Law Enforcement,Violate Civil Rights,"2,400,000.00",0.00,0.00
20-0272-002,8/9/2020,F,4/21/2021,Police- Central City Precinct 500,Law Enforcement,False Arrest,"250,000.00",0.00,0.00
20-0272-003,8/9/2020,F,4/22/2021,Police- Central City Precinct 500,Law Enforcement,False Arrest,"250,000.00",0.00,0.00
20-0279-001,8/9/2020,F,10/29/2020,Street- Southeast Maint Dist,Operations,Pot Hole,"1,568.52",0.00,"1,568.52"
20-0493-001,8/9/2020,F,11/20/2020,Transit- Phoenix Transit-Contract,Bus 21-75,Turning,"6,307.55",0.00,0.00
20-0715-001,8/9/2020,F,3/4/2021,Police- Maryvale Precinct 800,Law Enforcement,Improper Medical Care,"2,500,000.00",0.00,0.00
20-0325-001,8/10/2020,F,2/26/2021,Water Distrib - Corona Yard,Operations,Water Service Related,350.00,0.00,350.00
20-0355-001,8/10/2020,F,12/29/2020,Water Distrib - Morten Yard,Operations,Excavation Related,"31,877.80",0.00,"25,000.00"
20-0457-001,8/10/2020,F,1/19/2021,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Police Vehicle,Failure to Yield,"3,923.61",0.00,0.00
20-0248-001,8/11/2020,F,11/5/2020,Water Distrib - Reservoir Yard,Operations,Change Meter,449.98,0.00,0.00
20-0253-001,8/11/2020,F,10/15/2020,Pub Wks- Solid Waste Field Services Sout,Operations,Damage by Mobile Equipment,450.00,0.00,350.00
20-0402-001,8/11/2020,F,10/21/2020,Street- Southeast Maint Dist,Operations,Debris/Object in Road,"1,000.94",0.00,0.00
20-0504-001,8/11/2020,F,12/24/2020,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,750.00,0.00,750.00
20-0647-001,8/11/2020,F,4/19/2021,Water Distrib - Reservoir Yard,Operations,Flooding,820.54,0.00,820.54
20-0215-001,8/12/2020,F,12/16/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Turning,"6,490.63",0.00,"7,371.46"
20-0597-001,8/12/2020,F,12/28/2020,Street- Southwest Maint Dist,Operations,Damage to Property/Injury to Persons,"4,842.89",0.00,0.00
20-0264-001,8/13/2020,F,10/23/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,344.50,0.00,344.50
20-0321-001,8/13/2020,F,10/16/2020,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,"9,600.00",0.00,0.00
20-0374-001,8/13/2020,F,11/20/2020,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Police Vehicle,Emergency Maneuver,"9,592.66",0.00,0.00
20-0420-001,8/13/2020,F,11/19/2020,Unknown Dept/Temporary Use Only,Light Truck,Struck Fixed Object,"2,309.64",0.00,0.00
20-0978-001,8/13/2020,F,4/27/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Mechanical Failure,"13,313.04",0.00,0.00
20-0255-001,8/14/2020,F,11/17/2020,Police- Maryvale Precinct 800,Police Vehicle,Police Pursuit,"1,011.81",0.00,"1,011.81"
20-0292-001,8/14/2020,F,12/4/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,250.00,0.00,250.00
20-0320-001,8/14/2020,F,10/22/2020,Parks- Northwest Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,367.00",0.00,0.00
20-0514-001,8/14/2020,O,,Police- Squaw Peak Precinct 700,Police Vehicle,Failure to Yield,"16,256.79",0.00,0.00
20-0514-002,8/14/2020,O,,Police- Squaw Peak Precinct 700,Police Vehicle,Failure to Yield,"100,000.00",0.00,0.00
20-0242-001,8/15/2020,F,12/28/2020,Water Distrib - Reservoir Yard,Operations,Change Meter,319.00,0.00,319.00
20-0217-001,8/16/2020,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
20-0217-002,8/16/2020,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,"4,047.58"
20-0217-003,8/16/2020,F,4/5/2021,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
20-0244-001,8/16/2020,F,9/18/2020,Street- Southwest Maint Dist,Operations,Pot Hole,"5,000.00",0.00,0.00
20-0223-001,8/17/2020,F,12/7/2020,Pub Wks- Downtown-Metro Facil Mgt/Parkin,Premises,Maint. Building/Premises,"2,743.58",0.00,"3,193.58"
20-0274-001,8/17/2020,F,9/11/2020,Transit- Phoenix Transit-Contract,Bus 21-75,Failure to Yield,"1,635.38",0.00,0.00
20-0889-001,8/17/2020,F,3/18/2021,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,500.00,0.00,0.00
20-0227-001,8/18/2020,F,9/18/2020,Street- Southwest Maint Dist,Operations,Negligent Barricading,"2,769.67",0.00,0.00
20-0284-001,8/18/2020,F,12/14/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Forced Entry,"2,872.50",0.00,0.00
20-0382-001,8/18/2020,F,12/28/2020,Street- North Maint Dist,Operations,Pot Hole,303.59,0.00,155.00
20-0232-001,8/20/2020,F,3/2/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"18,000.00",0.00,"7,735.05"
20-0268-001,8/20/2020,F,9/16/2020,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,000.00",0.00,0.00
20-0380-001,8/20/2020,F,12/14/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"3,900.00",0.00,0.00
20-0665-001,8/20/2020,F,1/14/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Turning,"100,000.00",0.00,0.00
20-0326-001,8/21/2020,F,10/9/2020,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,500.00,0.00,500.00
20-0330-001,8/21/2020,F,3/2/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"7,000.00",0.00,"5,429.67"
20-0790-001,8/22/2020,F,6/24/2021,Police- Desert Horizon Precinct 600,Law Enforcement,False Arrest,"2,550,000.00",0.00,0.00
20-0811-001,8/22/2020,F,3/4/2021,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,"Maint. of St., Sidewalks, Rights-of-way","3,300.00",0.00,0.00
20-0508-001,8/23/2020,F,3/22/2021,Police- S. Mountain Precinct 400,Police Vehicle,U-Turn,"13,889.63",0.00,"13,820.63"
20-0508-002,8/23/2020,O,,Police- S. Mountain Precinct 400,Police Vehicle,U-Turn,"90,000.00",0.00,0.00
20-0508-003,8/23/2020,O,,Police- S. Mountain Precinct 400,Police Vehicle,U-Turn,"85,000.00",0.00,0.00
20-0650-001,8/23/2020,F,4/22/2021,Street- Southeast Maint Dist,Light Truck,Falling Load/Rock,"488,044.72",0.00,0.00
20-0536-001,8/24/2020,F,12/10/2020,Water Distrib - Reservoir Yard,Operations,Construction Area,"253,500.00",0.00,0.00
20-0334-001,8/25/2020,F,12/7/2020,Water Distrib - Morten Yard,Operations,Change Meter,"3,000.00",0.00,860.00
20-0538-001,8/25/2020,F,12/16/2020,Water Distrib - Reservoir Yard,Operations,Damage by Mobile Equipment,381.00,0.00,0.00
20-0695-001,8/25/2020,F,2/26/2021,Police-TechSvcs/Rec-ID/Lab/Com911/Prop M,Police Vehicle,Failure to Yield,"6,688.39",0.00,"6,688.39"
20-0257-001,8/26/2020,F,11/16/2020,Non-City Claim,Other,Other,"20,000.00",0.00,0.00
20-0309-001,8/26/2020,F,10/9/2020,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Failure to Yield,"6,741.06",0.00,0.00
20-0823-001,8/26/2020,F,3/4/2021,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Law Enforcement,Excessive Force,"500,000.00",0.00,0.00
20-0271-001,8/27/2020,F,10/7/2020,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Forced Entry,566.63,0.00,566.63
20-0317-001,8/27/2020,F,12/17/2020,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"1,082.00",0.00,"1,290.84"
20-0599-001,8/27/2020,F,1/29/2021,Police- Central City Precinct 500,Police Vehicle,Rear End,725.17,0.00,725.17
20-0270-001,8/28/2020,F,10/27/2020,Wastewtr Engineering & Construction Mgt,Operations,Missing/Hit Cover,"1,748.35",0.00,915.00
20-0306-001,8/28/2020,F,10/27/2020,Street- Southwest Maint Dist,Operations,Pot Hole,"1,210.39",0.00,"1,150.00"
20-0260-001,8/29/2020,F,10/6/2020,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",240.00,0.00,216.12
20-0414-001,8/29/2020,F,1/20/2021,Fire Battalion 8,Fire/EMS Operations,Fire Misc,340.00,0.00,340.00
20-0671-001,8/29/2020,F,1/8/2021,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",237.01,0.00,0.00
20-0708-001,8/29/2020,O,,Police- Desert Horizon Precinct 600,Police Vehicle,Collide with Pedestrian,"100,000.00",0.00,0.00
20-0346-001,8/30/2020,F,10/20/2020,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,500.00",0.00,0.00
20-0387-001,8/30/2020,F,11/13/2020,Pub Wks- Solid Waste Field Services East,Operations,Damage to Property/Injury to Persons,,0.00,0.00
20-0831-001,8/30/2020,F,3/11/2021,Street- Southeast Maint Dist,Operations,Debris/Object in Road,"21,720.53",0.00,0.00
20-0261-001,9/1/2020,F,11/10/2020,Parks- Northeast Division,Premises,Maint. Building/Premises,155.63,0.00,155.63
20-0261-002,9/1/2020,F,10/1/2020,Parks- Northeast Division,Premises,Maint. Building/Premises,397.03,0.00,397.03
20-0261-003,9/1/2020,F,10/14/2020,Parks- Northeast Division,Premises,Maint. Building/Premises,430.43,0.00,430.43
20-0261-004,9/1/2020,F,11/2/2020,Parks- Northeast Division,Premises,Maint. Building/Premises,259.77,0.00,259.77
20-0295-001,9/1/2020,F,1/12/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,,0.00,"1,828.41"
20-0301-001,9/1/2020,F,3/2/2021,Street- Southeast Maint Dist,Operations,Missing/Hit Cover,"30,363.62",0.00,0.00
20-0301-002,9/1/2020,F,12/23/2020,Street- Southeast Maint Dist,Operations,Missing/Hit Cover,"1,000.00",0.00,0.00
20-0523-001,9/1/2020,F,4/19/2021,Police - Estrella Mountain Precinct 300,Police Vehicle,Struck Fixed Object,"4,500.00",0.00,0.00
20-0303-001,9/2/2020,F,11/19/2020,Parks- South Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",427.46,0.00,427.46
