City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
21-0091-001,7/26/2021,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
21-0091-002,7/26/2021,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
21-0091-003,7/26/2021,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
21-0093-001,7/14/2021,O,,Pub Wks- Solid Waste Field Services East,Operations,Negligent Design,2000000.00,0.00,0.00
21-0094-001,7/16/2021,O,,Police - Estrella Mountain Precinct 300,Law Enforcement,Excessive Force,,0.00,0.00
21-0095-001,7/22/2021,F,9/20/2021,Pub Wks- Solid Waste Field Services West,Operations,Damage to Property/Injury to Persons,7800.00,0.00,5275.50
21-0097-001,7/13/2021,F,9/1/2021,Street- Central Maintenance Dist,Operations,Debris/Object in Road,1043.97,0.00,0.00
21-0098-001,7/3/2021,F,8/25/2021,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,Overhanging Tree,395.16,0.00,395.16
21-0099-001,7/7/2021,F,8/10/2021,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,Negligent Design,425.00,0.00,0.00
21-0101-001,7/30/2021,O,,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,0.00
21-0103-001,7/29/2021,F,9/10/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,299.98,0.00,299.98
21-0104-001,7/19/2021,F,8/18/2021,Street- Southeast Maint Dist,Operations,Pot Hole,7500.00,0.00,0.00
21-0105-001,7/28/2021,F,8/19/2021,Street- Central Maintenance Dist,Operations,Negligent Design,209.44,0.00,0.00
21-0107-001,7/30/2021,F,12/20/2021,Water Distrib - Corona Yard,Operations,Water Main Break,20247.00,0.00,8300.00
21-0110-001,7/3/2021,O,,Water Distrib - Reservoir Yard,Operations,Water Main Break,7000.00,0.00,0.00
21-0111-001,7/22/2021,F,9/8/2021,Street- Central Maintenance Dist,Operations,Missing/Hit Cover,1023.79,0.00,0.00
21-0114-001,7/16/2021,F,10/7/2021,Water Distrib - Reservoir Yard,Operations,Water Main Break,8500.00,0.00,802.98
21-0116-001,7/29/2021,F,10/12/2021,Street- Central Maintenance Dist,Operations,Pot Hole,238.70,0.00,120.00
21-0117-001,7/27/2021,F,11/19/2021,Street- Southwest Maint Dist,Operations,Pot Hole,1566.25,0.00,1566.25
21-0119-001,8/4/2021,F,8/26/2021,Street- North Maint Dist,Operations,Pot Hole,1166.91,0.00,0.00
21-0121-001,7/20/2021,O,,Police- Maryvale Precinct 800,Law Enforcement,Shooting,,0.00,0.00
21-0123-001,7/16/2021,O,,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,4300.00,0.00,0.00
21-0125-001,8/2/2021,F,8/19/2021,Golf - All Golf Courses/Pros/Golf Ball Hits,Premises,Golf Course Related,133.00,0.00,0.00
21-0126-001,8/4/2021,F,9/2/2021,Street- Southeast Maint Dist,Operations,Negligent Design,4881.48,0.00,0.00
21-0130-001,8/5/2021,F,8/13/2021,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,"Maint. of St., Sidewalks, Rights-of-way",1100.00,0.00,0.00
21-0131-001,7/21/2021,F,9/10/2021,Street- Southeast Maint Dist,Light Truck,Lane Change/Pass,603.43,0.00,603.43
21-0134-001,7/16/2021,F,12/30/2021,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,430000000.00,0.00,0.00
21-0135-001,7/21/2021,F,9/14/2021,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Police Vehicle,Struck Fixed Object,2788.59,0.00,2788.59
21-0136-001,8/3/2021,F,8/19/2021,Street- Southeast Maint Dist,Operations,Pot Hole,2550.88,0.00,0.00
21-0137-001,8/8/2021,O,,Police- Cactus Park Precinct 900,Police Vehicle,Failure to Yield,85000.00,0.00,7747.82
21-0139-001,7/20/2021,F,9/22/2021,Street- North Maint Dist,Operations,Damage to Property/Injury to Persons,653.46,0.00,0.00
21-0141-001,7/30/2021,F,9/1/2021,Street- Central Maintenance Dist,Operations,Debris/Object in Road,40.00,0.00,0.00
21-0146-001,7/24/2021,F,9/22/2021,Parks- Northwest Division,Premises,Maint. Building/Premises,13000.00,0.00,0.00
21-0147-001,7/24/2021,F,9/23/2021,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",3000.00,0.00,0.00
21-0151-001,7/24/2021,F,10/22/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,"Care, Custody, Control",635.00,0.00,635.00
21-0153-001,7/25/2021,F,9/9/2021,Water Distrib - Reservoir Yard,Operations,Water Service Related,300.00,0.00,0.00
21-0154-001,8/13/2021,F,9/17/2021,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,2905.44,0.00,0.00
21-0155-001,7/16/2021,F,9/9/2021,Planning-Residntl Plan Rev/Inspection-New/Remodl/Addtn,Operations,Damage to Property/Injury to Persons,3028.00,0.00,0.00
21-0156-001,8/11/2021,F,8/31/2021,Street- North Maint Dist,Operations,Debris/Object in Road,1607.53,0.00,0.00
21-0157-001,8/15/2021,F,10/18/2021,Police- Maryvale Precinct 800,Police Vehicle,Failure to Yield,5000.00,0.00,3010.18
21-0158-001,8/14/2021,F,9/2/2021,Street- Central Maintenance Dist,Operations,Missing/Hit Cover,2000.00,0.00,0.00
21-0160-001,8/5/2021,F,9/3/2021,Street- Southeast Maint Dist,Operations,Overhanging Tree,541.83,0.00,465.00
21-0161-001,8/7/2021,F,9/20/2021,Water Distrib - Morten Yard,Operations,Change Meter,500.00,0.00,500.00
21-0162-001,8/15/2021,F,8/31/2021,Street- North Maint Dist,Operations,Pot Hole,435.68,0.00,0.00
21-0163-001,8/10/2021,F,9/10/2021,Street- Southwest Maint Dist,Operations,Pot Hole,1564.27,0.00,782.14
21-0169-001,8/16/2021,F,10/14/2021,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",,0.00,0.00
21-0171-001,8/12/2021,F,9/9/2021,Police- Central City Precinct 500,Law Enforcement,"Care, Custody, Control",1700.00,0.00,0.00
21-0172-001,8/4/2021,O,,Police- Maryvale Precinct 800,Police Vehicle,Failure to Yield,1200.00,0.00,500.00
21-0172-002,8/4/2021,O,,Police- Maryvale Precinct 800,Police Vehicle,Failure to Yield,4218.56,0.00,0.00
21-0173-001,7/10/2021,F,9/15/2021,Street- Southeast Maint Dist,Operations,Debris/Object in Road,2962.82,0.00,0.00
21-0174-001,8/11/2021,O,,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,50.00,0.00,0.00
21-0175-001,7/22/2021,F,10/18/2021,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",3100.00,0.00,3200.00
21-0176-001,8/9/2021,F,9/30/2021,Street- Southwest Maint Dist,Operations,Flooding,21495.00,0.00,0.00
21-0178-001,8/13/2021,F,9/8/2021,Parks- Northeast Division,Premises,Maint. Building/Premises,950.03,0.00,950.03
21-0178-002,8/13/2021,F,10/8/2021,Parks- Northeast Division,Premises,Maint. Building/Premises,59.68,0.00,59.68
21-0181-001,8/25/2021,F,9/30/2021,Police- Cactus Park Precinct 900,Operations,Damage to Property/Injury to Persons,400.00,0.00,0.00
21-0190-001,7/14/2021,F,10/7/2021,Street- North Maint Dist,Light Truck,Main/Vehicle/Int,2950.00,0.00,7521.00
21-0191-001,8/17/2021,F,9/15/2021,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",650.00,0.00,0.00
21-0192-001,7/27/2021,O,,Water Distrib - Corona Yard,Operations,Water Main Break,,0.00,0.00
21-0193-001,8/13/2021,F,9/15/2021,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,1189.59,0.00,0.00
21-0195-001,8/18/2021,F,9/1/2021,Non-City Claim,Non-City,Non-City Claim,500.00,0.00,0.00
21-0196-001,8/16/2021,F,9/7/2021,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",6100.87,0.00,0.00
21-0197-001,8/20/2021,F,11/29/2021,Street- North Maint Dist,Operations,Pot Hole,634.25,0.00,634.25
21-0198-001,8/28/2021,F,9/1/2021,Street- Southwest Maint Dist,Operations,Tar/Paint/Oil,533.60,0.00,0.00
21-0201-001,7/26/2021,F,11/19/2021,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Turning,6000.00,0.00,6028.74
21-0202-001,8/24/2021,F,9/15/2021,Police- Desert Horizon Precinct 600,Premises,Maint. Building/Premises,1472.73,0.00,0.00
21-0204-001,7/26/2021,F,10/15/2021,Water Distrib - Corona Yard,Operations,Damage by Mobile Equipment,1655.20,0.00,1655.20
21-0205-001,8/12/2021,F,9/22/2021,Parks- South Division,Premises,Maint. Building/Premises,460.41,0.00,0.00
21-0206-001,7/21/2021,F,10/21/2021,Pub Wks-Sol Waste Disposl/Landfl/Transfe,Operations,Damage by Mobile Equipment,11020.20,0.00,11020.20
21-0207-001,8/16/2021,F,9/22/2021,Street- Southwest Maint Dist,Operations,Pot Hole,169.23,0.00,0.00
21-0210-001,8/18/2021,F,10/8/2021,Street- Southwest Maint Dist,Operations,Pot Hole,1300.00,0.00,650.00
21-0211-001,7/19/2021,O,,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Failure to Yield,1188.72,0.00,0.00
21-0212-001,8/24/2021,F,12/23/2021,Street- North Maint Dist,Operations,Debris/Object in Road,151.00,0.00,0.00
21-0215-001,8/28/2021,F,9/23/2021,Street- Southwest Maint Dist,Operations,Pot Hole,468.63,0.00,0.00
21-0217-001,8/3/2021,F,11/1/2021,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",987.87,0.00,1087.62
21-0218-001,8/23/2021,F,9/22/2021,Parks- Admin/Dir/Mgt Svcs/Parks Devlpmt,Premises,Maint. Building/Premises,977.83,0.00,0.00
21-0219-001,8/24/2021,F,9/9/2021,Non-City Claim,Non-City,Non-City Claim,3136.45,0.00,0.00
21-0220-001,9/3/2021,O,,Parks- Admin/Dir/Mgt Svcs/Parks Devlpmt,Contract Dispute,Business/Development/Financial Contract,1000000.00,0.00,0.00
21-0221-001,7/31/2021,F,9/23/2021,Street- North Maint Dist,Operations,Water Main Break,429.00,0.00,0.00
21-0222-001,8/21/2021,O,,Water Distrib - Morten Yard,Operations,Sewer Backup,20000.00,0.00,1144.35
21-0222-002,8/21/2021,O,,Water Distrib - Morten Yard,Operations,Sewer Backup,2500.00,0.00,691.49
21-0222-003,8/21/2021,O,,Water Distrib - Morten Yard,Operations,Sewer Backup,1500.00,0.00,0.00
21-0225-001,9/3/2021,F,9/15/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Failure to Yield,1942.95,0.00,0.00
21-0226-001,8/5/2021,F,10/8/2021,Police- Maryvale Precinct 800,Police Vehicle,Failure to Yield,4697.01,0.00,5740.91
21-0228-001,7/22/2021,F,11/30/2021,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,5997.97,0.00,4175.77
21-0230-001,9/8/2021,F,11/16/2021,Water Distrib - Reservoir Yard,Operations,Water Service Related,,0.00,6500.00
21-0231-001,8/23/2021,F,11/1/2021,Water Distrib - Reservoir Yard,Operations,Water Service Related,200.00,0.00,200.00
21-0235-001,8/18/2021,F,10/6/2021,Pub Wks- Solid Waste Field Services Nort,Operations,Debris/Object in Road,2056.67,0.00,0.00
21-0236-001,9/4/2021,F,9/15/2021,Non-City Claim,Other,Other,150.00,0.00,0.00
21-0237-001,8/17/2021,F,11/19/2021,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",174.68,0.00,174.68
21-0238-001,8/14/2021,F,9/30/2021,Parks- Downtown Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",2294.84,0.00,0.00
21-0239-001,7/27/2021,F,11/22/2021,Street- Central Maintenance Dist,Operations,Pot Hole,629.55,0.00,629.55
21-0240-001,9/2/2021,F,9/23/2021,Police- Desert Horizon Precinct 600,Law Enforcement,"Care, Custody, Control",100.00,0.00,0.00
21-0241-001,8/24/2021,F,9/15/2021,Non-City Claim,Other,Other,3136.45,0.00,0.00
21-0242-001,8/18/2021,F,9/30/2021,Parks- South Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",4773.13,0.00,0.00
21-0243-001,9/11/2021,F,10/21/2021,Street- North Maint Dist,Operations,Pot Hole,6134.22,0.00,1222.61
21-0244-001,8/10/2021,F,10/19/2021,Aviation- Sky Harbor Airport/Terminals,Operations,Damage to Property/Injury to Persons,768.99,0.00,0.00
21-0246-001,8/30/2021,F,10/5/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Forced Entry,285.00,0.00,0.00
21-0247-001,8/11/2021,F,9/23/2021,Street- Southwest Maint Dist,Medium/Heavy,Falling Load/Rock,925.95,0.00,0.00
21-0248-001,8/12/2021,F,9/17/2021,Non-City Claim,Non-City,Non-City Claim,1364.00,0.00,0.00
21-0249-001,7/8/2021,F,9/22/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Law Enforcement,Forced Entry,473.35,0.00,0.00
21-0250-001,9/13/2021,F,10/12/2021,Street- North Maint Dist,Medium/Heavy,Mechanical Failure,10852.00,0.00,10602.43
21-0251-001,7/9/2021,F,10/8/2021,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,1035.00,0.00,1035.00
21-0253-001,9/9/2021,O,,Pub Wks- Solid Waste Field Services Nort,Light Truck,Struck Fixed Object,350.00,0.00,0.00
21-0254-001,8/25/2021,F,11/2/2021,Street- North Maint Dist,Operations,Pot Hole,317.67,0.00,670.00
21-0255-001,8/17/2021,F,9/30/2021,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",16000.00,0.00,0.00
21-0256-001,7/25/2021,F,9/29/2021,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",500.00,0.00,0.00
21-0257-001,9/16/2021,F,11/22/2021,Water Distrib - Reservoir Yard,Operations,Water Main Break,657.04,0.00,657.04
21-0258-001,9/23/2021,O,,Water Distrib - Morten Yard,Operations,Change Meter,,0.00,1293.60
21-0261-001,9/2/2021,F,9/30/2021,Street- Southeast Maint Dist,Operations,Pot Hole,209.18,0.00,0.00
21-0262-001,8/21/2021,F,10/15/2021,Water Distrib - Morten Yard,Operations,Change Meter,1000.00,0.00,0.00
21-0263-001,9/16/2021,F,10/13/2021,Street- Southwest Maint Dist,Operations,Pot Hole,1317.79,0.00,0.00
21-0264-001,7/27/2021,O,,Street- Southwest Maint Dist,Operations,Pot Hole,3500.00,0.00,0.00
21-0265-001,9/10/2021,O,,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Law Enforcement,Law Enforcement Misc,,0.00,0.00
21-0267-001,7/14/2021,F,10/18/2021,Street- Southeast Maint Dist,Operations,Water Main Break,9095.84,0.00,9095.84
21-0268-001,9/16/2021,F,10/12/2021,Police- Central City Precinct 500,Law Enforcement,"Care, Custody, Control",1550.00,0.00,0.00
21-0270-001,9/21/2021,O,,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Public Officials,Public Officials Liability,,0.00,0.00
21-0272-001,8/14/2021,F,10/15/2021,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,522.58,0.00,0.00
21-0273-001,9/16/2021,F,12/20/2021,Parks- Northeast Division,Light Truck,Backing,3751.99,0.00,5475.88
21-0274-001,9/2/2021,F,11/2/2021,Water Distrib - Corona Yard,Light Truck,Failure to Yield,324.00,0.00,836.70
21-0275-001,7/1/2021,F,10/7/2021,Police- Central City Precinct 500,Law Enforcement,Law Enforcement Misc,5000000.00,0.00,0.00
21-0276-001,7/7/2021,F,9/29/2021,Non-City Claim,Other,Other,1500.00,0.00,0.00
21-0278-001,9/14/2021,O,,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,17129.00,0.00,0.00
21-0278-002,9/14/2021,O,,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,2500.00,0.00,0.00
21-0278-003,9/14/2021,O,,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,2500.00,0.00,0.00
21-0280-001,8/23/2021,F,11/18/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Forced Entry,3296.11,0.00,3196.40
21-0282-001,7/18/2021,O,,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Damage to Property/Injury to Persons,1721.08,0.00,0.00
21-0283-001,9/13/2021,F,12/3/2021,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,5370.40,0.00,5370.40
21-0284-001,9/7/2021,O,,Non-City Claim,Operations,Pot Hole,3216.20,0.00,0.00
21-0285-001,9/13/2021,F,10/29/2021,Parks- Northeast Division,Light Truck,Lane Change/Pass,5000.00,0.00,2941.87
21-0286-001,7/16/2021,F,10/22/2021,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",400.00,0.00,400.00
21-0287-001,8/26/2021,F,12/23/2021,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,125.00,0.00,0.00
21-0290-001,9/25/2021,O,,Parks- Northwest Division,Premises,Maint. Building/Premises,5000.00,0.00,0.00
21-0291-001,8/28/2021,O,,Aviation- Sky Harbor Airport/Terminals,Operations,Damage to Property/Injury to Persons,3398.31,0.00,0.00
21-0292-001,7/30/2021,F,10/21/2021,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Lane Change/Pass,4815.75,0.00,5310.75
21-0293-001,9/15/2021,F,11/18/2021,Fire- Admin/EMS/CAD-Alarm/Safety,Fire/EMS Operations,Damage to Property/Injury to Persons,,0.00,0.00
21-0294-001,9/6/2021,F,10/27/2021,Pub Wks- Solid Waste Field Services Nort,Medium/Heavy,Struck Fixed Object,1529.56,0.00,1529.56
21-0295-001,8/6/2021,O,,Water Distrib - Cave Creek Yard,Operations,Sewer Backup,,0.00,0.00
21-0297-001,8/14/2021,F,10/21/2021,Street- Central Maintenance Dist,Operations,Missing/Hit Cover,800.00,0.00,0.00
21-0301-001,8/17/2021,O,,Street- Southeast Maint Dist,Light Truck,Struck Fixed Object,2258.00,0.00,0.00
21-0302-001,9/20/2021,F,10/22/2021,Street- Southeast Maint Dist,Operations,Pot Hole,3059.45,0.00,0.00
21-0303-001,7/1/2021,O,,Human Resources - Admin,Employment,Retaliation,200000.00,0.00,0.00
21-0304-001,8/12/2021,F,11/1/2021,Street- Southeast Maint Dist,Operations,Pot Hole,218.58,0.00,0.00
21-0305-001,8/25/2021,F,10/13/2021,Street- Southwest Maint Dist,Operations,Pot Hole,800.00,0.00,0.00
21-0306-001,9/7/2021,F,11/19/2021,Street- Southeast Maint Dist,Operations,Change Meter,120.00,0.00,120.00
21-0307-001,9/16/2021,F,12/9/2021,Police- Cactus Park Precinct 900,Law Enforcement,Damage to Property,224.05,0.00,0.00
21-0308-001,9/23/2021,F,10/15/2021,Street- Central Maintenance Dist,Operations,Debris/Object in Road,2200.00,0.00,0.00
21-0309-001,9/24/2021,O,,Police - Northern Precinct 200,Police Vehicle,Rear End,3381.17,0.00,3065.98
21-0311-001,9/30/2021,F,11/5/2021,Water Distrib - Corona Yard,Operations,Water Main Break,2393.88,0.00,2393.88
21-0311-002,9/30/2021,F,11/29/2021,Water Distrib - Corona Yard,Operations,Water Main Break,876.36,0.00,876.36
21-0313-001,9/25/2021,F,10/22/2021,Street- North Maint Dist,Operations,Construction Area,1588.66,0.00,0.00
21-0315-001,9/27/2021,F,11/1/2021,Street- Southwest Maint Dist,Operations,Pot Hole,1746.04,0.00,1746.04
21-0318-001,9/3/2021,F,11/15/2021,Police- Central City Precinct 500,Law Enforcement,"Care, Custody, Control",265.48,0.00,265.48
21-0319-001,9/23/2021,F,12/1/2021,Police- Central City Precinct 500,Law Enforcement,Violate Civil Rights,,0.00,0.00
21-0320-001,9/3/2021,F,11/18/2021,Street- Central Maintenance Dist,Operations,Pot Hole,14781.56,0.00,0.00
21-0322-001,9/18/2021,F,12/17/2021,Water Distrib - Cave Creek Yard,Operations,Water Main Break,17000.00,0.00,0.00
21-0324-001,9/23/2021,F,11/1/2021,Street- Southeast Maint Dist,Operations,Debris/Object in Road,3000.00,0.00,0.00
21-0325-001,10/6/2021,F,11/24/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,1500.00,0.00,0.00
21-0326-001,8/11/2021,F,11/9/2021,Water Distrib - Reservoir Yard,Operations,Change Meter,669.58,0.00,0.00
21-0327-001,9/30/2021,F,11/19/2021,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Rear End,14845.25,0.00,11086.33
21-0332-001,9/12/2021,O,,Street- Southwest Maint Dist,Operations,Pot Hole,3484.95,0.00,0.00
21-0333-001,9/15/2021,F,10/21/2021,Non-City Claim,Other,Other,1853.22,0.00,0.00
21-0334-001,10/13/2021,O,,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,"Care, Custody, Control",5000.00,0.00,0.00
21-0337-001,7/30/2021,O,,Water Distrib - Reservoir Yard,Operations,Water Main Break,32430.21,0.00,0.00
21-0338-001,10/4/2021,O,,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,500.00,0.00,0.00
21-0339-001,9/29/2021,F,11/17/2021,Street- Central Maintenance Dist,Operations,Pot Hole,1751.23,0.00,0.00
21-0340-001,9/27/2021,F,11/4/2021,Transit- Phoenix Transit-Contract,Other,Other,18626.73,0.00,0.00
21-0341-001,10/12/2021,O,,Police- Maryvale Precinct 800,Police Vehicle,Emergency Maneuver,801.04,0.00,0.00
21-0342-001,10/11/2021,F,10/26/2021,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,970.17,0.00,0.00
21-0343-001,7/11/2021,F,10/25/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Collide with Pedestrian,5000000.00,0.00,0.00
21-0343-002,7/11/2021,F,10/25/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Collide with Pedestrian,5000000.00,0.00,0.00
21-0343-003,7/11/2021,F,10/25/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Collide with Pedestrian,5000000.00,0.00,0.00
21-0343-004,7/11/2021,F,10/25/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Collide with Pedestrian,5000000.00,0.00,0.00
21-0343-005,7/11/2021,F,10/25/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Collide with Pedestrian,5000000.00,0.00,0.00
21-0343-006,7/11/2021,F,10/25/2021,Transit- Phoenix Transit-Contract,Bus 21-75,Collide with Pedestrian,5000000.00,0.00,0.00
21-0344-001,8/17/2021,F,12/7/2021,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,"Maint. of St., Sidewalks, Rights-of-way",6674.00,0.00,0.00
21-0346-001,10/13/2021,F,11/12/2021,Water Distrib - Reservoir Yard,Operations,Damage by Mobile Equipment,500.00,0.00,0.00
21-0347-001,10/13/2021,F,12/20/2021,Water Distrib - Reservoir Yard,Operations,Water Service Related,525.00,0.00,525.00
21-0349-001,9/24/2021,F,11/19/2021,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,450.00,0.00,450.00
21-0352-001,7/26/2021,F,11/18/2021,Street- Southeast Maint Dist,Operations,Pot Hole,1171.17,0.00,0.00
21-0356-001,7/4/2021,O,,Fire- Admin/EMS/CAD-Alarm/Safety,Medium/Heavy,Failure to Yield,306.00,0.00,0.00
21-0358-001,10/5/2021,O,,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Light Truck,Rear End,4085.53,0.00,0.00
21-0359-001,8/27/2021,F,11/24/2021,Street- Southeast Maint Dist,Operations,Signal Malfunction,4500.00,0.00,0.00
21-0362-001,9/20/2021,F,12/17/2021,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,16357.29,0.00,16357.29
21-0363-001,8/25/2021,O,,Street- Southeast Maint Dist,Refuse/Garbage,Struck Fixed Object,2375.00,0.00,0.00
21-0364-001,9/22/2021,F,12/7/2021,Police- Squaw Peak Precinct 700,Police Vehicle,Rear End,5347.34,0.00,5742.34
21-0365-001,9/29/2021,F,10/26/2021,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,550.00,0.00,0.00
21-0366-001,8/20/2021,F,11/12/2021,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",305.27,0.00,0.00
21-0367-001,10/14/2021,F,11/17/2021,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,150.00,0.00,0.00
