Object ID,Address,Storename,Latitude,Longitude,Zipcode
666,3100 14TH STREET NW,Target,38.929308,-77.032986,20010
667,1747 COLUMBIA ROAD NW,Safeway,38.924215,-77.040994,20009
668,514 RHODE ISLAND AVENUE NE,Save-A-Lot,38.921848,-76.999907,20002
669,1825 COLUMBIA ROAD NW,Yes! Organic,38.921804,-77.043711,20009
670,2323 WISCONSIN AVENUE NW,Whole Foods Market,38.920934,-77.071615,20007
671,2441 MARKET STREET NE,Costco Wholesale,38.920851,-76.950881,20018
672,2400 14TH STREET NW,Streets Market,38.920762,-77.032085,20009
673,1864 COLUMBIA ROAD NW,Streets Market,38.920756,-77.043542,20009
674,967 FLORIDA AVENUE NW,Whole Foods Market,38.919757,-77.024868,20001
675,2123 14TH STREET NW,Yes! Organic,38.918507,-77.03162,20009
676,4865 MACARTHUR BOULEVARD NW,Safeway,38.917441,-77.095962,20007
677,2101 WISCONSIN AVENUE NW #A,Trader Joe's,38.917313,-77.068688,20007
678,1515 NEW YORK AVENUE NE,Target,38.916268,-76.982013,20002
679,1855 WISCONSIN AVENUE NW,Safeway,38.916126,-77.067561,20007
680,1914 14TH STREET NW,Trader Joe's,38.916101,-77.032246,20009
681,1501 NEW YORK AVENUE NE,Mom's Organic Market,38.915952,-76.983593,20002
682,1701 CORCORAN STREET NW,Safeway,38.912058,-77.038956,20009
683,1440 P STREET NW,Whole Foods Market,38.909499,-77.033568,20005
684,2130 P STREET NW #5,Metro Supermarket,38.90949,-77.048365,20037
685,1400 7TH STREET NW,Giant,38.908771,-77.022125,20001
686,350 FLORIDA AVENUE NE,Trader Joe's,38.907468,-77.000568,20002
687,1255 22ND STREET NW,Streets Market,38.90669,-77.048363,20037
688,1201 1ST STREET NE,Harris Teeter,38.906023,-77.005495,20002
689,51 M STREET NE,Streets Market,38.905463,-77.007271,20002
690,1221 MASSACHUSSETTS AVENUE NW,Streets Market,38.905008,-77.029044,20005
691,3276 M STREET NW,Dean & DeLuca,38.904768,-77.06515,20007
692,1101 25TH STREET NW,Trader Joe's,38.904199,-77.053014,20037
693,901 17TH STREET NE,Aldi,38.901569,-76.978032,20002
694,2201 I STREET NW,Whole Foods Market,38.900919,-77.04907,20037
695,1601 MARYLAND AVENUE NE,Safeway,38.900575,-76.979772,20002
696,300 H STREET NE,Giant,38.900438,-77.001647,20002
697,99 H STREET NW,Walmart Supercenter,38.900404,-77.011987,20001
698,600 H STREET NE,Whole Foods Market,38.900404,-76.998147,20002
699,516 23RD STREET NW,Market at Columbia Plaza,38.896534,-77.051144,20037
700,750 PENNSYLVANIA AVENUE SE,Trader Joe's,38.884742,-76.995526,20003
701,415 14TH STREET SE,Safeway,38.883549,-76.986552,20003
702,410 8TH STREET SE,Yes! Organic,38.88339,-76.994664,20003
703,101 H STREET SE,Whole Foods Market,38.880285,-77.004713,20003
704,1350 POTOMAC AVENUE SE,Harris Teeter,38.88021,-76.986625,20003
705,1100 4TH STREET SW,Safeway,38.877622,-77.017162,20024
706,401 M St SE,Harris Teeter,38.876224,-77.000097,20003
707,2845 ALABAMA AVENUE SE,Safeway,38.859032,-76.966673,20020
708,1535 ALABAMA AVENUE SE,Giant,38.844949,-76.980999,20032
709,6500 PINEY BRANCH ROAD NW,Safeway,38.969528,-77.026551,20012
710,4203 DAVENPORT STREET NW,Safeway,38.95234,-77.082464,20016
711,3830 GEORGIA AVENUE NW,Safeway,38.938456,-77.024859,20011
712,3178 MOUNT PLEASANT STREET NW,BestWorld Supermarket,38.930943,-77.038544,20010
713,1631 KALORAMA ROAD NW,Harris Teeter,38.921987,-77.038442,20009
714,1050 BRENTWOOD ROAD NE,Giant,38.91923,-76.992431,20018
715,2001 S STREET NW,Dawson's Market,38.914285,-77.0452,20009
716,1231 11TH STREET NW,Capitol Super Market,38.906798,-77.026692,20001
717,490 L STREET NW,Safeway,38.903497,-77.018355,20001
718,322 40TH STREET NE,Safeway,38.89314,-76.947457,20019
719,2323 PENNSYLVANIA AVENUE SE,Yes! Organic,38.874133,-76.972748,20020
720,41 RIDGE SQUARE NW,Wegmans,38.940451,-77.077266,20016
721,2224 TOWN CENTER DRIVE SE,Lidl,38.861766,-76.967401,20020
722,4001 SOUTH CAPITOL STREET SW,Good Food Markets,38.831205,-77.008082,20032
961,2617 P STREET NW,Streets Market,38.909535,-77.05534,20007
962,7130 12TH STREET NW,Whole Foods Market,38.976101,-77.028166,20012
963,"3100 14TH STREET NW, #116",Lidl,38.929308,-77.032986,20010
1281,1733 14TH STREET NW,AmazonFresh,38.91321,-77.031742,20009
1603,1251 9TH STREET NW,Union Kitchen Grocery,38.907086,-77.023722,20001
1604,1924 8TH STREET NW,Union Kitchen Grocery,38.916547,-77.023216,20005
1605,1625 ECKINGTON PLACE NE,Union Kitchen Grocery,38.912005,-77.004002,20002
1606,1625 ECKINGTON PLACE NE,Union Kitchen Grocery,38.897203,-77.002212,20002
