Date,Department,Product Name,Page Views,Adds to Cart,Purchases,Number of Products Purchased
2025-01-01,"Books","HomeBasics Magazine Subscription",4804,1236,821,821
2025-01-01,"Clothing","Denim Jeans",4402,2365,292,292
2025-01-01,"Electronics","Tablet",2126,899,466,932
2025-01-01,"Sports & Fitness","PureNature Running Armband",6527,3543,652,652
2025-01-01,"Electronics","Laptop Stand",3043,2853,1512,3024
2025-01-01,"Electronics","Monitor",3946,3335,701,1402
2025-01-01,"Books","Mystery Novel",8143,6992,3830,3830
2025-01-01,"Sports & Fitness","Protein Shaker",3340,1446,230,690
2025-01-01,"Sports & Fitness","Fitness Tracker",2795,419,188,564
2025-01-01,"Books","Travel Guide",790,402,117,351
2025-01-01,"Books","StyleHub Science Fiction",6942,5810,1026,3078
2025-01-01,"Sports & Fitness","Exercise Ball",4702,3884,551,1102
2025-01-01,"Toys","Remote Control Car",7844,6595,1288,3864
2025-01-01,"Clothing","Large Running Shoes",128,62,12,24
2025-01-01,"Beauty","TechCore Body Lotion",6578,5849,668,668
2025-01-01,"Electronics","Smart Watch",449,367,247,247
2025-01-01,"Food & Beverages","Energy Drinks Pack",8008,4515,2744,2744
2025-01-01,"Beauty","Large Nail Polish",1521,754,315,945
2025-01-01,"Toys","Building Blocks",3390,2513,454,454
2025-01-01,"Electronics","XL Smart Watch",9294,3261,1833,3666
2025-01-01,"Toys","Board Game",5108,1700,287,287
2025-01-01,"Food & Beverages","Spice Collection",462,278,220,220
2025-01-01,"Beauty","Conditioner",2127,1231,160,320
2025-01-01,"Toys","Art Supplies Kit",4295,829,230,690
2025-01-01,"Beauty","Nail Polish",2901,556,159,477
2025-01-01,"Electronics","Brown Tablet",4571,4078,1300,2600
2025-01-01,"Books","Navy Business Book",4279,842,594,594
2025-01-01,"Toys","XL Science Kit",8528,4995,3003,6006
2025-01-01,"Books","ClassicWear Fantasy Series",1817,1543,199,398
2025-01-01,"Books","Cookbook",2985,1935,955,2865
2025-01-01,"Sports & Fitness","White Yoga Mat",6906,5009,1926,3852
2025-01-01,"Sports & Fitness","Water Bottle",1393,238,140,420
2025-01-01,"Books","Yellow Biography",3622,1720,424,424
2025-01-01,"Clothing","Socks Pack",2075,1940,363,1089
2025-01-01,"Food & Beverages","Dark Chocolate",5497,4823,2802,2802
2025-01-01,"Books","Fantasy Series",8410,1929,471,942
2025-01-01,"Books","Children Book",1102,103,101,303
2025-01-01,"Clothing","StyleHub Baseball Cap",4944,3761,803,2409
2025-01-01,"Sports & Fitness","Tennis Racket",6994,6231,656,1968
2025-01-01,"Electronics","USB-C Cable",5418,3048,669,2007
2025-01-01,"Sports & Fitness","Running Armband",8478,6524,1545,3090
2025-01-01,"Clothing","Orange Scarf",8217,1318,560,560
2025-01-01,"Home & Garden","Pink Area Rug",1186,341,194,388
2025-01-01,"Books","Graphic Novel",7305,3356,1208,2416
2025-01-01,"Sports & Fitness","Foam Roller",5767,4181,361,722
2025-01-01,"Food & Beverages","Granola",4689,2349,715,2145
2025-01-01,"Toys","Action Figure",1363,799,556,1668
2025-01-01,"Sports & Fitness","XL Foam Roller",9880,9143,1243,2486
2025-01-01,"Electronics","Laptop Bag",7235,4055,3167,6334
2025-01-01,"Books","Art Book",8710,6743,471,471
2025-01-01,"Food & Beverages","Olive Oil",1889,1724,181,362
2025-01-01,"Books","Self-Help Book",3140,1691,896,896
2025-01-01,"Electronics","StyleHub Laptop Bag",9757,3824,1112,3336
2025-01-01,"Clothing","Yoga Pants",2853,2175,665,1330
2025-01-01,"Beauty","Face Mask",3978,1097,698,698
2025-01-01,"Books","ProMax Mystery Novel",950,895,163,326
2025-01-02,"Toys","Remote Control Car",4666,2003,364,1092
2025-01-02,"Toys","Musical Instrument",342,168,30,90
2025-01-02,"Sports & Fitness","XL Foam Roller",6168,3033,1880,1880
2025-01-02,"Food & Beverages","Medium Trail Mix",1872,1479,889,1778
2025-01-02,"Food & Beverages","32oz Olive Oil",2096,1613,977,2931
2025-01-02,"Books","Mystery Novel",9783,5581,853,853
2025-01-02,"Sports & Fitness","Resistance Bands",941,309,149,447
2025-01-02,"Toys","Black Puzzle Set",3402,2579,1807,1807
2025-01-02,"Sports & Fitness","Premium Resistance Bands",8705,4489,565,565
2025-01-02,"Books","ModernLiving Poetry Collection",8839,4392,1468,4404
2025-01-02,"Toys","HomeBasics Science Kit",2908,2120,539,539
2025-01-02,"Toys","Deluxe Stuffed Animal",8550,3461,991,991
2025-01-02,"Clothing","Backpack",3135,579,205,410
2025-01-02,"Clothing","Gray Gloves",8639,6477,910,2730
2025-01-02,"Beauty","Large Nail Polish",4566,2354,824,2472
2025-01-02,"Toys","LEGO Set",3268,1381,1102,2204
2025-01-02,"Sports & Fitness","Tennis Racket",5973,1323,592,592
2025-01-02,"Books","History Book",9375,4877,1412,1412
2025-01-02,"Books","Fantasy Series",2485,1964,1477,4431
2025-01-02,"Books","Magazine Subscription",3468,3256,565,1695
2025-01-02,"Food & Beverages","Energy Drinks Pack",3926,3128,423,423
2025-01-02,"Electronics","Standard Laptop Stand",6220,472,363,726
2025-01-02,"Electronics","Laptop Stand",3932,3122,347,347
2025-01-02,"Home & Garden","PureNature Table Lamp",757,660,119,238
2025-01-02,"Books","Business Book",7785,6490,1503,4509
2025-01-02,"Toys","Large Play-Doh Set",9533,8830,3765,3765
2025-01-02,"Toys","Puzzle Set",8841,5648,2858,2858
2025-01-02,"Food & Beverages","Spice Collection",6350,4184,423,1269
2025-01-02,"Books","ClassicWear Fantasy Series",3147,2158,356,1068
2025-01-02,"Beauty","Deluxe Serum",8184,6128,1906,3812
2025-01-02,"Beauty","StyleHub Face Moisturizer",6948,6425,1999,3998
2025-01-02,"Home & Garden","FitLife Wall Art",858,140,132,396
2025-01-02,"Sports & Fitness","Protein Shaker",2432,1990,1436,2872
2025-01-02,"Home & Garden","Cutting Board",7121,2569,762,2286
2025-01-02,"Food & Beverages","Cooking Sauce",1870,627,221,663
2025-01-02,"Food & Beverages","Pasta Set",2894,270,177,177
2025-01-02,"Electronics","XL HDMI Cable",4218,1378,748,748
2025-01-02,"Home & Garden","Throw Pillow",2677,1813,858,1716
2025-01-02,"Clothing","Cotton T-Shirt",2551,700,249,747
2025-01-02,"Home & Garden","16oz Cutting Board",2802,1580,358,358
2025-01-02,"Books","HomeBasics Magazine Subscription",9185,3315,804,2412
2025-01-02,"Electronics","Pink Webcam",10032,6743,455,1365
2025-01-02,"Home & Garden","Pink Area Rug",1568,991,205,410
2025-01-02,"Toys","Art Supplies Kit",4807,4351,1463,1463
2025-01-02,"Beauty","Eye Shadow Palette",7679,2624,2148,4296
2025-01-02,"Toys","Green Art Supplies Kit",8953,3855,879,2637
2025-01-02,"Electronics","Pink Laptop Bag",3268,937,523,523
2025-01-02,"Beauty","Perfume",4148,1835,740,740
2025-01-02,"Electronics","Tablet",408,310,16,16
2025-01-02,"Electronics","ModernLiving Laptop Stand",1544,1092,571,1142
2025-01-02,"Electronics","Laptop Bag",7741,6164,421,421
2025-01-02,"Books","Science Fiction",421,221,36,108
2025-01-02,"Electronics","Phone Case",9222,6128,635,635
2025-01-02,"Home & Garden","Kitchen Mat",2077,1647,1040,2080
2025-01-02,"Sports & Fitness","PureNature Gym Bag",8466,6343,1522,4566
2025-01-02,"Food & Beverages","Honey Jar",6620,4610,327,654
2025-01-02,"Electronics","TechCore Screen Protector",1340,652,505,1515
2025-01-02,"Books","Cookbook",4212,3128,549,549
2025-01-02,"Food & Beverages","Dark Chocolate",8890,4885,410,410
2025-01-02,"Beauty","StyleHub Face Mask",532,461,305,305
2025-01-02,"Food & Beverages","FitLife Protein Bars",4500,2104,1994,3988
2025-01-02,"Electronics","Wireless Headphones",5206,3767,2993,8979
2025-01-02,"Home & Garden","Candle Set",224,84,43,129
2025-01-02,"Home & Garden","Area Rug",4552,4030,581,581
2025-01-02,"Food & Beverages","Vitamin Supplements",593,248,29,58
2025-01-02,"Toys","Doll House",9673,4760,2955,2955
2025-01-02,"Home & Garden","White Towel Set",9801,7128,5036,10072
2025-01-02,"Beauty","TechCore Body Lotion",4380,419,417,834
2025-01-02,"Sports & Fitness","Bicycle Helmet",7161,4617,393,1179
2025-01-02,"Food & Beverages","Peanut Butter",4703,4175,813,813
2025-01-02,"Beauty","SmartChoice Cleanser",1575,383,154,462
2025-01-02,"Home & Garden","Bed Sheets Set",3900,2594,1284,2568
2025-01-02,"Clothing","Socks Pack",360,134,49,147
2025-01-02,"Toys","ClassicWear Robot Toy",9527,9009,1834,3668
2025-01-02,"Sports & Fitness","Yoga Mat",7766,6784,1965,3930
2025-01-02,"Beauty","Conditioner",5770,1547,327,327
2025-01-02,"Beauty","Gray Lipstick",4633,701,695,2085
2025-01-02,"Toys","PureNature Card Game",7746,3849,1156,1156
2025-01-02,"Books","Navy Business Book",1532,879,194,388
2025-01-02,"Electronics","PureNature USB-C Cable",8241,5868,560,1120
2025-01-02,"Beauty","ClassicWear Foundation",8547,2767,684,1368
2025-01-02,"Home & Garden","Small Storage Basket",4561,3590,858,858
2025-01-02,"Toys","Robot Toy",6079,3173,963,2889
2025-01-02,"Food & Beverages","Protein Bars",4366,3601,2210,2210
2025-01-02,"Toys","Educational Toy",7484,1887,1831,3662
2025-01-02,"Books","Textbook",4047,2400,768,1536
2025-01-02,"Electronics","Screen Protector",6954,2331,989,1978
2025-01-02,"Toys","Black Robot Toy",9183,8545,1666,4998
2025-01-02,"Sports & Fitness","Standard Water Bottle",9219,8364,1553,3106
2025-01-02,"Clothing","Red Socks Pack",3476,1449,594,1188
2025-01-03,"Clothing","Sunglasses",5797,1218,765,2295
2025-01-03,"Food & Beverages","Granola",6520,4682,381,762
2025-01-03,"Sports & Fitness","Gym Bag",7844,4720,4021,12063
2025-01-03,"Electronics","Standard Laptop Stand",4542,881,200,400
2025-01-03,"Toys","Black Puzzle Set",4122,2730,712,712
2025-01-03,"Food & Beverages","Organic Coffee",1469,739,582,1746
2025-01-03,"Toys","Art Supplies Kit",6128,2862,582,1746
2025-01-03,"Toys","Action Figure",7418,6682,538,1614
2025-01-03,"Beauty","Cleanser",1332,790,706,706
2025-01-03,"Clothing","Denim Jeans",4417,2049,1586,4758
2025-01-03,"Beauty","Body Lotion",9052,3898,1498,1498
2025-01-03,"Food & Beverages","Energy Drinks Pack",1996,1131,275,825
2025-01-03,"Toys","Doll House",1421,681,71,71
2025-01-03,"Beauty","Nail Polish",7965,6050,754,754
2025-01-03,"Beauty","Purple Cleanser",8870,3983,1620,3240
2025-01-03,"Home & Garden","Towel Set",9546,6728,1365,2730
2025-01-03,"Toys","Black Robot Toy",622,295,68,204
2025-01-03,"Home & Garden","Throw Pillow",991,550,181,181
2025-01-03,"Toys","SmartChoice Educational Toy",1039,792,155,310
2025-01-03,"Electronics","Brown Tablet",4515,2595,2557,5114
2025-01-03,"Sports & Fitness","Basketball",8421,2656,1472,1472
2025-01-03,"Electronics","HDMI Cable",1891,726,152,456
2025-01-03,"Books","Poetry Collection",668,101,76,152
2025-01-03,"Home & Garden","White Towel Set",3443,2837,1731,1731
2025-01-03,"Sports & Fitness","Standard Water Bottle",1950,1648,296,888
2025-01-03,"Clothing","Gray Gloves",2741,1355,254,254
2025-01-03,"Sports & Fitness","PureNature Running Armband",533,59,39,39
2025-01-03,"Clothing","ClassicWear Backpack",1163,636,320,640
2025-01-03,"Clothing","Dress Shirt",3520,3182,192,192
2025-01-03,"Clothing","Gloves",8632,6276,444,888
2025-01-03,"Food & Beverages","FitLife Peanut Butter",7894,5292,2266,4532
2025-01-03,"Books","Magazine Subscription",398,322,233,233
2025-01-03,"Beauty","Large Nail Polish",5028,4316,936,1872
2025-01-03,"Books","Biography",615,547,70,70
2025-01-03,"Beauty","Lipstick",1611,609,401,401
2025-01-03,"Toys","ClassicWear Robot Toy",295,176,86,258
2025-01-03,"Beauty","ClassicWear Foundation",8794,6025,3767,7534
2025-01-03,"Electronics","PureNature USB-C Cable",7073,1966,1408,4224
2025-01-03,"Clothing","Scarf",4462,3884,553,553
2025-01-03,"Sports & Fitness","Water Bottle",8597,1222,924,1848
2025-01-03,"Books","Science Fiction",7127,3921,1352,2704
2025-01-03,"Books","ModernLiving Graphic Novel",8123,6608,4306,4306
2025-01-03,"Clothing","Winter Jacket",6306,5410,735,2205
2025-01-03,"Sports & Fitness","PureNature Gym Bag",4625,2865,1922,5766
2025-01-03,"Food & Beverages","Medium Trail Mix",7065,6578,2938,5876
2025-01-03,"Electronics","Tablet",4093,3650,355,710
2025-01-03,"Sports & Fitness","Dumbbell Set",2724,1754,315,315
2025-01-03,"Electronics","XL HDMI Cable",9946,3585,687,687
2025-01-03,"Sports & Fitness","White Yoga Mat",5228,1716,388,1164
2025-01-03,"Clothing","Cotton T-Shirt",4698,2365,725,2175
2025-01-03,"Beauty","Orange Perfume",6479,6105,797,797
2025-01-03,"Electronics","Bluetooth Speaker",1494,432,361,722
2025-01-03,"Sports & Fitness","Yoga Mat",2935,1567,306,918
2025-01-03,"Home & Garden","Table Lamp",7500,3502,1160,2320
2025-01-03,"Books","StyleHub Science Fiction",621,423,26,52
2025-01-03,"Electronics","ProMax Monitor",2564,1588,741,1482
2025-01-03,"Beauty","Deluxe Serum",386,363,53,159
2025-01-03,"Toys","Board Game",5832,3141,1818,3636
2025-01-03,"Electronics","StyleHub Laptop Bag",1038,936,230,230
2025-01-03,"Home & Garden","Area Rug",7869,2137,1556,3112
2025-01-03,"Food & Beverages","Olive Oil",4033,3347,695,2085
2025-01-03,"Sports & Fitness","Protein Shaker",4693,1607,544,544
2025-01-03,"Electronics","Wireless Headphones",4408,2643,814,1628
2025-01-03,"Books","Graphic Novel",9688,6452,813,1626
2025-01-03,"Home & Garden","Mixing Bowls",508,287,253,506
2025-01-03,"Home & Garden","Storage Basket",4705,3180,504,1008
2025-01-03,"Food & Beverages","Protein Bars",9167,6011,2879,2879
2025-01-03,"Books","History Book",2728,559,302,604
2025-01-03,"Clothing","Socks Pack",6219,3333,918,1836
2025-01-03,"Clothing","Red Socks Pack",214,177,10,10
2025-01-03,"Toys","Green Art Supplies Kit",3575,1831,1244,2488
2025-01-03,"Clothing","Large Running Shoes",3414,2711,1798,3596
2025-01-03,"Beauty","SmartChoice Cleanser",402,265,175,525
2025-01-03,"Books","ClassicWear Fantasy Series",1767,1140,408,408
2025-01-03,"Books","Art Book",3393,3035,140,420
2025-01-03,"Toys","Puzzle Set",5789,5347,2308,4616
2025-01-03,"Sports & Fitness","Resistance Bands",6193,5025,1209,3627
2025-01-03,"Food & Beverages","Green Tea",2127,626,612,612
2025-01-03,"Home & Garden","Candle Set",8353,5740,1576,4728
2025-01-03,"Food & Beverages","Honey Jar",3209,1013,925,1850
2025-01-03,"Books","Fantasy Series",8112,6474,4205,4205
2025-01-03,"Beauty","Foundation",9840,4450,3001,6002
2025-01-03,"Home & Garden","FitLife Wall Art",5530,3636,2883,5766
2025-01-03,"Toys","LEGO Set",2502,1782,1391,4173
2025-01-03,"Food & Beverages","Dark Chocolate",8946,7427,1388,4164
2025-01-03,"Food & Beverages","Cooking Sauce",9543,7880,969,2907
2025-01-03,"Toys","HomeBasics Science Kit",551,410,246,738
2025-01-03,"Toys","Play-Doh Set",9288,3661,1025,3075
2025-01-03,"Toys","Building Blocks",2319,979,250,500
2025-01-03,"Food & Beverages","Peanut Butter",3171,2055,529,529
2025-01-04,"Beauty","Hair Dryer",8213,2673,1974,5922
2025-01-04,"Electronics","SmartChoice Smart Watch",6621,6169,1615,4845
2025-01-04,"Food & Beverages","Organic Coffee",78,11,6,12
2025-01-04,"Electronics","Webcam",2267,1788,739,2217
2025-01-04,"Toys","Remote Control Car",1633,1360,254,762
2025-01-04,"Toys","SmartChoice Educational Toy",1227,690,147,294
2025-01-04,"Food & Beverages","Energy Drinks Pack",6493,4600,1060,2120
2025-01-04,"Clothing","Cotton T-Shirt",1973,1316,268,536
2025-01-04,"Clothing","Running Shoes",4579,1812,911,1822
2025-01-04,"Clothing","Sneakers",4294,1626,260,780
2025-01-04,"Clothing","Scarf",6849,3525,959,959
2025-01-04,"Electronics","Wireless Headphones",6993,703,282,846
2025-01-04,"Clothing","Hoodie",7718,1636,373,746
2025-01-04,"Electronics","Laptop Stand",3461,2550,302,604
2025-01-04,"Clothing","Winter Jacket",8774,4453,1229,3687
2025-01-04,"Food & Beverages","Dark Chocolate",6793,5752,446,446
2025-01-04,"Food & Beverages","FitLife Peanut Butter",6631,4232,3476,6952
2025-01-04,"Sports & Fitness","Standard Water Bottle",199,166,13,26
2025-01-04,"Books","ProMax Mystery Novel",6565,5493,3733,11199
2025-01-04,"Electronics","Pink Webcam",1075,675,212,424
2025-01-04,"Books","Graphic Novel",5921,2794,677,1354
2025-01-04,"Electronics","Standard Laptop Stand",5516,3733,1075,2150
2025-01-04,"Sports & Fitness","Dumbbell Set",1963,1457,309,618
2025-01-04,"Electronics","USB-C Cable",5562,3539,345,690
2025-01-04,"Sports & Fitness","Gym Bag",6206,4875,2769,8307
2025-01-04,"Beauty","Face Mask",6108,1031,255,255
2025-01-04,"Toys","Black Puzzle Set",1398,291,183,366
2025-01-04,"Clothing","Backpack",9582,2609,1867,1867
2025-01-04,"Toys","XL Science Kit",6338,2785,256,768
2025-01-04,"Home & Garden","XL Utensil Set",2774,2203,180,180
2025-01-04,"Electronics","Screen Protector",5852,2263,1069,2138
2025-01-04,"Sports & Fitness","Premium Resistance Bands",9697,3047,439,439
2025-01-04,"Clothing","Denim Jeans",4550,2707,1624,1624
2025-01-04,"Books","Magazine Subscription",9818,7302,1331,2662
2025-01-04,"Beauty","Large Nail Polish",6870,3998,427,854
2025-01-04,"Home & Garden","Pink Table Lamp",7159,3332,664,664
2025-01-04,"Toys","Educational Toy",2462,592,501,1503
2025-01-04,"Books","ClassicWear Fantasy Series",9314,8522,564,1692
2025-01-04,"Toys","Robot Toy",2889,1945,1539,4617
2025-01-04,"Sports & Fitness","Swimming Goggles",6499,3274,1276,3828
2025-01-04,"Sports & Fitness","ClassicWear Swimming Goggles",9880,5272,1113,2226
2025-01-04,"Beauty","Orange Perfume",4285,3498,503,1006
2025-01-04,"Clothing","16oz Backpack",1368,74,73,146
2025-01-04,"Home & Garden","16oz Cutting Board",4996,3522,979,2937
2025-01-04,"Beauty","Lipstick",2561,2091,235,470
2025-01-04,"Books","Art Book",415,80,44,132
2025-01-04,"Beauty","Purple Cleanser",2840,320,157,314
2025-01-04,"Home & Garden","FitLife Wall Art",5737,4825,320,320
2025-01-04,"Sports & Fitness","Protein Shaker",5863,1428,533,1599
2025-01-04,"Electronics","Monitor",2428,367,135,405
2025-01-04,"Sports & Fitness","Tennis Racket",5759,3428,386,772
2025-01-04,"Sports & Fitness","Foam Roller",4239,2095,1710,1710
2025-01-04,"Sports & Fitness","Yoga Mat",6887,3235,1056,3168
2025-01-04,"Beauty","SmartChoice Cleanser",4280,2150,1484,4452
2025-01-04,"Books","HomeBasics Magazine Subscription",8814,4585,991,2973
2025-01-04,"Beauty","Foundation",1626,850,810,2430
2025-01-04,"Sports & Fitness","Running Armband",1701,825,275,825
2025-01-04,"Electronics","XL HDMI Cable",5931,5584,2931,2931
2025-01-04,"Electronics","Brown Tablet",7250,4575,2487,7461
2025-01-04,"Books","Self-Help Book",3308,848,138,138
2025-01-04,"Electronics","Mouse",7940,3439,1234,3702
2025-01-04,"Beauty","Cleanser",8184,2349,1889,1889
2025-01-04,"Beauty","StyleHub Face Moisturizer",3752,2898,734,734
2025-01-04,"Toys","Doll House",5515,4598,2738,5476
2025-01-04,"Clothing","Baseball Cap",3688,3042,700,700
2025-01-04,"Beauty","ClassicWear Foundation",9513,6268,3021,3021
2025-01-04,"Beauty","Deluxe Serum",10041,7603,3026,3026
2025-01-04,"Home & Garden","Kitchen Mat",6794,6445,306,612
2025-01-04,"Home & Garden","Table Lamp",6325,5225,567,1701
2025-01-04,"Food & Beverages","Nuts Mix",322,80,58,116
2025-01-04,"Electronics","XL Mouse",8384,2929,1003,3009
2025-01-04,"Electronics","Pink Laptop Bag",9042,6465,391,391
2025-01-04,"Toys","Deluxe Stuffed Animal",5076,4433,2359,2359
2025-01-04,"Books","Business Book",1990,1085,282,282
2025-01-04,"Food & Beverages","Cooking Sauce",6888,1213,382,764
2025-01-04,"Toys","Puzzle Set",4672,3918,1493,1493
2025-01-04,"Home & Garden","Area Rug",4811,3416,843,2529
2025-01-04,"Home & Garden","Bed Sheets Set",568,390,256,512
2025-01-04,"Books","ModernLiving Poetry Collection",7295,4218,1602,1602
2025-01-04,"Beauty","EcoStyle Perfume",4052,2898,581,1162
2025-01-04,"Home & Garden","Storage Basket",6847,5289,1371,4113
2025-01-04,"Food & Beverages","Orange Vitamin Supplements",832,725,44,88
2025-01-04,"Electronics","TechCore Screen Protector",7851,5417,1253,1253
2025-01-04,"Food & Beverages","Green Tea",6324,5364,2040,4080
2025-01-04,"Food & Beverages","32oz Olive Oil",7992,5744,4695,9390
2025-01-04,"Electronics","ModernLiving Laptop Stand",2823,2325,1309,3927
2025-01-04,"Electronics","Smart Watch",3857,1195,308,308
2025-01-04,"Beauty","Serum",10045,7544,1762,3524
2025-01-04,"Clothing","Socks Pack",2597,1158,118,354
2025-01-04,"Home & Garden","PureNature Table Lamp",9875,5172,1209,1209
2025-01-05,"Electronics","TechCore Screen Protector",9941,3654,1140,3420
2025-01-05,"Home & Garden","Towel Set",7266,6640,705,1410
2025-01-05,"Electronics","Wireless Headphones",8148,3113,893,893
2025-01-05,"Home & Garden","Table Lamp",7389,5590,749,2247
2025-01-05,"Clothing","Running Shoes",7188,6495,1366,1366
2025-01-05,"Electronics","USB-C Cable",6120,497,435,435
2025-01-05,"Beauty","ProMax Eye Shadow Palette",1083,580,164,328
2025-01-05,"Electronics","Phone Case",9870,8272,1004,3012
2025-01-05,"Home & Garden","Storage Basket",778,403,344,1032
2025-01-05,"Electronics","ProMax Monitor",6107,2894,585,1755
2025-01-05,"Beauty","Makeup Brush Set",7101,6529,3089,3089
2025-01-05,"Clothing","Hoodie",3830,2820,2265,4530
2025-01-05,"Electronics","Tablet",3313,938,224,224
2025-01-05,"Food & Beverages","Cooking Sauce",8757,3915,3571,3571
2025-01-05,"Clothing","Dress Shirt",7466,4758,1011,3033
2025-01-05,"Books","Graphic Novel",3144,2087,1873,5619
2025-01-05,"Beauty","Foundation",654,500,285,570
2025-01-05,"Clothing","Sneakers",1038,143,64,64
2025-01-05,"Electronics","XL HDMI Cable",5854,3050,1296,2592
2025-01-05,"Sports & Fitness","Water Bottle",5284,2083,1775,3550
2025-01-05,"Home & Garden","FitLife Wall Art",2312,1109,873,1746
2025-01-05,"Beauty","Black Face Mask",2351,660,445,890
2025-01-05,"Clothing","Large Running Shoes",6384,5065,954,1908
2025-01-05,"Clothing","Gray Gloves",8990,6227,1233,1233
2025-01-05,"Clothing","Baseball Cap",5516,3942,740,1480
2025-01-05,"Sports & Fitness","XL Foam Roller",3231,2586,681,2043
2025-01-05,"Toys","Puzzle Set",3640,2032,669,669
2025-01-05,"Beauty","Orange Perfume",7616,2389,2303,6909
2025-01-05,"Beauty","HomeBasics Mascara",4008,985,784,784
2025-01-05,"Books","HomeBasics Magazine Subscription",955,504,172,172
2025-01-05,"Home & Garden","Photo Frame",9529,3533,836,2508
2025-01-05,"Food & Beverages","Olive Oil",3190,354,300,600
2025-01-05,"Electronics","Mouse",5131,3051,482,964
2025-01-05,"Toys","Card Game",1126,552,174,348
2025-01-05,"Electronics","Smart Watch",1831,905,165,330
2025-01-05,"Food & Beverages","Spice Collection",8588,4120,1230,1230
2025-01-05,"Sports & Fitness","Premium Resistance Bands",2702,571,463,1389
2025-01-05,"Sports & Fitness","Bicycle Helmet",9309,3412,511,1533
2025-01-05,"Books","Self-Help Book",3912,3275,862,1724
2025-01-05,"Food & Beverages","Green Tea",4857,3231,2032,2032
2025-01-05,"Home & Garden","PureNature Table Lamp",705,241,110,110
2025-01-05,"Electronics","Standard Laptop Stand",6028,793,466,1398
2025-01-05,"Books","XL Magazine Subscription",9230,4683,2657,7971
2025-01-05,"Beauty","Face Mask",2111,1857,324,324
2025-01-05,"Electronics","Monitor",6556,4944,2255,6765
2025-01-05,"Toys","Art Supplies Kit",7873,3671,1387,2774
2025-01-05,"Home & Garden","Mixing Bowls",6365,3409,461,1383
2025-01-05,"Clothing","StyleHub Baseball Cap",8617,5611,1111,3333
2025-01-05,"Clothing","Red Socks Pack",3749,1190,374,748
2025-01-05,"Electronics","ModernLiving Laptop Stand",384,301,90,90
2025-01-05,"Home & Garden","Wall Art",4410,2444,491,982
2025-01-05,"Books","Travel Guide",810,423,81,81
2025-01-05,"Sports & Fitness","Fitness Tracker",92,59,8,24
2025-01-05,"Beauty","StyleHub Face Mask",4823,632,265,795
2025-01-05,"Electronics","StyleHub Laptop Bag",2089,401,156,468
2025-01-05,"Toys","ClassicWear Robot Toy",6554,6024,2241,2241
2025-01-05,"Food & Beverages","Pasta Set",8316,5189,3415,3415
2025-01-05,"Books","Poetry Collection",8047,5718,1229,1229
2025-01-05,"Beauty","Mascara",4602,1326,397,1191
2025-01-05,"Electronics","Pink Laptop Bag",8931,7596,465,465
2025-01-05,"Clothing","Cotton T-Shirt",7027,3635,2746,8238
2025-01-05,"Beauty","Face Moisturizer",4096,1357,484,484
2025-01-05,"Beauty","StyleHub Face Moisturizer",4499,4040,1001,1001
2025-01-05,"Electronics","XL Smart Watch",2489,540,244,244
