index,collision id,borough,contributing factor vehicle 1,crash date,crash time,location,vehicle type code 1,vehicle type code 2,number of motorist injured,number of persons killed,zip code,contributing factor vehicle 2,contributing factor vehicle 4,cross street name,vehicle type code 3
33,BROOKLYN,Unspecified,12/29/2024,1899-12-30 11:55:00,"(40.693264, -73.93397)",Station Wagon/Sport Utility Vehicle,,0,0,11221,,,,,
34,BROOKLYN,Unspecified,12/29/2024,1899-12-30 12:00:00,"(40.65672, -73.9095)",Pick-up Truck,,0,0,11212,,,,,
35,QUEENS,Unsafe Speed,12/29/2024,1899-12-30 04:15:00,"(40.74605, -73.92015)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,11104,Unspecified,,,,
36,QUEENS,Unspecified,12/29/2024,1899-12-30 09:00:00,"(40.723885, -73.849144)",Sedan,,0,0,11375,,,QUEENS BLVD,,
37,QUEENS,Unspecified,12/29/2024,1899-12-30 03:38:00,"(40.762566, -73.81859)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11354,Unspecified,Unspecified,ROOSEVELT AVE,Sedan,
38,,Reaction to Uninvolved Vehicle,12/29/2024,1899-12-30 23:54:00,"(40.680855, -74.00305)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,,Following Too Closely,,,Sedan,
39,QUEENS,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 00:07:00,"(40.75437, -73.70739)",Sedan,,0,0,11004,,,,,
40,BROOKLYN,Unspecified,12/29/2024,1899-12-30 14:00:00,"(40.69302, -73.93705)",Station Wagon/Sport Utility Vehicle,,0,0,11221,,,DEKALB AVE,,
41,BROOKLYN,Alcohol Involvement,12/29/2024,1899-12-30 06:02:00,"(40.65745, -73.95656)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11225,Unspecified,,HAWTHORNE ST,,
42,STATEN ISLAND,Driver Inattention/Distraction,12/29/2024,1899-12-30 04:48:00,"(0.0, 0.0)",Sedan,Sedan,0,0,10312,Unspecified,,,,
43,QUEENS,Unspecified,12/29/2024,1899-12-30 10:00:00,"(40.74219, -73.902306)",Station Wagon/Sport Utility Vehicle,,0,0,11377,,,,,
44,MANHATTAN,Unsafe Speed,12/29/2024,1899-12-30 20:40:00,"(40.798615, -73.94374)",Station Wagon/Sport Utility Vehicle,Sedan,5,0,10029,Unspecified,,PARK AVE,,
45,QUEENS,Pavement Slippery,12/29/2024,1899-12-30 02:31:00,"(40.590466, -73.81337)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,11693,Unspecified,,OLD BEACH 88 ST,,
46,MANHATTAN,Driver Inattention/Distraction,12/29/2024,1899-12-30 01:00:00,"(40.80897, -73.948326)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,10027,Unspecified,,ADAM CLAYTON POWELL JR BLVD,,
47,BROOKLYN,Other Vehicular,12/29/2024,1899-12-30 15:34:00,"(40.626717, -73.9412)",Moped,Station Wagon/Sport Utility Vehicle,1,0,11210,Other Vehicular,,BROOKLYN AVE,,
48,,Backing Unsafely,12/29/2024,1899-12-30 18:10:00,,Sedan,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,boston rd,,
49,BROOKLYN,Unspecified,12/29/2024,1899-12-30 04:30:00,"(40.679222, -73.89985)",Sedan,,0,0,11207,,,BUSHWICK AVE,,
50,,Traffic Control Disregarded,12/29/2024,1899-12-30 10:40:00,"(40.587894, -74.15318)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,KELLY BLVD,Station Wagon/Sport Utility Vehicle,
51,BROOKLYN,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 21:10:00,"(40.696033, -73.98453)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,11201,Unspecified,,TILLARY ST,,
52,,Pavement Slippery,12/29/2024,1899-12-30 04:20:00,"(40.691074, -73.88733)",Sedan,,0,0,,,,,,
53,,Unsafe Speed,12/29/2024,1899-12-30 08:15:00,"(40.668003, -73.76345)",Sedan,Sedan,0,0,,Unspecified,,144 AVE,,
54,,Unsafe Speed,12/29/2024,1899-12-30 23:50:00,"(40.722095, -73.77772)",Station Wagon/Sport Utility Vehicle,,0,0,,,,,,
55,,Unspecified,12/29/2024,1899-12-30 18:30:00,"(40.845882, -73.930435)",Sedan,Sedan,1,0,,Unspecified,,,,
56,QUEENS,Traffic Control Disregarded,12/29/2024,1899-12-30 03:12:00,"(40.711678, -73.775375)",Station Wagon/Sport Utility Vehicle,Sedan,3,0,11423,Unspecified,,185 ST,Sedan,
57,,Unsafe Speed,12/29/2024,1899-12-30 21:38:00,"(40.785492, -73.984116)",Station Wagon/Sport Utility Vehicle,Sedan,2,0,,Unspecified,,,,
58,BROOKLYN,Unspecified,12/29/2024,1899-12-30 13:30:00,"(40.669277, -73.92255)",Sedan,,0,0,11233,,,LINCOLN PL,,
59,BROOKLYN,Passing or Lane Usage Improper,12/29/2024,1899-12-30 06:40:00,"(40.57698, -73.98157)",Sedan,Sedan,1,0,11224,Unspecified,,MERMAID AVE,,
60,,Other Vehicular,12/29/2024,1899-12-30 11:05:00,"(40.666435, -73.83478)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,,,,,,
61,,Unspecified,12/29/2024,1899-12-30 22:15:00,"(40.771347, -73.83339)",Sedan,Sedan,0,0,,Unspecified,,I 678,,
62,BRONX,Unspecified,12/29/2024,1899-12-30 16:08:00,"(40.822037, -73.91182)",Bike,Sedan,0,0,10451,,,E 159 ST,,
63,MANHATTAN,Driver Inattention/Distraction,12/29/2024,1899-12-30 00:22:00,"(40.763115, -73.96252)",Station Wagon/Sport Utility Vehicle,Sedan,1,0,10065,Unspecified,,2 AVE,,
64,BROOKLYN,Unspecified,12/29/2024,1899-12-30 07:04:00,"(40.652645, -73.94977)",Station Wagon/Sport Utility Vehicle,Bike,0,0,11226,Unspecified,,NOSTRAND AVE,,
65,BROOKLYN,Unspecified,12/29/2024,1899-12-30 23:00:00,"(40.647152, -73.91621)",Sedan,Sedan,0,0,11236,Unspecified,,E 88 ST,,
66,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 19:11:00,"(40.678116, -73.90786)",Station Wagon/Sport Utility Vehicle,Bike,0,0,11233,Unspecified,,EASTERN PKWY,,
67,,Driver Inattention/Distraction,12/29/2024,1899-12-30 17:30:00,"(40.785824, -73.80713)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,FRANCIS LEWIS BOULEVARD,,
68,,Driver Inattention/Distraction,12/29/2024,1899-12-30 12:30:00,"(40.679276, -73.929054)",Bike,Sedan,0,0,,Unspecified,,FULTON ST,,
69,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 14:27:00,"(40.686203, -73.95074)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11216,Unspecified,,NOSTRAND AVE,,
70,MANHATTAN,Driver Inattention/Distraction,12/29/2024,1899-12-30 19:22:00,"(40.806915, -73.93556)",Sedan,,0,0,10035,Unspecified,,LEXINGTON AVE,,
71,QUEENS,Unspecified,12/29/2024,1899-12-30 09:30:00,"(40.687016, -73.774864)",Sedan,,0,0,11434,,,MERRICK BLVD,,
72,,Driver Inattention/Distraction,12/29/2024,1899-12-30 00:11:00,"(40.738503, -73.973526)",Station Wagon/Sport Utility Vehicle,,0,0,,,,,,
73,BROOKLYN,Unspecified,12/29/2024,1899-12-30 13:30:00,"(40.655273, -74.01049)",Sedan,,0,0,11232,,,2 AVE,,
74,,Unspecified,12/29/2024,1899-12-30 04:11:00,"(40.719864, -73.94486)",Sedan,Sedan,1,0,,Unspecified,,,,
75,BRONX,Unspecified,12/29/2024,1899-12-30 14:30:00,"(40.86275, -73.90493)",Sedan,Sedan,0,0,10468,Unspecified,,UNIVERSITY AVE,,
76,BROOKLYN,Unspecified,12/29/2024,1899-12-30 19:35:00,"(40.615128, -73.92885)",Station Wagon/Sport Utility Vehicle,,0,0,11234,,,,,
77,QUEENS,Traffic Control Disregarded,12/29/2024,1899-12-30 16:30:00,"(40.655426, -73.84188)",Sedan,Sedan,1,0,11414,Unspecified,,161 AVE,,
78,BROOKLYN,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 17:55:00,"(40.59275, -73.95015)",Station Wagon/Sport Utility Vehicle,,0,0,11235,,,OCEAN AVE,,
79,BRONX,Turning Improperly,12/29/2024,1899-12-30 09:44:00,"(40.822823, -73.89196)",Station Wagon/Sport Utility Vehicle,Moped,1,0,10459,Unspecified,,,,
80,QUEENS,Unspecified,12/29/2024,1899-12-30 14:20:00,"(40.759804, -73.76733)",Station Wagon/Sport Utility Vehicle,,0,0,11361,,,45 RD,,
81,,Unspecified,12/29/2024,1899-12-30 18:59:00,"(40.75108, -73.74915)",Sedan,,0,0,,,,,,
82,QUEENS,Other Vehicular,12/29/2024,1899-12-30 08:07:00,"(40.6807, -73.84464)",Pick-up Truck,Sedan,0,0,11417,Traffic Control Disregarded,,ROCKAWAY BLVD,,
83,BROOKLYN,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 06:58:00,"(40.602467, -73.96637)",Station Wagon/Sport Utility Vehicle,Bike,0,0,11223,Unspecified,,OCEAN PKWY,,
84,BROOKLYN,Passing Too Closely,12/29/2024,1899-12-30 23:15:00,"(40.71791, -73.950134)",Sedan,,0,0,11211,Unspecified,,,,
85,BROOKLYN,Unspecified,12/29/2024,1899-12-30 21:00:00,"(40.660034, -73.90439)",Sedan,,1,0,11212,Unspecified,,NEWPORT ST,,
86,BRONX,Unspecified,12/29/2024,1899-12-30 15:25:00,"(40.856388, -73.901764)",Station Wagon/Sport Utility Vehicle,,1,0,10453,,,E 182 ST,,
87,BRONX,Unspecified,12/29/2024,1899-12-30 12:30:00,"(40.843643, -73.91303)",Station Wagon/Sport Utility Vehicle,,0,0,10452,,,E MOUNT EDEN AVE,,
88,STATEN ISLAND,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 07:06:00,"(40.599503, -74.06711)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,10305,Unspecified,,MAJOR AVE,,
89,QUEENS,Unspecified,12/29/2024,1899-12-30 09:22:00,"(40.667473, -73.79387)",fire truck,Sedan,0,0,11436,Unspecified,,135 AVE,,
90,QUEENS,Unspecified,12/29/2024,1899-12-30 03:34:00,"(40.666843, -73.789406)",Sedan,PK,2,0,11434,Unspecified,,N CONDUIT AVE,,
91,,Unsafe Lane Changing,12/29/2024,1899-12-30 20:00:00,"(40.604153, -74.05198)",Sedan,Pick-up Truck,0,0,,,,,,
92,MANHATTAN,Traffic Control Disregarded,12/29/2024,1899-12-30 14:33:00,"(40.716015, -74.00883)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,10013,Unspecified,,READE ST,,
93,BRONX,Driver Inattention/Distraction,12/29/2024,1899-12-30 03:10:00,"(40.850224, -73.88256)",Station Wagon/Sport Utility Vehicle,Van,0,0,10460,Unspecified,,GROTE ST,,
94,BRONX,Unspecified,12/29/2024,1899-12-30 17:20:00,"(40.820545, -73.93078)",Sedan,,0,0,10451,,,EXTERIOR ST,,
95,BROOKLYN,Other Vehicular,12/29/2024,1899-12-30 07:45:00,"(40.66393, -73.890076)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11207,Unspecified,,,,
96,QUEENS,Unsafe Speed,12/29/2024,1899-12-30 06:00:00,"(40.714912, -73.729675)",Sedan,Sedan,1,0,11429,Unspecified,,CROSS ISLAND PKWY,,
97,BRONX,Passing or Lane Usage Improper,12/29/2024,1899-12-30 12:35:00,"(40.816067, -73.91764)",Station Wagon/Sport Utility Vehicle,E-Bike,0,0,10455,Unspecified,,3 AVE,,
98,,Unspecified,12/29/2024,1899-12-30 05:50:00,"(40.55993, -74.20034)",Sedan,,0,0,,,,,,
99,BROOKLYN,Unspecified,12/29/2024,1899-12-30 05:18:00,"(40.672516, -73.9079)",Station Wagon/Sport Utility Vehicle,Sedan,0,0,11212,Unspecified,,,,
100,QUEENS,Passing Too Closely,12/29/2024,1899-12-30 12:39:00,"(40.577934, -73.84523)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11694,Unspecified,,,Sedan,
101,,Reaction to Uninvolved Vehicle,12/29/2024,1899-12-30 08:35:00,"(40.585133, -73.954544)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,,,
102,BROOKLYN,Backing Unsafely,12/29/2024,1899-12-30 15:24:00,"(40.60249, -74.007866)",Sedan,,0,0,11214,Unspecified,,,,
103,MANHATTAN,Unsafe Speed,12/29/2024,1899-12-30 08:03:00,"(40.781536, -73.983444)",Sedan,,0,0,10023,,,,,
104,BROOKLYN,Unsafe Speed,12/29/2024,1899-12-30 13:14:00,"(40.586376, -73.94789)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11235,Unspecified,,VOORHIES AVE,,
105,MANHATTAN,Passenger Distraction,12/29/2024,1899-12-30 19:45:00,"(40.758625, -73.97485)",Station Wagon/Sport Utility Vehicle,Bike,0,0,10022,Unspecified,,,,
106,QUEENS,Unsafe Speed,12/29/2024,1899-12-30 22:00:00,,Taxi,Sedan,1,0,11355,Unspecified,,FOWLER PATH,Sedan,
107,BRONX,Passing Too Closely,12/29/2024,1899-12-30 06:28:00,"(40.85642, -73.889206)",Pick-up Truck,,0,0,10458,Unspecified,,LORILLARD PL,,
108,MANHATTAN,Unspecified,12/29/2024,1899-12-30 07:00:00,"(40.816376, -73.94836)",Sedan,Sedan,1,0,10030,Unspecified,,ST NICHOLAS AVE,,
109,STATEN ISLAND,Backing Unsafely,12/29/2024,1899-12-30 08:09:00,"(40.62253, -74.13065)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,10314,Unspecified,,,,
110,,Driver Inattention/Distraction,12/29/2024,1899-12-30 02:15:00,,Station Wagon/Sport Utility Vehicle,Sedan,1,0,,Unspecified,,,Tow Truck / Wrecker,
111,BROOKLYN,Backing Unsafely,12/29/2024,1899-12-30 15:27:00,"(40.703953, -73.93104)",,,0,0,11237,,,,,
112,MANHATTAN,Driver Inattention/Distraction,12/29/2024,1899-12-30 20:52:00,"(40.719204, -73.990364)",Taxi,,0,0,10002,,,ALLEN ST,,
113,BRONX,Aggressive Driving/Road Rage,12/29/2024,1899-12-30 23:05:00,"(40.887386, -73.853935)",Sedan,Sedan,1,0,10466,Unspecified,,BRONXWOOD AVE,,
114,,Driver Inattention/Distraction,12/29/2024,1899-12-30 00:36:00,"(40.727776, -73.92902)",Sedan,Sedan,0,0,,Unspecified,,,,
115,QUEENS,Reaction to Uninvolved Vehicle,12/29/2024,1899-12-30 17:40:00,"(40.655834, -73.83904)",Sedan,Sedan,0,0,11414,Unspecified,,161 AVE,,
116,QUEENS,Driver Inattention/Distraction,12/29/2024,1899-12-30 17:16:00,"(40.743702, -73.92334)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11104,Driver Inattention/Distraction,,QUEENS BLVD,,
117,BRONX,View Obstructed/Limited,12/29/2024,1899-12-30 10:05:00,"(40.80673, -73.87168)",Tractor Truck Diesel,,0,0,10474,,,,,
118,QUEENS,Turning Improperly,12/29/2024,1899-12-30 15:59:00,"(40.590137, -73.81345)",Station Wagon/Sport Utility Vehicle,Sedan,1,0,11693,Unspecified,Unspecified,,Sedan,
119,QUEENS,Pavement Slippery,12/29/2024,1899-12-30 04:30:00,"(40.756474, -73.947266)",Sedan,,1,0,11101,,,41 AVE,,
120,QUEENS,Driver Inexperience,12/29/2024,1899-12-30 10:36:00,"(40.696686, -73.807655)",Sedan,,0,0,11435,,,,,
121,,Following Too Closely,12/29/2024,1899-12-30 19:51:00,"(40.604153, -74.05198)",Station Wagon/Sport Utility Vehicle,Sedan,2,0,,Unspecified,,,,
122,MANHATTAN,Passing Too Closely,12/29/2024,1899-12-30 10:50:00,"(40.73506, -73.988976)",Sedan,Box Truck,0,0,10003,Unspecified,,,,
123,BROOKLYN,Unspecified,12/29/2024,1899-12-30 18:20:00,"(40.651543, -73.92096)",Sedan,Sedan,0,0,11236,Unspecified,Unspecified,,Sedan,
124,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 19:40:00,"(40.625046, -74.02445)",Station Wagon/Sport Utility Vehicle,Bike,0,0,11209,Driver Inattention/Distraction,,5 AVE,,
125,STATEN ISLAND,Driver Inattention/Distraction,12/29/2024,1899-12-30 08:29:00,"(40.562675, -74.114296)",Sedan,Pick-up Truck,3,0,10306,Unsafe Speed,,FALCON AVE,,
126,,Driver Inattention/Distraction,12/29/2024,1899-12-30 22:00:00,"(40.70313, -73.816795)",Station Wagon/Sport Utility Vehicle,Refrigerated Van,3,0,,Unspecified,,,,
127,QUEENS,Unspecified,12/29/2024,1899-12-30 01:30:00,"(40.694695, -73.90251)",Station Wagon/Sport Utility Vehicle,,0,0,11385,,,SUMMERFIELD ST,,
128,BROOKLYN,Backing Unsafely,12/29/2024,1899-12-30 21:14:00,"(40.67729, -73.973724)",Sedan,Sedan,0,0,11217,Unspecified,,,,
129,BRONX,Reaction to Uninvolved Vehicle,12/29/2024,1899-12-30 16:48:00,"(40.866962, -73.82495)",Sedan,Van,0,0,10475,Reaction to Uninvolved Vehicle,,,,
130,BRONX,Passing Too Closely,12/29/2024,1899-12-30 21:06:00,"(40.846252, -73.88864)",Box Truck,Station Wagon/Sport Utility Vehicle,0,0,10457,Unspecified,,,,
131,BROOKLYN,Unspecified,12/29/2024,1899-12-30 01:36:00,"(40.676693, -73.9174)",Sedan,,1,0,11233,,,LOUIS PL,,
132,MANHATTAN,Driver Inattention/Distraction,12/29/2024,1899-12-30 22:26:00,"(40.750946, -73.99159)",Sedan,Sedan,3,0,10119,Unspecified,,,,
133,,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 04:45:00,"(40.758114, -73.83424)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,,Failure to Yield Right-of-Way,,ROOSEVELT AVE,,
134,BROOKLYN,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,12/29/2024,1899-12-30 02:22:00,"(40.63937, -73.91129)",Sedan,Motorcycle,1,0,11236,Headlights Defective,,GLENWOOD RD,,
135,MANHATTAN,Unspecified,12/29/2024,1899-12-30 12:29:00,"(40.74759, -73.989174)",Sedan,AMSGC,0,0,10001,Unspecified,,,,
136,QUEENS,Unspecified,12/29/2024,1899-12-30 12:30:00,"(40.76759, -73.78342)",Sedan,,0,0,11361,Unspecified,,,,
137,,Unsafe Speed,12/29/2024,1899-12-30 07:13:00,"(40.830265, -73.95131)",Station Wagon/Sport Utility Vehicle,Sedan,1,0,,Unsafe Lane Changing,,,,
138,,Reaction to Uninvolved Vehicle,12/29/2024,1899-12-30 14:00:00,"(40.732822, -73.8684)",Station Wagon/Sport Utility Vehicle,Sedan,2,0,,Other Vehicular,,,,
139,QUEENS,Alcohol Involvement,12/29/2024,1899-12-30 17:28:00,"(40.68841, -73.84793)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11421,Unspecified,,95 ST,,
140,BROOKLYN,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 19:00:00,"(40.666428, -73.936905)",Sedan,,0,0,11213,,,CARROLL ST,,
141,MANHATTAN,Traffic Control Disregarded,12/29/2024,1899-12-30 12:14:00,"(40.786175, -73.945694)",Station Wagon/Sport Utility Vehicle,Bike,0,0,10029,Unspecified,,2 AVE,,
142,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 18:47:00,"(40.61183, -74.001076)",Sedan,Station Wagon/Sport Utility Vehicle,0,0,11214,Unspecified,,80 ST,Sedan,
143,,Driver Inattention/Distraction,12/29/2024,1899-12-30 08:00:00,"(40.594616, -73.99743)",Sedan,Pick-up Truck,0,0,,Unspecified,,,Sedan,
144,,Unsafe Lane Changing,12/29/2024,1899-12-30 21:30:00,"(40.72545, -73.837776)",Sedan,Sedan,0,0,,Unspecified,,,,
145,BROOKLYN,Failure to Yield Right-of-Way,12/29/2024,1899-12-30 17:22:00,"(40.628685, -74.01214)",,,0,0,11219,,,BAY RIDGE AVE,,
146,,Unsafe Lane Changing,12/29/2024,1899-12-30 05:57:00,"(40.76874, -73.90881)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,,Unspecified,,,,
147,QUEENS,Passing Too Closely,12/29/2024,1899-12-30 17:48:00,"(40.72691, -73.806915)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,11366,Unspecified,,162 ST,,
148,,Unspecified,12/29/2024,1899-12-30 22:30:00,,Station Wagon/Sport Utility Vehicle,,0,0,,,,,,
149,QUEENS,Illnes,12/29/2024,1899-12-30 14:20:00,"(40.698494, -73.76049)",Sedan,Station Wagon/Sport Utility Vehicle,1,0,11412,Unspecified,Unspecified,194 ST,Sedan,
150,BROOKLYN,Driver Inattention/Distraction,12/29/2024,1899-12-30 05:25:00,"(40.677048, -73.92379)",Sedan,,0,0,11233,,,KANE PL,,
151,BRONX,Backing Unsafely,12/29/2024,1899-12-30 14:10:00,"(40.816143, -73.91595)",Bus,Sedan,0,0,10455,Unspecified,,,,
152,MANHATTAN,Alcohol Involvement,12/29/2024,1899-12-30 02:57:00,"(40.717724, -73.98576)",Sedan,Sedan,0,0,10002,Unspecified,,CLINTON ST,,
153,QUEENS,View Obstructed/Limited,12/29/2024,1899-12-30 22:12:00,"(0.0, 0.0)",Station Wagon/Sport Utility Vehicle,,1,0,11426,,,,,
