SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
Free BirdLynyrd Skynyrd,5/25/2021 9:54:00 AM,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,Free Bird,5/25/2021 3:54:00 PM
November RainGuns N' Roses,5/25/2021 9:45:00 AM,Guns N' Roses,Use Your Illusion I,November Rain,5/25/2021 3:45:00 PM
The HealingGary Clark Jr.,5/25/2021 7:41:00 AM,Gary Clark Jr.,The Story of Sonny Boy Slim,The Healing,5/25/2021 1:41:00 PM
Lay By MeFireKid,5/25/2021 7:38:00 AM,FireKid,Firekid,Lay By Me,5/25/2021 1:38:00 PM
Worldwide ChoppersTech N9ne,5/25/2021 7:33:00 AM,Tech N9ne,All 6's And 7's,Worldwide Choppers,5/25/2021 1:33:00 PM
Bring It OnSpiritual Rez,5/25/2021 7:28:00 AM,Spiritual Rez,Apocalypse Whenever,Bring It On,5/25/2021 1:28:00 PM
Still D.R.E.Dr. Dre,5/25/2021 7:15:00 AM,Dr. Dre,2001,Still D.R.E.,5/25/2021 1:15:00 PM
Long Hot Summer DayTurnpike Troubadours,5/25/2021 7:11:00 AM,Turnpike Troubadours,Diamonds & Gasoline,Long Hot Summer Day,5/25/2021 1:11:00 PM
RabiaNonpoint,5/25/2021 7:07:00 AM,Nonpoint,Recoil (Explicit Content U.S. Version),Rabia,5/25/2021 1:07:00 PM
On The RunThe Jompson Brothers,5/25/2021 7:02:00 AM,The Jompson Brothers,The Jompson Brothers,On The Run,5/25/2021 1:02:00 PM
Long LiveDevan DuBois,5/25/2021 6:59:00 AM,Devan DuBois,Le Fou,Long Live,5/25/2021 12:59:00 PM
When I Get My Hands On YouThe New Basement Tapes,5/25/2021 6:56:00 AM,The New Basement Tapes,Lost On The River,When I Get My Hands On You,5/25/2021 12:56:00 PM
Three WeeksPerpetual Groove,5/25/2021 6:46:00 AM,Perpetual Groove,Sweet Oblivious Antidote,Three Weeks,5/25/2021 12:46:00 PM
Rap Music Is Beneath MeMilkman,5/25/2021 6:43:00 AM,Milkman,Circle of Fifths,Rap Music Is Beneath Me,5/25/2021 12:43:00 PM
Early One MorningBig Hongry,5/25/2021 6:38:00 AM,Big Hongry,Early One Morning,Early One Morning,5/25/2021 12:38:00 PM
Moments PassedDermot Kennedy,5/25/2021 6:34:00 AM,Dermot Kennedy,Moments Passed,Moments Passed,5/25/2021 12:34:00 PM
Royal JellyDeap Vally,5/25/2021 6:19:00 AM,Deap Vally,Femejism,Royal Jelly,5/25/2021 12:19:00 PM
If You Ain't Never Had the BluesBoo Boo Davis,5/25/2021 6:14:00 AM,Boo Boo Davis,What Kind of Shit Is This?,If You Ain't Never Had the Blues,5/25/2021 12:14:00 PM
LifeOPIUO,5/25/2021 6:11:00 AM,OPIUO,Meraki,Life,5/25/2021 12:11:00 PM
Bag Full of MoneyLittle Stranger,5/24/2021 8:07:00 PM,Little Stranger,Techniques,Bag Full of Money,5/25/2021 2:07:00 AM
White RapperMouse Powell,5/24/2021 8:04:00 PM,Mouse Powell,White Rapper,White Rapper,5/25/2021 2:04:00 AM
Lost SoulsWrekonize,5/24/2021 8:01:00 PM,Wrekonize,Lost Souls,Lost Souls,5/25/2021 2:01:00 AM
Weed & CoffeeMac Lethal,5/24/2021 7:57:00 PM,Mac Lethal,Congratulations,Weed & Coffee,5/25/2021 1:57:00 AM
AnthropoceneKr3Ture,5/24/2021 7:54:00 PM,Kr3Ture,Anthropocene,Anthropocene,5/25/2021 1:54:00 AM
Night OwlMagic Bronson,5/24/2021 7:50:00 PM,Magic Bronson,Evil Plans (Deluxe Edition),Night Owl,5/25/2021 1:50:00 AM
Peanut Butter WafflesRyan Caraveo,5/24/2021 7:46:00 PM,Ryan Caraveo,Butterfly Boy,Peanut Butter Waffles,5/25/2021 1:46:00 AM
Parrot (Oh Not Again)Monty Python,5/24/2021 4:26:00 PM,Monty Python,The Final Rip Off,Parrot (Oh Not Again),5/24/2021 10:26:00 PM
Eric The Half A BeeMonty Python,5/24/2021 4:24:00 PM,Monty Python,The Final Rip Off,Eric The Half A Bee,5/24/2021 10:24:00 PM
Fish LicenceMonty Python,5/24/2021 4:21:00 PM,Monty Python,The Final Rip Off,Fish Licence,5/24/2021 10:21:00 PM
ArgumentMonty Python,5/24/2021 4:08:00 PM,Monty Python,The Final Rip Off,Argument,5/24/2021 10:08:00 PM
Australian Table WineMonty Python,5/24/2021 4:06:00 PM,Monty Python,The Final Rip Off,Australian Table Wine,5/24/2021 10:06:00 PM
Are You Embarrassed Easily?Monty Python,5/24/2021 4:03:00 PM,Monty Python,The Final Rip Off,Are You Embarrassed Easily?,5/24/2021 10:03:00 PM
Our SongAnne-Marie,5/24/2021 4:03:00 PM,Anne-Marie,Our Song,Our Song,5/24/2021 10:03:00 PM
FinlandMonty Python,5/24/2021 3:57:00 PM,Monty Python,The Final Rip Off,Finland,5/24/2021 9:57:00 PM
Eric The Half A BeeMonty Python,5/24/2021 3:55:00 PM,Monty Python,The Final Rip Off,Eric The Half A Bee,5/24/2021 9:55:00 PM
Fish LicenceMonty Python,5/24/2021 3:52:00 PM,Monty Python,The Final Rip Off,Fish Licence,5/24/2021 9:52:00 PM
Constitutional PeasantMonty Python,5/24/2021 3:49:00 PM,Monty Python,The Final Rip Off,Constitutional Peasant,5/24/2021 9:49:00 PM
Introduction To 'The Final Rip Off'Monty Python,5/24/2021 3:48:00 PM,Monty Python,The Final Rip Off,Introduction To 'The Final Rip Off',5/24/2021 9:48:00 PM
Swift Driftin'Scott H. Biram,5/24/2021 3:47:00 PM,Scott H. Biram,The Bad Testament,Swift Driftin',5/24/2021 9:47:00 PM
Over the HillJohn Hiatt,5/24/2021 3:32:00 PM,John Hiatt,The Eclipse Sessions,Over the Hill,5/24/2021 9:32:00 PM
MollieC2 & the Brothers Reed,5/24/2021 3:28:00 PM,C2 & the Brothers Reed,Mollie,Mollie,5/24/2021 9:28:00 PM
Since I've Been Loving You - RemasterLed Zeppelin,5/24/2021 3:20:00 PM,Led Zeppelin,Led Zeppelin III (Remaster),Since I've Been Loving You - Remaster,5/24/2021 9:20:00 PM
Down To The BottomDorothy,5/24/2021 3:18:00 PM,Dorothy,Down To The Bottom,Down To The Bottom,5/24/2021 9:18:00 PM
The RecapThe Dead South,5/24/2021 3:15:00 PM,The Dead South,Good Company,The Recap,5/24/2021 9:15:00 PM
PainEarl St. Clair,5/24/2021 3:10:00 PM,Earl St. Clair,My Name Is Earl,Pain,5/24/2021 9:10:00 PM
Our SongAnne-Marie,5/24/2021 8:04:00 AM,Anne-Marie,Our Song,Our Song,5/24/2021 2:04:00 PM
All I Know So FarP!nk,5/24/2021 7:57:00 AM,P!nk,All I Know So Far,All I Know So Far,5/24/2021 1:57:00 PM
Leave Before You Love Me (with Jonas Brothers)Marshmello,5/24/2021 7:55:00 AM,Marshmello,Leave Before You Love Me,Leave Before You Love Me (with Jonas Brothers),5/24/2021 1:55:00 PM
DragulaRob Zombie,5/23/2021 7:29:00 PM,Rob Zombie,Hellbilly Deluxe,Dragula,5/24/2021 1:29:00 AM
Papa Come Quick (Jody And Chico)Bonnie Raitt,5/23/2021 7:26:00 PM,Bonnie Raitt,Luck Of The Draw,Papa Come Quick (Jody And Chico),5/24/2021 1:26:00 AM
MollieC2 & the Brothers Reed,5/23/2021 7:17:00 PM,C2 & the Brothers Reed,Mollie,Mollie,5/24/2021 1:17:00 AM
The Bad DaysDavid Ramirez,5/23/2021 7:13:00 PM,David Ramirez,The Rooster - EP,The Bad Days,5/24/2021 1:13:00 AM
In Too DeepSum 41,5/23/2021 7:09:00 PM,Sum 41,All Killer No Filler,In Too Deep,5/24/2021 1:09:00 AM
PeachesIn the Valley Below,5/23/2021 7:05:00 PM,In the Valley Below,The Belt,Peaches,5/24/2021 1:05:00 AM
CloseNick Jonas,5/23/2021 7:01:00 PM,Nick Jonas,Last Year Was Complicated,Close,5/24/2021 1:01:00 AM
CrazyKat Dahlia,5/23/2021 6:57:00 PM,Kat Dahlia,My Garden,Crazy,5/24/2021 12:57:00 AM
Bad ReputationThin Lizzy,5/23/2021 6:54:00 PM,Thin Lizzy,Dedication: The Very Best Of Thin Lizzy,Bad Reputation,5/24/2021 12:54:00 AM
Shoot High Aim LowYes,5/23/2021 6:47:00 PM,Yes,Big Generator,Shoot High Aim Low,5/24/2021 12:47:00 AM
Cocaine JesusRainbow Kitten Surprise,5/23/2021 6:43:00 PM,Rainbow Kitten Surprise,RKS,Cocaine Jesus,5/24/2021 12:43:00 AM
GiantMatrimony,5/23/2021 6:39:00 PM,Matrimony,Montibello Memories,Giant,5/24/2021 12:39:00 AM
94 HoursAs I Lay Dying,5/23/2021 6:33:00 PM,As I Lay Dying,Frail Words Collapse,94 Hours,5/24/2021 12:33:00 AM
DreadZion I,5/23/2021 6:30:00 PM,Zion I,The Sun Moon And Stars - EP,Dread,5/24/2021 12:30:00 AM
Smoke Out The WindowTribe Society,5/23/2021 6:27:00 PM,Tribe Society,We Sell Drugs,Smoke Out The Window,5/24/2021 12:27:00 AM
Smoke Out The WindowTribe Society,5/23/2021 6:23:00 PM,Tribe Society,We Sell Drugs,Smoke Out The Window,5/24/2021 12:23:00 AM
Boy Got it BadKail Baxley,5/23/2021 6:12:00 PM,Kail Baxley,Heatstroke / The Wind and the War,Boy Got it Bad,5/24/2021 12:12:00 AM
Better on a SundaySTS,5/23/2021 6:07:00 PM,STS,Better on a Sunday,Better on a Sunday,5/24/2021 12:07:00 AM
The Changing Man/While It Still Beats (Ouroboros Part 1)Ray LaMontagne,5/23/2021 6:04:00 PM,Ray LaMontagne,The Changing Man/While It Still Beats (Ouroboros Part 1),The Changing Man/While It Still Beats (Ouroboros Part 1),5/24/2021 12:04:00 AM
Sirens (feat. Dirty Heads)Sublime with Rome,5/23/2021 6:00:00 PM,Sublime with Rome,Sirens,Sirens (feat. Dirty Heads),5/24/2021 12:00:00 AM
This Is AmericaChildish Gambino,5/23/2021 5:56:00 PM,Childish Gambino,This Is America,This Is America,5/23/2021 11:56:00 PM
Chest Wide OpenLyrics Born,5/23/2021 5:15:00 PM,Lyrics Born,Real People,Chest Wide Open,5/23/2021 11:15:00 PM
In Spite of Ourselves (feat. Iris DeMent)John Prine,5/23/2021 5:12:00 PM,John Prine,In Spite of Ourselves,In Spite of Ourselves (feat. Iris DeMent),5/23/2021 11:12:00 PM
Heathenstwenty one pilots,5/23/2021 5:06:00 PM,twenty one pilots,Heathens,Heathens,5/23/2021 11:06:00 PM
Moments PassedDermot Kennedy,5/23/2021 5:01:00 PM,Dermot Kennedy,Moments Passed,Moments Passed,5/23/2021 11:01:00 PM
House Of MercySarah Jarosz,5/23/2021 4:54:00 PM,Sarah Jarosz,Undercurrent,House Of Mercy,5/23/2021 10:54:00 PM
Death to Mumble RapGawne,5/23/2021 4:49:00 PM,Gawne,Terminal,Death to Mumble Rap,5/23/2021 10:49:00 PM
White RapperMouse Powell,5/23/2021 4:46:00 PM,Mouse Powell,White Rapper,White Rapper,5/23/2021 10:46:00 PM
Get Outta My Dreams Get into My CarBilly Ocean,5/23/2021 10:31:00 AM,Billy Ocean,The Very Best Of Billy Ocean,Get Outta My Dreams Get into My Car,5/23/2021 4:31:00 PM
I Love Rock 'n' RollJoan Jett and the Blackhearts,5/23/2021 10:26:00 AM,Joan Jett and the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),I Love Rock 'n' Roll,5/23/2021 4:26:00 PM
Welcome to the JungleGuns N' Roses,5/23/2021 10:26:00 AM,Guns N' Roses,Appetite for Destruction,Welcome to the Jungle,5/23/2021 4:26:00 PM
I Love Rock 'n' RollJoan Jett and the Blackhearts,5/23/2021 10:23:00 AM,Joan Jett and the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),I Love Rock 'n' Roll,5/23/2021 4:23:00 PM
Push ItSalt-N-Pepa,5/23/2021 10:19:00 AM,Salt-N-Pepa,Hot Cool & Vicious,Push It,5/23/2021 4:19:00 PM
Faith - RemasteredGeorge Michael,5/23/2021 10:15:00 AM,George Michael,Faith,Faith - Remastered,5/23/2021 4:15:00 PM
Crazy Little Thing Called Love - Remastered 2011Queen,5/23/2021 10:13:00 AM,Queen,The Game (2011 Remaster),Crazy Little Thing Called Love - Remastered 2011,5/23/2021 4:13:00 PM
Don't Stop Believin'Journey,5/23/2021 10:09:00 AM,Journey,The Essential Journey,Don't Stop Believin',5/23/2021 4:09:00 PM
HysteriaDef Leppard,5/23/2021 10:03:00 AM,Def Leppard,Hysteria,Hysteria,5/23/2021 4:03:00 PM
She Drives Me CrazyFine Young Cannibals,5/23/2021 9:59:00 AM,Fine Young Cannibals,The Platinum Collection,She Drives Me Crazy,5/23/2021 3:59:00 PM
The LookRoxette,5/23/2021 9:55:00 AM,Roxette,Look Sharp! (2009 Version),The Look,5/23/2021 3:55:00 PM
You Can Call Me AlPaul Simon,5/23/2021 9:52:00 AM,Paul Simon,Graceland (25th Anniversary Deluxe Edition),You Can Call Me Al,5/23/2021 3:52:00 PM
Addicted to LoveRobert Palmer,5/23/2021 9:46:00 AM,Robert Palmer,Riptide,Addicted to Love,5/23/2021 3:46:00 PM
KokomoThe Beach Boys,5/23/2021 9:42:00 AM,The Beach Boys,Greatest Hits,Kokomo,5/23/2021 3:42:00 PM
Sussudio - 2016 RemasterPhil Collins,5/23/2021 9:38:00 AM,Phil Collins,No Jacket Required (2016 Remaster),Sussudio - 2016 Remaster,5/23/2021 3:38:00 PM
Little Lies - 2017 RemasterFleetwood Mac,5/23/2021 9:34:00 AM,Fleetwood Mac,Tango In The Night (Deluxe Edition),Little Lies - 2017 Remaster,5/23/2021 3:34:00 PM
Rebel Yell - RemasteredBilly Idol,5/23/2021 9:29:00 AM,Billy Idol,Greatest Hits,Rebel Yell - Remastered,5/23/2021 3:29:00 PM
Dance Hall Days (Re-Recorded)Wang Chung,5/23/2021 9:25:00 AM,Wang Chung,Best Of,Dance Hall Days (Re-Recorded),5/23/2021 3:25:00 PM
Land Of Confusion - 2007 RemasterGenesis,5/23/2021 9:21:00 AM,Genesis,Invisible Touch,Land Of Confusion - 2007 Remaster,5/23/2021 3:21:00 PM
18 and LifeSkid Row,5/23/2021 9:21:00 AM,Skid Row,Skid Row,18 and Life,5/23/2021 3:21:00 PM
Land Of Confusion - 2007 RemasterGenesis,5/23/2021 9:16:00 AM,Genesis,Invisible Touch,Land Of Confusion - 2007 Remaster,5/23/2021 3:16:00 PM
I Wanna Dance with Somebody (Who Loves Me)Whitney Houston,5/23/2021 9:11:00 AM,Whitney Houston,Whitney,I Wanna Dance with Somebody (Who Loves Me),5/23/2021 3:11:00 PM
I'm Still StandingElton John,5/23/2021 9:08:00 AM,Elton John,Too Low For Zero,I'm Still Standing,5/23/2021 3:08:00 PM
Against All Odds (Take a Look at Me Now) - 2016 RemasterPhil Collins,5/23/2021 9:08:00 AM,Phil Collins,The Singles (Expanded),Against All Odds (Take a Look at Me Now) - 2016 Remaster,5/23/2021 3:08:00 PM
I'm Still StandingElton John,5/23/2021 9:05:00 AM,Elton John,Rocket Man (Deluxe Edition),I'm Still Standing,5/23/2021 3:05:00 PM
Under Pressure - Remastered 2011Queen,5/23/2021 9:01:00 AM,Queen,Hot Space (2011 Remaster),Under Pressure - Remastered 2011,5/23/2021 3:01:00 PM
Summer of '69Bryan Adams,5/23/2021 8:57:00 AM,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Summer of '69,5/23/2021 2:57:00 PM
Take On Mea-ha,5/23/2021 8:53:00 AM,a-ha,Hunting High and Low,Take On Me,5/23/2021 2:53:00 PM
Billie JeanMichael Jackson,5/23/2021 8:48:00 AM,Michael Jackson,Thriller 25 Super Deluxe Edition,Billie Jean,5/23/2021 2:48:00 PM
What's Love Got to Do with ItTina Turner,5/23/2021 8:45:00 AM,Tina Turner,What's Love Got To Do With It?,What's Love Got to Do with It,5/23/2021 2:45:00 PM
Every Breath You TakeThe Police,5/23/2021 8:41:00 AM,The Police,Stranger Things (Soundtrack from the Netflix Original Series),Every Breath You Take,5/23/2021 2:41:00 PM
I Still Haven't Found What I'm Looking ForU2,5/23/2021 8:36:00 AM,U2,The Joshua Tree (Deluxe Edition Remastered),I Still Haven't Found What I'm Looking For,5/23/2021 2:36:00 PM
Like Real People DoHozier,5/23/2021 7:26:00 AM,Hozier,Hozier (Expanded Edition),Like Real People Do,5/23/2021 1:26:00 PM
TwelveChill Bump,5/23/2021 7:24:00 AM,Chill Bump,Twelve,Twelve,5/23/2021 1:24:00 PM
Fire on the Horizon (LabRat Remix)Stick Figure,5/22/2021 6:59:00 PM,Stick Figure,Fire on the Horizon (LabRat Remix),Fire on the Horizon (LabRat Remix),5/23/2021 12:59:00 AM
BodysnatchersDave Rawlings Machine,5/22/2021 6:53:00 PM,Dave Rawlings Machine,Nashville Obsolete,Bodysnatchers,5/23/2021 12:53:00 AM
Sunroof CadillacThe Floozies,5/22/2021 4:33:00 PM,The Floozies,Sunroof Cadillac,Sunroof Cadillac,5/22/2021 10:33:00 PM
You Could Be MineGuns N' Roses,5/22/2021 2:02:00 PM,Guns N' Roses,Greatest Hits (EU Version),You Could Be Mine,5/22/2021 8:02:00 PM
ConfidenceConner Youngblood,5/22/2021 1:57:00 PM,Conner Youngblood,Confidence EP,Confidence,5/22/2021 7:57:00 PM
Nothing Compares 2 UPrince,5/22/2021 1:52:00 PM,Prince,Nothing Compares 2 U,Nothing Compares 2 U,5/22/2021 7:52:00 PM
Nothing Compares 2 UPrince,5/22/2021 1:49:00 PM,Prince,Nothing Compares 2 U,Nothing Compares 2 U,5/22/2021 7:49:00 PM
AnthropoceneKr3Ture,5/22/2021 1:45:00 PM,Kr3Ture,Anthropocene,Anthropocene,5/22/2021 7:45:00 PM
Off the GroundThe Record Company,5/22/2021 1:24:00 PM,The Record Company,Give It Back to You,Off the Ground,5/22/2021 7:24:00 PM
Peanut Butter WafflesRyan Caraveo,5/22/2021 1:20:00 PM,Ryan Caraveo,Butterfly Boy,Peanut Butter Waffles,5/22/2021 7:20:00 PM
Don't Stop the MusicRihanna,5/22/2021 1:15:00 PM,Rihanna,Good Girl Gone Bad,Don't Stop the Music,5/22/2021 7:15:00 PM
Higher LoveKygo,5/22/2021 1:12:00 PM,Kygo,Golden Hour,Higher Love,5/22/2021 7:12:00 PM
Hey Soul SisterTrain,5/22/2021 1:08:00 PM,Train,Save Me San Francisco (Golden Gate Edition),Hey Soul Sister,5/22/2021 7:08:00 PM
Party in the U.S.A.Miley Cyrus,5/22/2021 1:05:00 PM,Miley Cyrus,The Time of Our Lives,Party in the U.S.A.,5/22/2021 7:05:00 PM
