Avg Room Rate,reservation_id,check_in_date,stay_duration,adults,children,room_type,special_requests_flag,booking_channel,reservation_status,advanced_booking,Property,Date,Rate Type
100.98,415303-KE-5417-FS,5/10/2020,1,4,2,Queen,No,Walk-in,Completed,No,The Marimekko,5/10/2020,Weekend
169,807052-WD-3445-XY,7/31/2020,2,1,1,Double,Yes,Website,Completed,Yes,The Sankey,7/31/2020,Weekday
177.45,025969-I6-3413-DU,4/14/2020,5,4,1,King,No,Phone App,Completed,Yes,The Sankey,4/14/2020,Weekday
119.9,129600-6I-5121-GM,2/13/2020,8,3,4,Suite,Yes,Phone App,Completed,Yes,The Marimekko,2/13/2020,Weekday
177.45,760462-TQ-1063-HM,10/20/2020,7,1,1,King,Yes,Call Center,Completed,Yes,The Sankey,10/20/2020,Weekday
177.45,838151-3O-7484-PX,1/30/2020,11,3,1,King,No,Walk-in,Completed,No,The Sankey,1/30/2020,Weekday
100.98,371653-1X-5294-DK,7/27/2020,4,4,1,Queen,Yes,Phone App,Completed,Yes,The Marimekko,7/27/2020,Weekend
177.45,126485-X2-3308-DC,5/29/2020,9,4,3,King,No,Travel Agent,Completed,Yes,The Sankey,5/29/2020,Weekday
169,898617-RK-0407-CX,1/11/2020,3,4,4,Double,Yes,Phone App,Completed,Yes,The Sankey,1/11/2020,Weekday
179.1,998144-LJ-3027-AF,1/19/2020,2,1,3,Single,Yes,Travel Agent,Completed,Yes,The Sankey,1/19/2020,Weekend
89.1,746677-FG-5569-XZ,1/13/2020,12,1,2,Single,No,Website,Completed,Yes,The Chord,1/13/2020,Weekend
172.38,125637-W5-8087-NU,4/22/2020,3,3,4,Queen,Yes,Travel Agent,Completed,Yes,The Sankey,4/22/2020,Weekday
100.98,275780-6A-9125-GV,7/19/2020,13,2,1,Queen,Yes,Phone App,Extended,Yes,The Marimekko,7/19/2020,Weekend
218.9,138017-5B-2170-CU,1/19/2020,9,3,2,Suite,No,Website,Extended,No,The Sankey,1/19/2020,Weekend
98.1,871191-WC-1332-VJ,8/15/2020,4,2,2,Single,Yes,Phone App,Completed,No,The Marimekko,8/15/2020,Weekday
111.18,851071-3W-1169-IV,1/25/2020,2,1,1,Queen,Yes,Phone App,No-Show,Yes,The Marimekko,1/25/2020,Weekday
86.9,285926-T0-2682-TY,9/17/2020,7,1,4,Suite,Yes,Call Center,Completed,Yes,The Chord,9/17/2020,Weekday
152.1,869534-R3-4334-XW,2/5/2020,4,1,2,Single,Yes,Call Center,Extended,Yes,The Sankey,2/5/2020,Weekday
185.9,146686-6Y-7470-WZ,3/20/2020,1,1,2,Suite,No,Phone App,Completed,No,The Sankey,3/20/2020,Weekday
152.1,249794-HZ-8945-AI,9/23/2020,11,1,2,Single,No,Call Center,Completed,Yes,The Sankey,9/23/2020,Weekday
199,926824-X7-7770-GL,3/30/2020,7,2,4,Double,Yes,Phone App,No-Show,Yes,The Sankey,3/30/2020,Weekend
152.1,408417-1K-8197-WE,10/24/2020,2,3,3,Single,Yes,Website,Completed,Yes,The Sankey,10/24/2020,Weekday
218.9,375761-8W-2729-EI,4/27/2020,12,4,2,Suite,No,Walk-in,Completed,No,The Sankey,4/27/2020,Weekend
143.55,047512-S8-3556-KF,3/23/2020,13,1,3,Executive Suite,Yes,Travel Agent,Completed,Yes,The Chord,3/23/2020,Weekend
245.05,824599-2E-5535-DI,5/1/2020,7,2,3,Executive Suite,No,Travel Agent,Completed,Yes,The Sankey,5/1/2020,Weekday
71.1,786208-DB-6549-VO,5/27/2020,11,1,1,Single,Yes,Travel Agent,Completed,Yes,The Chord,5/27/2020,Weekday
208.95,456169-AO-8905-KW,1/26/2020,13,1,3,King,No,Travel Agent,Completed,Yes,The Sankey,1/26/2020,Weekend
199,460359-UG-8422-IS,1/19/2020,5,1,1,Double,No,Website,Completed,Yes,The Sankey,1/19/2020,Weekend
177.45,127492-68-8706-BX,6/13/2020,9,1,3,King,No,Walk-in,Completed,No,The Sankey,6/13/2020,Weekday
98.1,430078-KP-1006-TH,8/25/2020,2,2,4,Single,No,Phone App,Completed,Yes,The Marimekko,8/25/2020,Weekday
119.9,940976-JW-3381-LN,2/1/2020,14,1,1,Suite,Yes,Website,Completed,Yes,The Marimekko,2/1/2020,Weekday
103.95,032721-4H-3720-EZ,5/17/2020,8,2,4,King,No,Call Center,Completed,Yes,The Marimekko,5/17/2020,Weekend
169,349250-BM-3544-DQ,6/5/2020,5,2,2,Double,No,Website,Completed,Yes,The Sankey,6/5/2020,Weekday
158.05,237941-KT-9182-EL,9/16/2020,14,2,2,Executive Suite,No,Travel Agent,Completed,Yes,The Marimekko,9/16/2020,Weekday
152.1,196927-MV-1635-PZ,8/29/2020,2,4,1,Single,No,Call Center,No-Show,Yes,The Sankey,8/29/2020,Weekday
79,897276-DX-7600-FB,1/8/2020,14,2,1,Double,No,Website,Completed,Yes,The Chord,1/8/2020,Weekday
100.98,436809-9O-1273-MO,8/30/2020,12,2,4,Queen,Yes,Phone App,Completed,Yes,The Marimekko,8/30/2020,Weekend
288.55,130675-KB-3570-JV,9/28/2020,5,4,1,Executive Suite,No,Website,Completed,Yes,The Sankey,9/28/2020,Weekend
114.55,194585-KD-4530-QV,3/27/2020,1,2,2,Executive Suite,No,Walk-in,Completed,No,The Chord,3/27/2020,Weekday
143.55,847247-L6-2538-VE,1/27/2020,13,1,2,Executive Suite,No,Travel Agent,Completed,Yes,The Chord,1/27/2020,Weekend
82.95,189382-XD-3419-QZ,3/17/2020,11,1,2,King,Yes,Phone App,Completed,Yes,The Chord,3/17/2020,Weekday
199,189970-ON-0936-TV,9/14/2020,9,2,2,Double,Yes,Call Center,Completed,No,The Sankey,9/14/2020,Weekend
177.45,176725-1P-2089-IX,1/28/2020,6,3,1,King,Yes,Call Center,Completed,Yes,The Sankey,1/28/2020,Weekday
185.9,351794-XM-4596-XN,7/28/2020,13,3,1,Suite,Yes,Phone App,Completed,Yes,The Sankey,7/28/2020,Weekday
172.38,303435-H6-8344-HD,9/2/2020,5,4,2,Queen,No,Website,Completed,Yes,The Sankey,9/2/2020,Weekday
71.1,623665-1E-7623-IA,2/21/2020,3,1,1,Single,No,Call Center,Completed,Yes,The Chord,2/21/2020,Weekday
82.95,718957-PU-3654-BF,9/18/2020,3,1,2,King,Yes,Phone App,Completed,Yes,The Chord,9/18/2020,Weekday
89.1,838076-GQ-4810-IR,8/23/2020,10,3,4,Single,Yes,Website,Completed,Yes,The Marimekko,8/23/2020,Weekend
114.45,399446-TZ-7280-JB,1/9/2020,11,3,3,King,No,Travel Agent,Completed,Yes,The Marimekko,1/9/2020,Weekday
111.18,641075-0S-8173-YK,3/11/2020,14,2,1,Queen,Yes,Website,No-Show,Yes,The Marimekko,3/11/2020,Weekday
82.95,759259-T4-3099-SQ,6/18/2020,12,1,2,King,No,Travel Agent,Completed,Yes,The Chord,6/18/2020,Weekday
98.1,468627-WB-5043-PN,10/10/2020,5,2,3,Single,Yes,Phone App,Completed,Yes,The Marimekko,10/10/2020,Weekday
152.1,463660-RH-2746-HY,5/12/2020,6,2,1,Single,Yes,Phone App,Completed,Yes,The Sankey,5/12/2020,Weekday
100.98,450792-OO-0858-SG,2/23/2020,13,4,2,Queen,Yes,Website,Completed,Yes,The Marimekko,2/23/2020,Weekend
185.9,720556-AQ-3373-BE,7/18/2020,1,1,2,Suite,No,Website,Completed,Yes,The Sankey,7/18/2020,Weekday
169,723252-AH-5588-IX,6/10/2020,10,1,4,Double,Yes,Phone App,Completed,Yes,The Sankey,6/10/2020,Weekday
109,707771-JU-6490-XQ,7/10/2020,11,2,3,Double,No,Website,Completed,Yes,The Marimekko,7/10/2020,Weekday
100.98,781456-ZX-9204-AJ,2/17/2020,3,2,2,Queen,Yes,Call Center,Completed,Yes,The Chord,2/17/2020,Weekend
109,141003-V9-0729-RI,5/22/2020,12,3,4,Double,No,Phone App,Completed,No,The Marimekko,5/22/2020,Weekday
152.1,329224-B1-5679-QJ,2/1/2020,1,4,3,Single,Yes,Travel Agent,Completed,Yes,The Sankey,2/1/2020,Weekday
199,822118-IU-3004-DY,4/13/2020,4,2,1,Double,Yes,Phone App,Completed,Yes,The Sankey,4/13/2020,Weekend
177.45,123971-GZ-3779-CQ,5/14/2020,5,1,2,King,Yes,Phone App,Completed,Yes,The Sankey,5/14/2020,Weekday
199,278794-JN-3705-DA,6/8/2020,9,1,4,Double,Yes,Phone App,Completed,Yes,The Sankey,6/8/2020,Weekend
169,791068-DJ-7463-SC,3/21/2020,1,3,4,Double,No,Travel Agent,Completed,Yes,The Sankey,3/21/2020,Weekday
169,363930-K4-2505-PF,5/29/2020,2,2,4,Double,Yes,Phone App,Completed,Yes,The Sankey,5/29/2020,Weekday
185.9,124113-E9-1067-ZQ,10/24/2020,14,4,2,Suite,No,Phone App,Completed,Yes,The Sankey,10/24/2020,Weekday
199,220560-31-0769-DB,1/13/2020,5,3,3,Double,No,Travel Agent,Completed,Yes,The Sankey,1/13/2020,Weekend
245.05,345166-FK-5423-JK,9/26/2020,14,4,3,Executive Suite,No,Call Center,No-Show,Yes,The Sankey,9/26/2020,Weekday
152.1,988072-LA-4569-XG,3/19/2020,3,1,4,Single,No,Phone App,Completed,Yes,The Sankey,3/19/2020,Weekday
119.9,977920-OF-8562-KW,8/29/2020,3,4,4,Suite,No,Call Center,Completed,Yes,The Marimekko,8/29/2020,Weekday
89.1,402717-E2-0629-QV,2/2/2020,5,3,1,Single,No,Travel Agent,Completed,Yes,The Marimekko,2/2/2020,Weekend
89.1,573188-7X-9928-UF,5/4/2020,3,1,2,Single,Yes,Phone App,Completed,Yes,The Marimekko,5/4/2020,Weekend
185.9,931030-AM-5708-TP,8/6/2020,4,3,3,Suite,No,Call Center,Completed,Yes,The Sankey,8/6/2020,Weekday
108.9,541667-Y2-9077-SS,6/7/2020,9,3,3,Suite,Yes,Phone App,Completed,Yes,The Chord,6/7/2020,Weekend
169,509305-LP-2350-VW,10/14/2020,7,3,3,Double,No,Phone App,Completed,Yes,The Sankey,10/14/2020,Weekday
108.9,837408-AP-3447-PO,5/3/2020,11,3,3,Suite,No,Travel Agent,Completed,Yes,The Marimekko,5/3/2020,Weekend
89.1,445407-WI-3007-NT,1/19/2020,14,3,1,Single,No,Phone App,Completed,Yes,The Chord,1/19/2020,Weekend
100.98,509773-O8-0893-ON,9/21/2020,5,2,1,Queen,No,Phone App,Completed,Yes,The Chord,9/21/2020,Weekend
202.98,669959-S5-6661-RE,6/15/2020,5,4,4,Queen,No,Walk-in,Completed,No,The Sankey,6/15/2020,Weekend
169,193890-YD-9191-OH,3/27/2020,13,2,4,Double,No,Call Center,Completed,Yes,The Sankey,3/27/2020,Weekday
152.1,643143-O5-7202-OO,10/13/2020,14,3,4,Single,No,Walk-in,Completed,No,The Sankey,10/13/2020,Weekday
80.58,738235-XQ-1312-WX,10/8/2020,9,4,4,Queen,Yes,Travel Agent,Completed,Yes,The Chord,10/8/2020,Weekday
80.58,747474-HH-1779-YB,10/8/2020,11,3,2,Queen,No,Phone App,Completed,Yes,The Chord,10/8/2020,Weekday
179.1,580971-0F-6401-YM,2/3/2020,1,4,1,Single,No,Call Center,Completed,Yes,The Sankey,2/3/2020,Weekend
152.1,043726-CL-1223-YD,5/16/2020,13,2,4,Single,Yes,Website,Completed,Yes,The Sankey,5/16/2020,Weekday
202.98,749334-YO-1975-LC,4/27/2020,4,2,4,Queen,No,Walk-in,Completed,No,The Sankey,4/27/2020,Weekend
199,887980-8L-0362-ZF,7/13/2020,1,3,3,Double,Yes,Website,Completed,Yes,The Sankey,7/13/2020,Weekend
152.1,132163-R8-9041-TM,2/26/2020,3,4,1,Single,Yes,Phone App,Completed,Yes,The Sankey,2/26/2020,Weekday
114.45,450582-PN-3750-KE,3/26/2020,13,2,3,King,No,Phone App,Completed,Yes,The Marimekko,3/26/2020,Weekday
172.38,647773-LK-3333-QI,9/26/2020,8,2,2,Queen,Yes,Phone App,Completed,Yes,The Sankey,9/26/2020,Weekday
177.45,902494-HB-9048-DS,2/12/2020,6,1,3,King,No,Walk-in,Completed,No,The Sankey,2/12/2020,Weekday
169,418906-ZX-1164-VQ,2/14/2020,5,2,3,Double,No,Travel Agent,Completed,Yes,The Sankey,2/14/2020,Weekday
98.1,559931-J1-0503-FM,6/24/2020,5,3,2,Single,Yes,Website,Completed,Yes,The Marimekko,6/24/2020,Weekday
108.9,207217-GJ-4111-DY,10/19/2020,4,3,4,Suite,No,Call Center,Completed,Yes,The Chord,10/19/2020,Weekend
185.9,632128-6W-1494-EM,7/10/2020,2,2,4,Suite,Yes,Call Center,Completed,Yes,The Sankey,7/10/2020,Weekday
114.55,640975-AF-3590-AR,2/11/2020,1,4,4,Executive Suite,Yes,Website,Completed,Yes,The Chord,2/11/2020,Weekday
202.98,663056-JY-2962-ED,4/26/2020,14,1,1,Queen,No,Travel Agent,Completed,Yes,The Sankey,4/26/2020,Weekend
288.55,837379-36-9408-KF,8/31/2020,5,2,4,Executive Suite,Yes,Website,Completed,Yes,The Sankey,8/31/2020,Weekend
86.9,482511-T9-1430-CY,4/30/2020,9,2,4,Suite,No,Call Center,Completed,Yes,The Chord,4/30/2020,Weekday
208.95,671248-F0-6150-TC,9/13/2020,6,3,4,King,No,Travel Agent,Completed,Yes,The Sankey,9/13/2020,Weekend
202.98,035145-Q2-9774-JN,1/27/2020,7,4,1,Queen,Yes,Phone App,Completed,Yes,The Sankey,1/27/2020,Weekend
202.98,727965-KP-2104-JZ,8/17/2020,12,1,2,Queen,No,Walk-in,Completed,No,The Sankey,8/17/2020,Weekend
177.45,350914-C4-9096-XX,5/5/2020,13,1,4,King,No,Website,Completed,Yes,The Sankey,5/5/2020,Weekday
172.38,512418-KR-4354-PE,5/20/2020,6,2,2,Queen,No,Travel Agent,Completed,Yes,The Sankey,5/20/2020,Weekday
98.1,206617-9N-2330-JK,9/29/2020,5,2,2,Single,Yes,Call Center,Completed,Yes,The Marimekko,9/29/2020,Weekday
80.58,812362-YF-3408-XH,3/3/2020,9,1,1,Queen,No,Phone App,Completed,Yes,The Chord,3/3/2020,Weekday
82.95,865602-JT-7580-ER,10/9/2020,11,1,1,King,Yes,Phone App,Completed,Yes,The Chord,10/9/2020,Weekday
208.95,090247-26-2876-SD,5/31/2020,3,1,2,King,No,Travel Agent,Completed,Yes,The Sankey,5/31/2020,Weekend
169,633534-6P-9963-ZP,1/21/2020,6,4,4,Double,No,Travel Agent,Completed,Yes,The Sankey,1/21/2020,Weekday
98.1,154791-62-0539-WX,4/25/2020,6,2,3,Single,No,Call Center,Completed,Yes,The Marimekko,4/25/2020,Weekday
119.9,995749-KQ-9256-BF,5/1/2020,1,3,1,Suite,Yes,Travel Agent,Completed,Yes,The Marimekko,5/1/2020,Weekday
288.55,168297-8W-1619-ZL,6/8/2020,7,3,3,Executive Suite,No,Walk-in,No-Show,No,The Sankey,6/8/2020,Weekend
98.1,721114-8N-6266-OE,8/22/2020,9,3,2,Single,Yes,Travel Agent,No-Show,Yes,The Marimekko,8/22/2020,Weekday
288.55,888922-CF-5884-DG,8/31/2020,6,4,1,Executive Suite,Yes,Phone App,Completed,Yes,The Sankey,8/31/2020,Weekend
169,203646-YD-0702-MY,3/3/2020,13,4,2,Double,No,Website,Completed,No,The Sankey,3/3/2020,Weekday
119.9,865583-TA-7529-EP,7/17/2020,5,4,3,Suite,No,Walk-in,Completed,No,The Marimekko,7/17/2020,Weekday
114.45,535096-V6-7826-RT,5/13/2020,14,2,3,King,Yes,Phone App,Completed,Yes,The Marimekko,5/13/2020,Weekday
152.1,157901-CN-2447-WZ,3/7/2020,1,1,2,Single,Yes,Call Center,Completed,Yes,The Sankey,3/7/2020,Weekday
80.58,567066-76-0967-WC,2/25/2020,4,1,1,Queen,No,Travel Agent,Completed,Yes,The Chord,2/25/2020,Weekday
108.9,701392-7A-3468-AS,6/21/2020,5,4,2,Suite,Yes,Call Center,Completed,Yes,The Marimekko,6/21/2020,Weekend
177.45,768636-RM-7104-GR,3/20/2020,6,1,3,King,No,Call Center,Completed,No,The Sankey,3/20/2020,Weekday
152.1,156387-TM-5636-JM,9/1/2020,6,1,2,Single,Yes,Website,Reduced,Yes,The Sankey,9/1/2020,Weekday
202.98,564269-DE-5697-KV,3/16/2020,14,4,1,Queen,No,Phone App,No-Show,Yes,The Sankey,3/16/2020,Weekend
