Question Number,Question Text,University,Sample Size,% Agree
Q15,The course is well organised and running smoothly,Aberystwyth University,1527,0.8466
Q16,The timetable works efficiently for me,Aberystwyth University,1527,0.8168
Q17,Any changes in the course or teaching have been communicated effectively,Aberystwyth University,1527,0.9051
Q18,The IT resources and facilities provided have supported my learning well,Aberystwyth University,1527,0.9376
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Aberystwyth University,1527,0.924
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Aberystwyth University,1527,0.9275
Q21,I feel part of a community of staff and students,Aberystwyth University,1527,0.7665
Q22,I have had the right opportunities to work with other students as part of my course,Aberystwyth University,1527,0.9033
Q23,I have had the right opportunities to provide feedback on my course,Aberystwyth University,1527,0.9225
Q24,Staff value students’ views and opinions about the course,Aberystwyth University,1527,0.862
Q25,It is clear how students’ feedback on the course has been acted on,Aberystwyth University,1527,0.7958
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Aberystwyth University,1527,0.6299
Q27,"Overall, I am satisfied with the quality of the course",Aberystwyth University,1527,0.8996
Q01,Staff are good at explaining things,ACM Guildford Limited,517,0.8128
Q02,Staff have made the subject interesting,ACM Guildford Limited,517,0.754
Q03,The course is intellectually stimulating,ACM Guildford Limited,517,0.6444
Q04,My course has challenged me to achieve my best work,ACM Guildford Limited,517,0.615
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,ACM Guildford Limited,517,0.7139
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,ACM Guildford Limited,517,0.6909
Q07,My course has provided me with opportunities to apply what I have learnt,ACM Guildford Limited,517,0.6863
Q08,The criteria used in marking have been clear in advance,ACM Guildford Limited,517,0.5442
Q09,Marking and assessment has been fair,ACM Guildford Limited,517,0.5508
Q10,Feedback on my work has been timely,ACM Guildford Limited,517,0.5053
Q11,I have received helpful comments on my work,ACM Guildford Limited,517,0.5984
Q12,I have been able to contact staff when I needed to,ACM Guildford Limited,517,0.6935
Q13,I have received sufficient advice and guidance in relation to my course,ACM Guildford Limited,517,0.63
Q14,Good advice was available when I needed to make study choices on my course,ACM Guildford Limited,517,0.6568
Q15,The course is well organised and running smoothly,ACM Guildford Limited,517,0.3128
Q16,The timetable works efficiently for me,ACM Guildford Limited,517,0.5615
Q17,Any changes in the course or teaching have been communicated effectively,ACM Guildford Limited,517,0.4704
Q18,The IT resources and facilities provided have supported my learning well,ACM Guildford Limited,517,0.4825
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",ACM Guildford Limited,517,0.5387
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",ACM Guildford Limited,517,0.6098
Q21,I feel part of a community of staff and students,ACM Guildford Limited,517,0.6005
Q22,I have had the right opportunities to work with other students as part of my course,ACM Guildford Limited,517,0.7406
Q23,I have had the right opportunities to provide feedback on my course,ACM Guildford Limited,517,0.6863
Q24,Staff value students’ views and opinions about the course,ACM Guildford Limited,517,0.6676
Q25,It is clear how students’ feedback on the course has been acted on,ACM Guildford Limited,517,0.4649
Q26,The students’ union (association or guild) effectively represents students’ academic interests,ACM Guildford Limited,517,0.3789
Q27,"Overall, I am satisfied with the quality of the course",ACM Guildford Limited,517,0.6032
Q01,Staff are good at explaining things,Activate Learning,81,0.7963
Q02,Staff have made the subject interesting,Activate Learning,81,0.8333
Q03,The course is intellectually stimulating,Activate Learning,81,0.7778
Q04,My course has challenged me to achieve my best work,Activate Learning,81,0.6481
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Activate Learning,81,0.6852
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Activate Learning,81,0.8113
Q07,My course has provided me with opportunities to apply what I have learnt,Activate Learning,81,0.6415
Q08,The criteria used in marking have been clear in advance,Activate Learning,81,0.6296
Q09,Marking and assessment has been fair,Activate Learning,81,0.7778
Q10,Feedback on my work has been timely,Activate Learning,81,0.4815
Q11,I have received helpful comments on my work,Activate Learning,81,0.7963
Q12,I have been able to contact staff when I needed to,Activate Learning,81,0.6604
Q13,I have received sufficient advice and guidance in relation to my course,Activate Learning,81,0.5741
Q14,Good advice was available when I needed to make study choices on my course,Activate Learning,81,0.7115
Q15,The course is well organised and running smoothly,Activate Learning,81,0.4615
Q16,The timetable works efficiently for me,Activate Learning,81,0.7963
Q17,Any changes in the course or teaching have been communicated effectively,Activate Learning,81,0.4038
Q18,The IT resources and facilities provided have supported my learning well,Activate Learning,81,0.5556
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Activate Learning,81,0.7736
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Activate Learning,81,0.5849
Q21,I feel part of a community of staff and students,Activate Learning,81,0.6226
Q22,I have had the right opportunities to work with other students as part of my course,Activate Learning,81,0.8519
Q23,I have had the right opportunities to provide feedback on my course,Activate Learning,81,0.5556
Q24,Staff value students’ views and opinions about the course,Activate Learning,81,0.6481
Q25,It is clear how students’ feedback on the course has been acted on,Activate Learning,81,0.2407
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Activate Learning,81,0.3488
Q27,"Overall, I am satisfied with the quality of the course",Activate Learning,81,0.537
Q01,Staff are good at explaining things,AECC University College,78,0.8776
Q02,Staff have made the subject interesting,AECC University College,78,0.75
Q03,The course is intellectually stimulating,AECC University College,78,0.8776
Q04,My course has challenged me to achieve my best work,AECC University College,78,0.8367
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,AECC University College,78,0.7347
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,AECC University College,78,0.7959
Q07,My course has provided me with opportunities to apply what I have learnt,AECC University College,78,0.8776
Q08,The criteria used in marking have been clear in advance,AECC University College,78,0.6735
Q09,Marking and assessment has been fair,AECC University College,78,0.6458
Q10,Feedback on my work has been timely,AECC University College,78,0.5
Q11,I have received helpful comments on my work,AECC University College,78,0.5102
Q12,I have been able to contact staff when I needed to,AECC University College,78,0.898
Q13,I have received sufficient advice and guidance in relation to my course,AECC University College,78,0.7347
Q14,Good advice was available when I needed to make study choices on my course,AECC University College,78,0.7442
Q15,The course is well organised and running smoothly,AECC University College,78,0.3265
Q16,The timetable works efficiently for me,AECC University College,78,0.3958
Q17,Any changes in the course or teaching have been communicated effectively,AECC University College,78,0.4286
Q18,The IT resources and facilities provided have supported my learning well,AECC University College,78,0.8163
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",AECC University College,78,0.9792
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",AECC University College,78,0.9184
Q21,I feel part of a community of staff and students,AECC University College,78,0.8571
Q22,I have had the right opportunities to work with other students as part of my course,AECC University College,78,0.9592
Q23,I have had the right opportunities to provide feedback on my course,AECC University College,78,0.8571
Q24,Staff value students’ views and opinions about the course,AECC University College,78,0.6458
Q25,It is clear how students’ feedback on the course has been acted on,AECC University College,78,0.4898
Q26,The students’ union (association or guild) effectively represents students’ academic interests,AECC University College,78,0.7755
Q27,"Overall, I am satisfied with the quality of the course",AECC University College,78,0.8163
Q01,Staff are good at explaining things,All Nations Christian College Limited,19,1
Q02,Staff have made the subject interesting,All Nations Christian College Limited,19,0.9333
Q03,The course is intellectually stimulating,All Nations Christian College Limited,19,0.9333
Q04,My course has challenged me to achieve my best work,All Nations Christian College Limited,19,0.8667
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,All Nations Christian College Limited,19,1
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,All Nations Christian College Limited,19,1
Q07,My course has provided me with opportunities to apply what I have learnt,All Nations Christian College Limited,19,1
Q08,The criteria used in marking have been clear in advance,All Nations Christian College Limited,19,0.7333
Q09,Marking and assessment has been fair,All Nations Christian College Limited,19,0.8667
Q10,Feedback on my work has been timely,All Nations Christian College Limited,19,0.8
Q11,I have received helpful comments on my work,All Nations Christian College Limited,19,0.8667
Q12,I have been able to contact staff when I needed to,All Nations Christian College Limited,19,1
Q13,I have received sufficient advice and guidance in relation to my course,All Nations Christian College Limited,19,1
Q14,Good advice was available when I needed to make study choices on my course,All Nations Christian College Limited,19,0.9333
Q15,The course is well organised and running smoothly,All Nations Christian College Limited,19,0.9333
Q16,The timetable works efficiently for me,All Nations Christian College Limited,19,1
Q17,Any changes in the course or teaching have been communicated effectively,All Nations Christian College Limited,19,0.9333
Q18,The IT resources and facilities provided have supported my learning well,All Nations Christian College Limited,19,0.8571
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",All Nations Christian College Limited,19,0.9333
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",All Nations Christian College Limited,19,0.7333
Q21,I feel part of a community of staff and students,All Nations Christian College Limited,19,1
Q22,I have had the right opportunities to work with other students as part of my course,All Nations Christian College Limited,19,0.9333
Q23,I have had the right opportunities to provide feedback on my course,All Nations Christian College Limited,19,1
Q24,Staff value students’ views and opinions about the course,All Nations Christian College Limited,19,1
Q25,It is clear how students’ feedback on the course has been acted on,All Nations Christian College Limited,19,0.9333
Q26,The students’ union (association or guild) effectively represents students’ academic interests,All Nations Christian College Limited,19,0.9286
Q27,"Overall, I am satisfied with the quality of the course",All Nations Christian College Limited,19,0.9333
Q01,Staff are good at explaining things,ALRA,61,0.9808
Q02,Staff have made the subject interesting,ALRA,61,0.9615
Q03,The course is intellectually stimulating,ALRA,61,0.9423
Q04,My course has challenged me to achieve my best work,ALRA,61,0.8846
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,ALRA,61,0.8846
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,ALRA,61,0.8846
Q07,My course has provided me with opportunities to apply what I have learnt,ALRA,61,0.9038
Q08,The criteria used in marking have been clear in advance,ALRA,61,0.6538
Q09,Marking and assessment has been fair,ALRA,61,0.6731
Q10,Feedback on my work has been timely,ALRA,61,0.8077
Q11,I have received helpful comments on my work,ALRA,61,0.8654
Q12,I have been able to contact staff when I needed to,ALRA,61,0.8846
Q13,I have received sufficient advice and guidance in relation to my course,ALRA,61,0.9038
Q14,Good advice was available when I needed to make study choices on my course,ALRA,61,0.8431
Q15,The course is well organised and running smoothly,ALRA,61,0.6538
Q16,The timetable works efficiently for me,ALRA,61,0.9038
Q17,Any changes in the course or teaching have been communicated effectively,ALRA,61,0.7255
Q18,The IT resources and facilities provided have supported my learning well,ALRA,61,0.6346
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",ALRA,61,0.8431
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",ALRA,61,0.8846
Q21,I feel part of a community of staff and students,ALRA,61,0.7885
Q22,I have had the right opportunities to work with other students as part of my course,ALRA,61,0.9038
Q23,I have had the right opportunities to provide feedback on my course,ALRA,61,0.8462
Q24,Staff value students’ views and opinions about the course,ALRA,61,0.7308
Q25,It is clear how students’ feedback on the course has been acted on,ALRA,61,0.6923
Q26,The students’ union (association or guild) effectively represents students’ academic interests,ALRA,61,0.8043
Q27,"Overall, I am satisfied with the quality of the course",ALRA,61,0.9038
Q01,Staff are good at explaining things,Anglia Ruskin University Higher Education Corporation,5009,0.8831
Q02,Staff have made the subject interesting,Anglia Ruskin University Higher Education Corporation,5009,0.8468
Q03,The course is intellectually stimulating,Anglia Ruskin University Higher Education Corporation,5009,0.8354
Q04,My course has challenged me to achieve my best work,Anglia Ruskin University Higher Education Corporation,5009,0.8109
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Anglia Ruskin University Higher Education Corporation,5009,0.8227
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Anglia Ruskin University Higher Education Corporation,5009,0.8475
Q07,My course has provided me with opportunities to apply what I have learnt,Anglia Ruskin University Higher Education Corporation,5009,0.8209
Q08,The criteria used in marking have been clear in advance,Anglia Ruskin University Higher Education Corporation,5009,0.7512
Q09,Marking and assessment has been fair,Anglia Ruskin University Higher Education Corporation,5009,0.7163
Q10,Feedback on my work has been timely,Anglia Ruskin University Higher Education Corporation,5009,0.7557
Q11,I have received helpful comments on my work,Anglia Ruskin University Higher Education Corporation,5009,0.7481
Q12,I have been able to contact staff when I needed to,Anglia Ruskin University Higher Education Corporation,5009,0.8261
Q13,I have received sufficient advice and guidance in relation to my course,Anglia Ruskin University Higher Education Corporation,5009,0.7767
Q14,Good advice was available when I needed to make study choices on my course,Anglia Ruskin University Higher Education Corporation,5009,0.7582
Q15,The course is well organised and running smoothly,Anglia Ruskin University Higher Education Corporation,5009,0.6851
Q16,The timetable works efficiently for me,Anglia Ruskin University Higher Education Corporation,5009,0.7981
Q17,Any changes in the course or teaching have been communicated effectively,Anglia Ruskin University Higher Education Corporation,5009,0.7454
Q18,The IT resources and facilities provided have supported my learning well,Anglia Ruskin University Higher Education Corporation,5009,0.8125
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Anglia Ruskin University Higher Education Corporation,5009,0.8586
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Anglia Ruskin University Higher Education Corporation,5009,0.8368
Q21,I feel part of a community of staff and students,Anglia Ruskin University Higher Education Corporation,5009,0.7059
Q22,I have had the right opportunities to work with other students as part of my course,Anglia Ruskin University Higher Education Corporation,5009,0.8627
Q23,I have had the right opportunities to provide feedback on my course,Anglia Ruskin University Higher Education Corporation,5009,0.8605
Q24,Staff value students’ views and opinions about the course,Anglia Ruskin University Higher Education Corporation,5009,0.7672
Q25,It is clear how students’ feedback on the course has been acted on,Anglia Ruskin University Higher Education Corporation,5009,0.6411
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Anglia Ruskin University Higher Education Corporation,5009,0.6085
Q27,"Overall, I am satisfied with the quality of the course",Anglia Ruskin University Higher Education Corporation,5009,0.8159
Q01,Staff are good at explaining things,Architectural Association (Incorporated),127,0.8462
Q02,Staff have made the subject interesting,Architectural Association (Incorporated),127,0.9451
Q03,The course is intellectually stimulating,Architectural Association (Incorporated),127,0.9348
Q04,My course has challenged me to achieve my best work,Architectural Association (Incorporated),127,0.8587
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Architectural Association (Incorporated),127,0.8913
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Architectural Association (Incorporated),127,0.9239
Q07,My course has provided me with opportunities to apply what I have learnt,Architectural Association (Incorporated),127,0.8043
Q08,The criteria used in marking have been clear in advance,Architectural Association (Incorporated),127,0.5217
Q09,Marking and assessment has been fair,Architectural Association (Incorporated),127,0.6813
Q10,Feedback on my work has been timely,Architectural Association (Incorporated),127,0.6739
Q11,I have received helpful comments on my work,Architectural Association (Incorporated),127,0.7826
Q12,I have been able to contact staff when I needed to,Architectural Association (Incorporated),127,0.8478
Q13,I have received sufficient advice and guidance in relation to my course,Architectural Association (Incorporated),127,0.7826
Q14,Good advice was available when I needed to make study choices on my course,Architectural Association (Incorporated),127,0.6957
Q15,The course is well organised and running smoothly,Architectural Association (Incorporated),127,0.5109
Q16,The timetable works efficiently for me,Architectural Association (Incorporated),127,0.6848
Q17,Any changes in the course or teaching have been communicated effectively,Architectural Association (Incorporated),127,0.4457
Q18,The IT resources and facilities provided have supported my learning well,Architectural Association (Incorporated),127,0.6522
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Architectural Association (Incorporated),127,0.9457
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Architectural Association (Incorporated),127,0.8132
Q21,I feel part of a community of staff and students,Architectural Association (Incorporated),127,0.8043
Q22,I have had the right opportunities to work with other students as part of my course,Architectural Association (Incorporated),127,0.7912
Q23,I have had the right opportunities to provide feedback on my course,Architectural Association (Incorporated),127,0.7717
Q24,Staff value students’ views and opinions about the course,Architectural Association (Incorporated),127,0.7174
Q25,It is clear how students’ feedback on the course has been acted on,Architectural Association (Incorporated),127,0.4891
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Architectural Association (Incorporated),127,0.5667
Q27,"Overall, I am satisfied with the quality of the course",Architectural Association (Incorporated),127,0.8242
Q01,Staff are good at explaining things,Arden University Limited,391,0.8397
Q02,Staff have made the subject interesting,Arden University Limited,391,0.7614
Q03,The course is intellectually stimulating,Arden University Limited,391,0.8598
Q04,My course has challenged me to achieve my best work,Arden University Limited,391,0.8491
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Arden University Limited,391,0.8642
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Arden University Limited,391,0.8792
Q07,My course has provided me with opportunities to apply what I have learnt,Arden University Limited,391,0.8566
Q08,The criteria used in marking have been clear in advance,Arden University Limited,391,0.7576
Q09,Marking and assessment has been fair,Arden University Limited,391,0.6894
Q10,Feedback on my work has been timely,Arden University Limited,391,0.7208
Q11,I have received helpful comments on my work,Arden University Limited,391,0.834
Q12,I have been able to contact staff when I needed to,Arden University Limited,391,0.8106
Q13,I have received sufficient advice and guidance in relation to my course,Arden University Limited,391,0.7224
Q14,Good advice was available when I needed to make study choices on my course,Arden University Limited,391,0.7364
Q15,The course is well organised and running smoothly,Arden University Limited,391,0.6792
Q16,The timetable works efficiently for me,Arden University Limited,391,0.7748
Q17,Any changes in the course or teaching have been communicated effectively,Arden University Limited,391,0.7348
Q18,The IT resources and facilities provided have supported my learning well,Arden University Limited,391,0.705
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Arden University Limited,391,0.6174
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Arden University Limited,391,0.677
Q21,I feel part of a community of staff and students,Arden University Limited,391,0.5703
Q22,I have had the right opportunities to work with other students as part of my course,Arden University Limited,391,0.6
Q23,I have had the right opportunities to provide feedback on my course,Arden University Limited,391,0.7273
Q24,Staff value students’ views and opinions about the course,Arden University Limited,391,0.6437
Q25,It is clear how students’ feedback on the course has been acted on,Arden University Limited,391,0.5462
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Arden University Limited,391,0.5458
Q27,"Overall, I am satisfied with the quality of the course",Arden University Limited,391,0.8068
Q01,Staff are good at explaining things,Arts Educational Schools(The),73,0.8868
Q02,Staff have made the subject interesting,Arts Educational Schools(The),73,0.9057
Q03,The course is intellectually stimulating,Arts Educational Schools(The),73,0.8302
Q04,My course has challenged me to achieve my best work,Arts Educational Schools(The),73,0.7736
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,Arts Educational Schools(The),73,0.8679
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,Arts Educational Schools(The),73,0.8491
Q07,My course has provided me with opportunities to apply what I have learnt,Arts Educational Schools(The),73,0.9057
Q08,The criteria used in marking have been clear in advance,Arts Educational Schools(The),73,0.7358
Q09,Marking and assessment has been fair,Arts Educational Schools(The),73,0.6415
Q10,Feedback on my work has been timely,Arts Educational Schools(The),73,0.7736
Q11,I have received helpful comments on my work,Arts Educational Schools(The),73,0.7925
Q12,I have been able to contact staff when I needed to,Arts Educational Schools(The),73,0.8113
Q13,I have received sufficient advice and guidance in relation to my course,Arts Educational Schools(The),73,0.8302
Q14,Good advice was available when I needed to make study choices on my course,Arts Educational Schools(The),73,0.8077
Q15,The course is well organised and running smoothly,Arts Educational Schools(The),73,0.7358
Q16,The timetable works efficiently for me,Arts Educational Schools(The),73,0.8302
Q17,Any changes in the course or teaching have been communicated effectively,Arts Educational Schools(The),73,0.6538
Q18,The IT resources and facilities provided have supported my learning well,Arts Educational Schools(The),73,0.717
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well",Arts Educational Schools(The),73,1
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",Arts Educational Schools(The),73,0.8269
Q21,I feel part of a community of staff and students,Arts Educational Schools(The),73,0.7925
Q22,I have had the right opportunities to work with other students as part of my course,Arts Educational Schools(The),73,0.9434
Q23,I have had the right opportunities to provide feedback on my course,Arts Educational Schools(The),73,0.7547
Q24,Staff value students’ views and opinions about the course,Arts Educational Schools(The),73,0.6923
Q25,It is clear how students’ feedback on the course has been acted on,Arts Educational Schools(The),73,0.7358
Q26,The students’ union (association or guild) effectively represents students’ academic interests,Arts Educational Schools(The),73,0.6792
Q27,"Overall, I am satisfied with the quality of the course",Arts Educational Schools(The),73,0.8113
Q01,Staff are good at explaining things,"Arts University Bournemouth, the",1061,0.9098
Q02,Staff have made the subject interesting,"Arts University Bournemouth, the",1061,0.9159
Q03,The course is intellectually stimulating,"Arts University Bournemouth, the",1061,0.8659
Q04,My course has challenged me to achieve my best work,"Arts University Bournemouth, the",1061,0.8671
Q05,My course has provided me with opportunities to explore ideas or concepts in depth,"Arts University Bournemouth, the",1061,0.8927
Q06,My course has provided me with opportunities to bring information and ideas together from different topics,"Arts University Bournemouth, the",1061,0.8767
Q07,My course has provided me with opportunities to apply what I have learnt,"Arts University Bournemouth, the",1061,0.9268
Q08,The criteria used in marking have been clear in advance,"Arts University Bournemouth, the",1061,0.768
Q09,Marking and assessment has been fair,"Arts University Bournemouth, the",1061,0.7705
Q10,Feedback on my work has been timely,"Arts University Bournemouth, the",1061,0.85
Q11,I have received helpful comments on my work,"Arts University Bournemouth, the",1061,0.8144
Q12,I have been able to contact staff when I needed to,"Arts University Bournemouth, the",1061,0.8938
Q13,I have received sufficient advice and guidance in relation to my course,"Arts University Bournemouth, the",1061,0.861
Q14,Good advice was available when I needed to make study choices on my course,"Arts University Bournemouth, the",1061,0.8554
Q15,The course is well organised and running smoothly,"Arts University Bournemouth, the",1061,0.7061
Q16,The timetable works efficiently for me,"Arts University Bournemouth, the",1061,0.7751
Q17,Any changes in the course or teaching have been communicated effectively,"Arts University Bournemouth, the",1061,0.8153
Q18,The IT resources and facilities provided have supported my learning well,"Arts University Bournemouth, the",1061,0.8768
Q19,"The library resources (e.g. books, online services and learning spaces) have supported my learning well","Arts University Bournemouth, the",1061,0.9231
Q20,"I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to","Arts University Bournemouth, the",1061,0.8958
Q21,I feel part of a community of staff and students,"Arts University Bournemouth, the",1061,0.8191
Q22,I have had the right opportunities to work with other students as part of my course,"Arts University Bournemouth, the",1061,0.8444
Q23,I have had the right opportunities to provide feedback on my course,"Arts University Bournemouth, the",1061,0.9142
Q24,Staff value students’ views and opinions about the course,"Arts University Bournemouth, the",1061,0.8323
Q25,It is clear how students’ feedback on the course has been acted on,"Arts University Bournemouth, the",1061,0.7224
Q26,The students’ union (association or guild) effectively represents students’ academic interests,"Arts University Bournemouth, the",1061,0.6721
Q27,"Overall, I am satisfied with the quality of the course","Arts University Bournemouth, the",1061,0.8784
Q01,Staff are good at explaining things,"University of the Arts, London",3991,0.8389
Q02,Staff have made the subject interesting,"University of the Arts, London",3991,0.7783
Q03,The course is intellectually stimulating,"University of the Arts, London",3991,0.7119
