SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_popularity,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
These WallsMoss Kena,Moss Kena,These Walls,['uk contemporary r&b'],2AxpwJsPqDtO9Hd0ZDykU6,https://p.scdn.co/mp3-preview/c7a2345cfef4fa3a640480f19ffc4c7b0dfe6947?cid=b8d3901151d34489a160e3cf0ab1fa94,213191,35,False,0.403,0.397,5,-8.996,1,0.246,0.682,0.000308,0.108,0.211,93.845,4
Washin' My Big Ol' PussyBirdcloud,Birdcloud,Washin' My Big Ol' Pussy,['deathgrass'],0bKnpyg2KLt6mfOcMI0fCy,https://p.scdn.co/mp3-preview/9d8ab5e46419e6b620bb694de6351a17297bace5?cid=b8d3901151d34489a160e3cf0ab1fa94,83386,29,True,0.598,0.606,5,-6.642,1,0.0289,0.749,0,0.0831,0.465,99.431,4
How Could You BabeTobias Jesso Jr.,Tobias Jesso Jr.,How Could You Babe,[],3UTD8DQ1liGCFd9lE0gQDR,https://p.scdn.co/mp3-preview/4c83264d30d115b72999a074f49bf727bbc12d05?cid=b8d3901151d34489a160e3cf0ab1fa94,232440,35,False,0.577,0.349,4,-7.957,1,0.0251,0.764,0.000157,0.103,0.209,130.136,3
Black VelvetAlannah Myles,Alannah Myles,Black Velvet,"['classic canadian rock', 'new wave pop']",1KU5EHSz04JhGg3rReGJ0N,https://p.scdn.co/mp3-preview/95abdfdeddbab5212c6a95f04a95aabb1e3f2dbe?cid=b8d3901151d34489a160e3cf0ab1fa94,287440,71,False,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,4
Drifting AwayClaire Guerreso,Claire Guerreso,Drifting Away,[],0MPw2SFXdI2eQWJMovFrtq,https://p.scdn.co/mp3-preview/0269836ef43b78b38e45838f8ee59890b2f19578?cid=b8d3901151d34489a160e3cf0ab1fa94,189970,17,False,0.767,0.283,7,-9.86,0,0.0382,0.714,1.71e-05,0.104,0.354,139.874,4
The River WillThe Lowest Pair,The Lowest Pair,The River Will,"['banjo', 'new americana', 'olympia wa indie']",45c0mWD8NzAIUbLwAd03Gj,https://p.scdn.co/mp3-preview/21a75596ab7d41bb1b936611a17815035af04f49?cid=b8d3901151d34489a160e3cf0ab1fa94,297306,20,False,0.47,0.384,10,-12.097,0,0.0348,0.909,0.00166,0.177,0.722,94.008,4
Mr. B (feat. Dominic Lalli)Griz,Griz,Mr. B (feat. Dominic Lalli),"['edm', 'electropop', 'jamtronica', 'jazztronica', 'livetronica']",6d3ALWkrmqO6GCi6McHb1Q,https://p.scdn.co/mp3-preview/653304cd7f200e6ebe2f814e1c5dd5ee8b72c085?cid=b8d3901151d34489a160e3cf0ab1fa94,348421,37,False,0.675,0.737,2,-7.34,1,0.0737,0.0142,0.191,0.237,0.376,100.012,4
Rockin' RobinBobby Day,Bobby Day,Rockin' Robin,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",4FlYcJnfkeBpowEHJ72Bmt,https://p.scdn.co/mp3-preview/95ccffd3144517fad57a76ab7a6b0d20ee3495e9?cid=b8d3901151d34489a160e3cf0ab1fa94,160080,62,False,0.541,0.608,7,-13.083,1,0.106,0.298,0,0.234,0.938,171.992,4
Keep OnCourtney Barnett,Courtney Barnett,Keep On,"['art pop', 'chamber pop', 'indie pop', 'indie rock', 'melbourne indie']",5CD5m5yu4b0O7iq4DAGsWa,https://p.scdn.co/mp3-preview/a3e3dd919580b7a075f0eef746bad05c55042986?cid=b8d3901151d34489a160e3cf0ab1fa94,267346,48,False,0.439,0.788,4,-6.605,1,0.0452,0.0562,2.03e-06,0.226,0.315,128.015,4
White WashedAugust Burns Red,August Burns Red,White Washed,"['christian metal', 'melodic metalcore', 'metalcore', 'screamo']",5xcYdoWHur82zA5KYHlgJk,https://p.scdn.co/mp3-preview/064f896f54b99c7cfad250ed1ea7b1eea3be070f?cid=b8d3901151d34489a160e3cf0ab1fa94,226253,53,False,0.214,0.964,10,-5.248,0,0.0733,7.07e-06,0.114,0.453,0.328,106.536,4
I Fucking Hate YouGodsmack,Godsmack,I Fucking Hate You,"['alternative metal', 'groove metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2Uilp8alSjAxV0IXorUk9l,,247066,49,True,0.31,0.973,0,-4.721,1,0.185,3.77e-05,1.01e-06,0.0973,0.226,190.27,4
ChicagoCookin Soul,Cookin Soul,Chicago,"['spanish hip hop', 'trap latino']",3h6mYkJFzfhioau4R8ogDG,https://p.scdn.co/mp3-preview/809b9dfc784075da047cc7ac87f6174e4f4a0af2?cid=b8d3901151d34489a160e3cf0ab1fa94,105494,51,False,0.729,0.448,0,-7.868,1,0.0413,0.202,0.867,0.0693,0.328,91.021,4
FoolsWild Child,Wild Child,Fools,"['austindie', 'chamber pop', 'deep new americana', 'folk-pop', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']",0q9X1RjvZnZJhWThRKaFnt,https://p.scdn.co/mp3-preview/4f031fca97ee77f37f01ee053591323d34c409b1?cid=b8d3901151d34489a160e3cf0ab1fa94,204138,35,False,0.521,0.892,4,-6.623,1,0.0564,0.0229,0.000137,0.125,0.776,153.283,4
Dirt Off Your Shoulder/Lying from YouJAY-Z,JAY-Z,Dirt Off Your Shoulder/Lying from You,[],,,,,,,,,,,,,,,,,
Obaa Y EwaPa Joe,Pa Joe,Obaa Y Ewa,[],40DTvPYNew0qRoyR02Q4Gk,https://p.scdn.co/mp3-preview/1885b273e5d36dd5bf7f00df6de8b8d19a4b24e0?cid=b8d3901151d34489a160e3cf0ab1fa94,283773,43,False,0.67,0.587,5,-12.511,1,0.0373,0.745,0.132,0.0863,0.766,107.311,4
Folsom Prison BluesJohnny Cash,Johnny Cash,Folsom Prison Blues,"['arkansas country', 'outlaw country']",2fDHuS1PTkHBbCWWZF1ph9,https://p.scdn.co/mp3-preview/cfc6157d9618d8598592c05c6cb8fb1e5b7190e3?cid=b8d3901151d34489a160e3cf0ab1fa94,162653,69,False,0.621,0.524,0,-15.269,1,0.0803,0.0652,0.00199,0.893,0.889,110.586,4
Every Little Bit HurtsBarton Carroll,Barton Carroll,Every Little Bit Hurts,[],6amT35S6kPOQj6KWrbrQ2S,https://p.scdn.co/mp3-preview/f805324b3c551fa94687a0c2ec9673dc1a4abc2a?cid=b8d3901151d34489a160e3cf0ab1fa94,226920,33,False,0.489,0.646,9,-6.013,1,0.0315,0.438,0,0.275,0.704,125.045,4
Coke & Henny Pt. 2Pink Sweat$,Pink Sweat$,Coke & Henny Pt. 2,"['alternative r&b', 'bedroom soul', 'indie r&b', 'pop']",1gBn3RRt2jPquDW6AhHJrs,https://p.scdn.co/mp3-preview/52a4c7526e564d51bd1c84f8a0f4e686b3d68d68?cid=b8d3901151d34489a160e3cf0ab1fa94,157333,64,False,0.806,0.289,1,-9.853,0,0.0389,0.609,0,0.105,0.457,89.958,4
Semi SuiteTom Waits,Tom Waits,Semi Suite,"['folk', 'folk rock', 'roots rock', 'singer-songwriter']",0OOzDECJys09TDUu9HUiF0,https://p.scdn.co/mp3-preview/b08102ae37e1536c9312886c79e630a58405bee9?cid=b8d3901151d34489a160e3cf0ab1fa94,209266,35,False,0.417,0.339,7,-9.883,1,0.0438,0.852,8.42e-06,0.116,0.291,171.294,3
High Water MarkIced Earth,Iced Earth,High Water Mark,"['groove metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'old school thrash', 'power metal', 'power thrash', 'progressive metal', 'speed metal', 'thrash metal']",2vilgGTH8Dt2VVQzvOU2zI,https://p.scdn.co/mp3-preview/b2078e2539784327bbc99671f2feec2cfc9f5596?cid=b8d3901151d34489a160e3cf0ab1fa94,755573,29,False,0.536,0.822,8,-10.267,0,0.0618,0.00049,0.000932,0.0666,0.416,127.902,4
Family TraditionHank Williams Jr.,Hank Williams Jr.,Family Tradition,"['country', 'country road', 'country rock', 'outlaw country']",73ZTWCuwudUVvvWipRnQnQ,https://p.scdn.co/mp3-preview/112fe491183f3edadb28f44be75faa9fdb26bb06?cid=b8d3901151d34489a160e3cf0ab1fa94,242960,65,False,0.66,0.523,4,-12.068,1,0.0608,0.0238,0,0.142,0.794,126.342,4
Deep Deep TroubleThe Simpsons,The Simpsons,Deep Deep Trouble,['comic'],0yE1hIgt4v8Gs4t9YmD55d,,266866,30,False,0.594,0.557,7,-13.915,0,0.457,0.0796,0,0.0236,0.751,79.181,3
The Marriage Of Figaro K. 492: OvertureWolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,The Marriage Of Figaro K. 492: Overture,"['classical', 'classical era']",3VviycdC3OaoSlJhfxTNiO,https://p.scdn.co/mp3-preview/fdaa2834a65db8474d0f8871aa0b148df2706802?cid=b8d3901151d34489a160e3cf0ab1fa94,238333,21,False,0.351,0.194,2,-16.13,1,0.0375,0.932,0.91,0.1,0.178,75.254,4
Ballad Of The Sad Young MenCharles Lloyd & The Marvels,Charles Lloyd & The Marvels,Ballad Of The Sad Young Men,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'jazz', 'jazz fusion', 'jazz saxophone']",2seZ8ZHnD5RQBkhT8RsBZu,,377320,53,False,0.474,0.112,0,-17.762,1,0.0297,0.974,0.873,0.112,0.116,106.514,4
AvalancheBring Me the Horizon,Bring Me the Horizon,Avalanche,"['melodic metalcore', 'metalcore', 'uk metalcore']",4EyPadLFhtWojU7mkT5hqT,https://p.scdn.co/mp3-preview/75ae197055535c2489b7e46a139ffc42c123e0ec?cid=b8d3901151d34489a160e3cf0ab1fa94,262013,64,False,0.426,0.934,7,-4.063,0,0.0685,2.97e-05,0.0089,0.113,0.285,160.077,4
Beretta LakeTeflon Sega,Teflon Sega,Beretta Lake,['trap soul'],7ML92epaA0BOTtYCEVfZXc,https://p.scdn.co/mp3-preview/4bb90df8e44b380920fd2799c5048afa68264a9e?cid=b8d3901151d34489a160e3cf0ab1fa94,229473,46,True,0.582,0.602,1,-5.754,1,0.0328,0.0185,0.00409,0.0837,0.0481,113.991,4
Kyle Quit The BandTenacious D,Tenacious D,Kyle Quit The Band,"['alternative metal', 'comedy rock', 'comic', 'comic metal', 'parody', 'post-grunge', 'rock']",70dCC0rTy7tPe3ngnzOiXB,https://p.scdn.co/mp3-preview/4bfcc5224f99723519adb7ac6b7e44b1ae38f4f8?cid=b8d3901151d34489a160e3cf0ab1fa94,89720,38,True,0.416,0.633,4,-7.479,1,0.11,0.0654,2.66e-06,0.18,0.735,104.211,4
Don't Let It Get You DownJohnnyswim,Johnnyswim,Don't Let It Get You Down,"['acoustic pop', 'folk-pop', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",4jjvUXBBqQDFRGX4SR5OhS,https://p.scdn.co/mp3-preview/54c50138c489ace18b4a4cee50734746db0deab8?cid=b8d3901151d34489a160e3cf0ab1fa94,200400,54,False,0.69,0.657,7,-4.397,0,0.0372,0.0926,0.000209,0.12,0.501,140.005,4
Light OnMaggie Rogers,Maggie Rogers,Light On,"['electropop', 'pop']",6UnCGAEmrbGIOSmGRZQ1M2,,233880,75,False,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,4
Rider Of DaysPatty Griffin,Patty Griffin,Rider Of Days,"['acoustic pop', 'ectofolk', 'folk', 'indie folk', 'lilith', 'new americana', 'singer-songwriter', 'traditional folk']",2q6ZcCrZXnX7uVLLDKy0o1,https://p.scdn.co/mp3-preview/4e961923b1156d4220b033660dabcb1f2b724d41?cid=b8d3901151d34489a160e3cf0ab1fa94,211480,21,False,0.351,0.398,10,-10.185,1,0.0289,0.575,0.00122,0.125,0.104,62.336,4
Lucid AlchemyRuud Vanderwege,Ruud Vanderwege,Lucid Alchemy,['background music'],7u7dK1IXsG4jdB6bK9PCFm,https://p.scdn.co/mp3-preview/b689ebecb2ddddc17009c21113770ce49a678c7a?cid=b8d3901151d34489a160e3cf0ab1fa94,258928,57,False,0.437,0.0465,0,-26.779,1,0.0435,0.894,0.923,0.12,0.1,119.958,4
You're So ColdMariah Carey,Mariah Carey,You're So Cold,"['dance pop', 'pop', 'r&b', 'urban contemporary']",69S82K7PwFBFYB0DDpJflE,https://p.scdn.co/mp3-preview/98004a1bbea313db6ecb1fc2cef74d73c22e8898?cid=b8d3901151d34489a160e3cf0ab1fa94,304506,36,False,0.733,0.785,0,-8.249,0,0.0371,0.043,0.00201,0.113,0.601,110.002,4
I TryMacy Gray,Macy Gray,I Try,"['neo soul', 'soul']",5TAf4lnZCZTLlZHNZMLFLi,https://p.scdn.co/mp3-preview/0da0587ee18e06568e31a8e54229e231073024df?cid=b8d3901151d34489a160e3cf0ab1fa94,239440,71,False,0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,4
Born To Play GuitarBuddy Guy,Buddy Guy,Born To Play Guitar,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",7yXuquZiCxTyLXzPnwlqJv,https://p.scdn.co/mp3-preview/6405126faa62a4e0ee804e7828427d6e561411b8?cid=b8d3901151d34489a160e3cf0ab1fa94,296520,40,False,0.479,0.423,2,-7.714,1,0.0694,0.768,0.000305,0.294,0.4,169.527,3
Thumbs Up (For Rock N' Roll) (Kill The Noise Remix)Kill The Noise & Feed Me,Kill The Noise & Feed Me,Thumbs Up (For Rock N' Roll) (Kill The Noise Remix),"['brostep', 'complextro', 'edm', 'electro house', 'electronic trap', 'fidget house', 'zapstep']",4woRzyXDGz53Zw2hSmGk2m,https://p.scdn.co/mp3-preview/014da359523dbf24cbed3b2f5609f193eb21e75d?cid=b8d3901151d34489a160e3cf0ab1fa94,271768,17,False,0.485,0.924,0,-4.211,1,0.0661,7.2e-05,0.553,0.976,0.326,125.814,4
Hard FuckingTenacious D,Tenacious D,Hard Fucking,"['alternative metal', 'comedy rock', 'comic', 'comic metal', 'parody', 'post-grunge', 'rock']",2exAM7Ymjirv6cj8Q22Gwu,https://p.scdn.co/mp3-preview/dedb65b289de27f5c20468208372db6b2082776a?cid=b8d3901151d34489a160e3cf0ab1fa94,35586,35,True,0.78,0.266,3,-17.777,1,0.954,0.803,0,0.174,0.883,74.27,3
FamousAmir Obe,Amir Obe,Famous,"['deep underground hip hop', 'trap soul', 'underground hip hop']",33C9eAG5R6Brjf16jxCnA2,,200133,42,False,0.539,0.699,8,-6.469,0,0.0768,0.12,0.0328,0.109,0.244,166.01,4
SussudioPhil Collins,Phil Collins,Sussudio,"['mellow gold', 'soft rock']",4qM461TqtpnP4GLRIXwEnW,https://p.scdn.co/mp3-preview/05704ed5afa7ffe0d66215cf61b33b6bf4270914?cid=b8d3901151d34489a160e3cf0ab1fa94,263106,67,False,0.714,0.935,5,-5.195,1,0.0849,0.0529,0.0934,0.0515,0.725,121.232,4
People Are Strange - 2012 Botnick MixThe Doors,The Doors,People Are Strange - 2012 Botnick Mix,"['album rock', 'classic rock', 'piano rock', 'psychedelic rock', 'rock']",,,,,,,,,,,,,,,,,
Bibbidi-Bobbidi-Boo (The Magic Song)Helena Bonham Carter,Helena Bonham Carter,Bibbidi-Bobbidi-Boo (The Magic Song),['hollywood'],,,,,,,,,,,,,,,,,
Rock & Roll - 2015 Remastered Full Length VersionThe Velvet Underground,The Velvet Underground,Rock & Roll - 2015 Remastered Full Length Version,"['alternative rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'melancholia', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock']",1o6DclZHw0HomxXEQR1ijX,https://p.scdn.co/mp3-preview/1dd9e57ebc516be83ee96f980f6934ffce1f8c0f?cid=b8d3901151d34489a160e3cf0ab1fa94,283000,62,False,0.494,0.735,5,-8.347,1,0.0345,0.00401,3.14e-06,0.544,0.742,132.526,4
How Can We Hang On To A DreamTim Hardin,Tim Hardin,How Can We Hang On To A Dream,"['classic uk pop', 'country rock', 'folk', 'folk rock', 'singer-songwriter', 'traditional folk']",1wed13CuglKBkOnVFFzI1D,,123240,48,False,0.563,0.175,7,-15.478,0,0.0404,0.827,0,0.147,0.365,126.519,5
Fatal TempestBlendvork,Blendvork,Fatal Tempest,,,,,,,,,,,,,,,,,,
Stay (I Missed You)Lisa Loeb,Lisa Loeb,Stay (I Missed You),"['lilith', 'new wave pop', 'pop rock', 'singer-songwriter']",00U1MDChdOTxWwtKoOoBXE,https://p.scdn.co/mp3-preview/3e359ca7c9a9797c3c8bceef5c9e0a67a4462852?cid=b8d3901151d34489a160e3cf0ab1fa94,184333,57,False,0.612,0.591,1,-7.02,1,0.051,0.462,0,0.111,0.349,160.659,4
Baby I'm Bad WeatherToussaint Morrison,Toussaint Morrison,Baby I'm Bad Weather,[],0To6AYGdFnMjodDnj1hkrl,https://p.scdn.co/mp3-preview/b5c2fe346f54b25af81ccbe0d877c3e7d96721b8?cid=b8d3901151d34489a160e3cf0ab1fa94,206406,37,False,0.762,0.666,7,-6.796,1,0.546,0.548,0,0.126,0.802,101.12,4
Help! - Remastered 2015The Beatles,The Beatles,Help! - Remastered 2015,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",3Smida2eCUsLzDcmZqXEZ3,,139240,59,False,0.602,0.736,11,-6.51,0,0.0332,0.149,0,0.0776,0.819,94.931,4
Black or WhiteMichael Jackson,Michael Jackson,Black or White,"['pop', 'r&b', 'soul']",7EsjkelQuoUlJXEw7SeVV4,https://p.scdn.co/mp3-preview/7685001a08ad8903a2c14f1fbb0834c6904a65a3?cid=b8d3901151d34489a160e3cf0ab1fa94,254933,67,False,0.518,0.9,9,-3.748,1,0.0933,0.172,0.0315,0.0713,0.872,115.029,4
The Fish [Shindleria Praematurus]Yes,Yes,The Fish [Shindleria Praematurus],"['album rock', 'art rock', 'classic rock', 'hard rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",,,,,,,,,,,,,,,,,
A Prominent ResponsePiotr Miteska,Piotr Miteska,A Prominent Response,"['background music', 'focus', 'neo-classical']",0jZxuq04x40gwFCCcg3J31,https://p.scdn.co/mp3-preview/15732b1023fbbdb677057def76c60d25c8c02a51?cid=b8d3901151d34489a160e3cf0ab1fa94,173298,62,False,0.283,0.105,2,-21.941,0,0.0328,0.991,0.899,0.106,0.157,77.799,3
CloserChic Gamine,Chic Gamine,Closer,['manitoba indie'],59A3GdneM1HnO20l68DwBf,https://p.scdn.co/mp3-preview/0680c39c5a2c4de9975abe4d3009148b96cda33d?cid=b8d3901151d34489a160e3cf0ab1fa94,221946,21,False,0.503,0.647,0,-6.158,1,0.264,0.443,0,0.128,0.443,148.017,4
SpruceBitBeats,BitBeats,Spruce,[],3JRSjJ62fQ41Ux2AjziNxP,https://p.scdn.co/mp3-preview/6936f3370a2c4b8ee73dfa9a8a7b761aedbb8298?cid=b8d3901151d34489a160e3cf0ab1fa94,153069,41,False,0.809,0.371,5,-9.529,1,0.132,0.355,0.651,0.436,0.0639,82.018,4
It Ain't YouSquirrel Nut Zippers,Squirrel Nut Zippers,It Ain't You,['swing'],36PO91kTJYS0sR495g73zx,,188400,25,False,0.638,0.303,2,-10.829,0,0.0308,0.42,0.0196,0.0872,0.261,113.256,4
Morning AfterBumpin Uglies,Bumpin Uglies,Morning After,"['east coast reggae', 'reggae rock']",0S3QfVME0CKWuXCYIG76qm,https://p.scdn.co/mp3-preview/a758864bd1ab8d8928673b4f4063bfcf6dd67c15?cid=b8d3901151d34489a160e3cf0ab1fa94,197534,44,False,0.652,0.369,8,-7.299,1,0.0861,0.571,0,0.249,0.77,160.477,4
M'Lady - Live at The Woodstock Music & Art Fair August 17 1969Sly & The Family Stone,Sly & The Family Stone,M'Lady - Live at The Woodstock Music & Art Fair August 17 1969,"['electropop', 'indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock']",5rQdbYkRpxpxa06BPqbrE9,https://p.scdn.co/mp3-preview/26efb1274887a76a0c68da9c69888bd988a39042?cid=b8d3901151d34489a160e3cf0ab1fa94,466440,22,False,0.45,0.779,0,-11.823,1,0.134,0.0443,0.00636,0.906,0.358,131.046,4
Pedestrian at BestCourtney Barnett,Courtney Barnett,Pedestrian at Best,"['art pop', 'chamber pop', 'indie pop', 'indie rock', 'melbourne indie']",7gsn3NxWLA0s0g9TmQlMri,https://p.scdn.co/mp3-preview/8719374013b4aa648c2ccda015da7291cd1a8c45?cid=b8d3901151d34489a160e3cf0ab1fa94,230560,53,False,0.479,0.854,11,-6.101,1,0.0405,4.61e-06,5.72e-05,0.372,0.535,136.067,4
OpheliaThe Lumineers,The Lumineers,Ophelia,"['folk-pop', 'stomp and holler']",3d8y0t70g7hw2FOWl9Z4Fm,https://p.scdn.co/mp3-preview/d1204e9214afa804f2c74e5795441b75e7fc9e11?cid=b8d3901151d34489a160e3cf0ab1fa94,160097,76,False,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
While My Guitar Gently WeepsTom Petty,Tom Petty,While My Guitar Gently Weeps,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",7DzktdAh3zTT5Li8vam9tt,https://p.scdn.co/mp3-preview/ff72b5e066f40adf096ec376721b0f57bb001539?cid=b8d3901151d34489a160e3cf0ab1fa94,380586,43,False,0.21,0.85,7,-3.694,1,0.0587,0.287,0.00607,0.912,0.382,121.383,4
Slim Pickings - Instrumental EditSummers Sons,Summers Sons,Slim Pickings - Instrumental Edit,['uk alternative hip hop'],7sdryGtonMbLcJbk0ZXFUI,https://p.scdn.co/mp3-preview/1f97ae1b556d64a02a0aca38ab3828d02dba9066?cid=b8d3901151d34489a160e3cf0ab1fa94,88946,23,False,0.774,0.214,8,-9.39,0,0.248,0.639,0.484,0.133,0.502,171.311,4
RedboneChildish Gambino,Childish Gambino,Redbone,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",0wXuerDYiBnERgIpbb3JBR,https://p.scdn.co/mp3-preview/0167089f98ed9b52156232cc17294c7676a88dd4?cid=b8d3901151d34489a160e3cf0ab1fa94,326933,82,True,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,4
