UKPRN,Provider name,Country of provider,Domicile,Level of qualification obtained,Mode of former study,Interim study,Age group,Activity,Academic year,Number
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,5
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,10
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,35
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,1215
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,45
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,210
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,205
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,70
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,50
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,275
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,5
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,5
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,5
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,5
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,5
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time employment,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Part-time further study,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,10
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,45
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,1345
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,50
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,245
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,240
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,75
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,70
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,355
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total,2021/22,10
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,10
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,130
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,5
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,40
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,35
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,10
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,20
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,80
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Total with known outcomes,2021/22,5
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,10
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,5
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,5
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,5
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,5
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unemployed,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of employment,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Unknown pattern of further study,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Voluntary or unpaid work,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,5
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,5
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,5
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Employment and further study,2021/22,0
10000571,Bath Spa University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,5
10000712,University College Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,15
10006840,The University of Birmingham,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,100
10006841,The University of Bolton,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,25
10007140,Birmingham City University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,65
10007152,University of Bedfordshire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,95
10007759,Aston University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,20
10007760,Birkbeck College,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,25
10007811,Bishop Grosseteste University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,0
10007850,The University of Bath,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,95
10037544,BIMM University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,25-29 years,Full-time employment,2021/22,0
10001143,Canterbury Christ Church University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10001478,"City, University of London",England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10001726,Coventry University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,5
10001883,De Montfort University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,5
10006427,University for the Creative Arts,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007137,The University of Chichester,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007141,The University of Central Lancashire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007761,Courtauld Institute of Art,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007822,Cranfield University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,5
10007842,University of Cumbria,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007848,University of Chester,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10007851,University of Derby,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,5
10024024,Central Film School London,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Employment and further study,2021/22,0
10001143,Canterbury Christ Church University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,5
10001478,"City, University of London",England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,65
10001726,Coventry University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,100
10001883,De Montfort University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,20
10006427,University for the Creative Arts,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,10
10007137,The University of Chichester,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,0
10007141,The University of Central Lancashire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,15
10007761,Courtauld Institute of Art,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,15
10007822,Cranfield University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,100
10007842,University of Cumbria,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,5
10007848,University of Chester,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,10
10007851,University of Derby,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,5
10024024,Central Film School London,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time employment,2021/22,0
10001143,Canterbury Christ Church University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10001478,"City, University of London",England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10001726,Coventry University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10001883,De Montfort University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10006427,University for the Creative Arts,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007137,The University of Chichester,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007141,The University of Central Lancashire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007761,Courtauld Institute of Art,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007822,Cranfield University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,5
10007842,University of Cumbria,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007848,University of Chester,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10007851,University of Derby,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10024024,Central Film School London,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Full-time further study,2021/22,0
10001143,Canterbury Christ Church University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,5
10001478,"City, University of London",England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,305
10001726,Coventry University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,510
10001883,De Montfort University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,140
10006427,University for the Creative Arts,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,140
10007137,The University of Chichester,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,10
10007141,The University of Central Lancashire,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,150
10007761,Courtauld Institute of Art,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,50
10007822,Cranfield University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,325
10007842,University of Cumbria,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,5
10007848,University of Chester,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,100
10007851,University of Derby,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,35
10024024,Central Film School London,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,Non-respondents,2021/22,0
10001143,Canterbury Christ Church University,England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
10001478,"City, University of London",England,Non-UK,Postgraduate,Full-time,Exclude significant interim study,21-24 years,"Other including travel, caring for someone or retired",2021/22,0
