InstagramHandle,Date,Posts,EngagementRate,Engagements
@TuneTwisters,2023-04,8,2.08,5579452
@TuneTwisters,2023-05,16,3.49,6347761
@TuneTwisters,2023-06,20,4.41,7331519
@TuneTwisters,2023-07,11,2.73,5002685
@TuneTwisters,2023-08,14,3.54,6708691
@TuneTwisters,2023-09,10,3,7121196
@TuneTwisters,2023-10,13,3.56,7391562
@TuneTwisters,2023-11,15,5.38,5031809
@TuneTwisters,2023-12,19,4.5,7273717
@BassBrothers,2022-01,17,5.35,7888335
@BassBrothers,2022-02,10,4.52,5084226
@BassBrothers,2022-03,14,5.17,7137838
@BassBrothers,2022-04,19,2.13,6023234
@BassBrothers,2022-05,10,2.31,7333421
@BassBrothers,2022-06,5,5.7,6753273
@BassBrothers,2022-07,6,4.07,7072440
@BassBrothers,2022-08,19,5.27,6330510
@BassBrothers,2022-09,16,3.86,6307326
@BassBrothers,2022-10,19,5.75,6424093
@BassBrothers,2022-11,17,5.66,5136249
@BassBrothers,2022-12,5,4.8,7714391
@BassBrothers,2023-01,12,5.34,6950821
@BassBrothers,2023-02,17,5.66,5194667
@BassBrothers,2023-03,9,3.25,6643415
@BassBrothers,2023-04,7,5.62,7485756
@BassBrothers,2023-05,14,5.95,6029218
@BassBrothers,2023-06,18,4.73,6258515
@BassBrothers,2023-07,16,5.56,5657615
@BassBrothers,2023-08,19,4.6,6892844
@BassBrothers,2023-09,12,4.98,5100556
@BassBrothers,2023-10,20,3.55,5513083
@BassBrothers,2023-11,11,4.29,7647545
@BassBrothers,2023-12,16,4.58,6180019
@ChordChasers,2022-01,15,4.88,6714663
@ChordChasers,2022-02,8,2.78,7343837
@ChordChasers,2022-03,18,2.55,5045808
@ChordChasers,2022-04,17,2.03,7880388
@ChordChasers,2022-05,9,2.3,5381113
@ChordChasers,2022-06,14,4.3,5434408
@ChordChasers,2022-07,8,4.01,7990522
@ChordChasers,2022-08,10,2.06,7623182
@ChordChasers,2022-09,11,5.01,5226727
@ChordChasers,2022-10,8,2.26,5584627
@ChordChasers,2022-11,9,5.5,7369861
@ChordChasers,2022-12,18,5.04,6763319
@ChordChasers,2023-01,7,4.88,5967212
@ChordChasers,2023-02,15,4.85,6971857
@ChordChasers,2023-03,16,4.91,6803284
@ChordChasers,2023-04,17,5.28,7415683
@ChordChasers,2023-05,19,5.66,7381426
@ChordChasers,2023-06,18,5.73,6874296
@ChordChasers,2023-07,9,4.73,6353726
@ChordChasers,2023-08,12,5.48,6799960
@ChordChasers,2023-09,10,5.83,7309959
@ChordChasers,2023-10,11,5.59,7012836
@ChordChasers,2023-11,18,4.58,7507571
@ChordChasers,2023-12,7,2.08,6928814
@SyncSingers,2022-01,17,2.47,5593736
@SyncSingers,2022-02,10,3.59,7193934
@SyncSingers,2022-03,19,4.13,7371190
@SyncSingers,2022-04,14,5.03,7928125
@SyncSingers,2022-05,13,5.72,7994956
@SyncSingers,2022-06,6,4.19,6630197
@SyncSingers,2022-07,5,5.51,6144274
@SyncSingers,2022-08,7,2.61,5922029
@SyncSingers,2022-09,17,3.29,6487460
@SyncSingers,2022-10,6,5.74,5240686
@SyncSingers,2022-11,18,3.36,5243333
@SyncSingers,2022-12,14,2.51,6503985
@SyncSingers,2023-01,20,5.27,5217318
@SyncSingers,2023-02,18,3.1,7663040
@SyncSingers,2023-03,17,5.75,5656939
@SyncSingers,2023-04,6,4.52,7435717
@SyncSingers,2023-05,17,3.96,6754302
@SyncSingers,2023-06,15,4.79,7035141
@SyncSingers,2023-07,10,5.83,7113809
@SyncSingers,2023-08,6,4.21,5341627
@SyncSingers,2023-09,9,5.16,7028251
@SyncSingers,2023-10,18,2.57,6285080
@SyncSingers,2023-11,16,3.15,7594767
@SyncSingers,2023-12,5,5.06,5006363
@BeatBuddies,2022-01,5,5.94,6149915
@BeatBuddies,2022-02,14,4.39,6198518
@BeatBuddies,2022-03,19,3.87,6913950
@BeatBuddies,2022-04,20,2.18,7392451
@BeatBuddies,2022-05,12,2.81,6771254
@BeatBuddies,2022-06,17,4.35,6464422
@BeatBuddies,2022-07,9,4.97,6369525
@BeatBuddies,2022-08,19,5.27,6543468
@BeatBuddies,2022-09,5,4.78,6739695
@BeatBuddies,2022-10,19,3.15,5997894
@BeatBuddies,2022-11,16,5.27,5877812
@BeatBuddies,2022-12,5,4.33,7838365
@BeatBuddies,2023-01,18,3.85,5144246
@BeatBuddies,2023-02,17,4.58,7850282
@BeatBuddies,2023-03,12,2.44,6243065
@BeatBuddies,2023-04,20,4.76,5089355
@BeatBuddies,2023-05,9,5.54,5283881
@BeatBuddies,2023-06,16,3.2,7268089
@BeatBuddies,2023-07,9,6,7387492
@BeatBuddies,2023-08,14,3.25,7846318
@BeatBuddies,2023-09,17,4.04,6317509
@BeatBuddies,2023-10,5,4.94,6334218
@BeatBuddies,2023-11,16,4.96,5602656
@BeatBuddies,2023-12,9,5.85,6044336
@VibeVoyagers,2022-01,18,5.08,7860459
@VibeVoyagers,2022-02,6,2.98,6663385
@VibeVoyagers,2022-03,7,5.86,6656803
@VibeVoyagers,2022-04,17,3.31,6030523
@VibeVoyagers,2022-05,15,3.18,7967537
@VibeVoyagers,2022-06,9,3.53,6789614
@VibeVoyagers,2022-07,7,4.17,5656221
@VibeVoyagers,2022-08,16,3.39,6258098
@VibeVoyagers,2022-09,16,2.65,6684150
@VibeVoyagers,2022-10,8,4.39,6682889
@VibeVoyagers,2022-11,14,4.67,5808204
@VibeVoyagers,2022-12,13,5.46,7964333
@VibeVoyagers,2023-01,20,2.55,7290049
@VibeVoyagers,2023-02,13,5.09,7657418
@VibeVoyagers,2023-03,14,5.15,5530319
@VibeVoyagers,2023-04,9,5.56,7033602
@VibeVoyagers,2023-05,7,3.93,5670129
@VibeVoyagers,2023-06,11,2.53,7434395
@VibeVoyagers,2023-07,17,4.09,7050107
@VibeVoyagers,2023-08,6,2.01,6256241
@VibeVoyagers,2023-09,11,2.85,7797871
@VibeVoyagers,2023-10,13,3.83,6938050
@VibeVoyagers,2023-11,10,4.03,6783226
@VibeVoyagers,2023-12,7,3.28,6797503
@HarmonyHunks,2022-01,15,2.48,5565697
@HarmonyHunks,2022-02,18,2.37,7528398
@HarmonyHunks,2022-03,18,2.9,7394870
@HarmonyHunks,2022-04,16,4.2,7391040
@HarmonyHunks,2022-05,14,3.22,6743101
@HarmonyHunks,2022-06,18,5.42,7967274
@HarmonyHunks,2022-07,15,3.44,7340463
@HarmonyHunks,2022-08,12,3.72,5256218
@HarmonyHunks,2022-09,20,4.02,5891453
@HarmonyHunks,2022-10,10,3.22,6706133
@HarmonyHunks,2022-11,16,2.27,7293196
@HarmonyHunks,2022-12,9,2.48,5580043
@HarmonyHunks,2023-01,18,5.22,6776526
@HarmonyHunks,2023-02,9,3.15,7661707
@HarmonyHunks,2023-03,20,4.03,7481543
@HarmonyHunks,2023-04,8,4.09,5310488
@HarmonyHunks,2023-05,18,2.27,5453749
@HarmonyHunks,2023-06,11,4.03,7203233
@HarmonyHunks,2023-07,10,2.94,5540988
@HarmonyHunks,2023-08,19,4.69,5973974
@HarmonyHunks,2023-09,17,2.47,5903671
@HarmonyHunks,2023-10,14,5.87,7578310
@HarmonyHunks,2023-11,10,4.03,6300191
@HarmonyHunks,2023-12,17,2.04,7757307
@LyricLions,2022-01,16,2.47,6258886
@LyricLions,2022-02,10,3.28,5348172
@LyricLions,2022-03,13,4.02,5723885
@LyricLions,2022-04,5,3.34,7422279
@LyricLions,2022-05,8,5.63,7679916
@LyricLions,2022-06,10,3.54,7956025
@LyricLions,2022-07,9,2.18,5451021
@LyricLions,2022-08,13,3.84,5198885
@LyricLions,2022-09,9,4.24,6151163
@LyricLions,2022-10,17,2.86,5521403
@LyricLions,2022-11,19,3.96,6430510
@LyricLions,2022-12,5,3.16,6726265
@LyricLions,2023-01,5,5.08,5162902
@LyricLions,2023-02,14,3.98,7524859
@LyricLions,2023-03,14,4.48,5796327
@LyricLions,2023-04,13,4.77,5521916
@LyricLions,2023-05,18,3.8,7104480
@LyricLions,2023-06,12,4.8,5808515
@LyricLions,2023-07,15,3.94,6271689
@LyricLions,2023-08,7,5.25,5952289
@LyricLions,2023-09,17,5.29,7600397
@LyricLions,2023-10,7,3.56,5140317
@LyricLions,2023-11,18,3.72,7826726
@LyricLions,2023-12,17,4.63,5558844
@PitchPals,2022-01,18,5.29,7031075
@PitchPals,2022-02,12,3.55,7395926
@PitchPals,2022-03,18,3.89,5456143
@PitchPals,2022-04,15,3.53,7786601
@PitchPals,2022-05,8,4.44,6178709
@PitchPals,2022-06,19,5.19,7403883
@PitchPals,2022-07,18,5.89,6049993
@PitchPals,2022-08,16,2.8,7946076
@PitchPals,2022-09,7,4.98,6677345
@PitchPals,2022-10,10,2.83,7377197
@PitchPals,2022-11,6,4.25,7979174
@PitchPals,2022-12,10,2.52,5614440
@PitchPals,2023-01,9,4.07,7034758
@PitchPals,2023-02,9,3.13,5852201
@PitchPals,2023-03,15,4.85,5068989
@PitchPals,2023-04,5,5.97,5394307
@PitchPals,2023-05,19,5.45,5313489
@PitchPals,2023-06,17,3.81,6026818
@PitchPals,2023-07,10,5.56,6323282
@PitchPals,2023-08,11,2.06,7971832
@PitchPals,2023-09,5,2.85,5894210
@PitchPals,2023-10,7,5.78,7815140
@PitchPals,2023-11,14,3.35,6957640
@PitchPals,2023-12,7,3.45,7630587
@SonicSquad,2022-01,11,3.82,7488347
@SonicSquad,2022-02,19,4.16,6159669
@SonicSquad,2022-03,5,3.67,6973716
@SonicSquad,2022-04,8,2.36,6957706
@SonicSquad,2022-05,14,5.57,6705655
@SonicSquad,2022-06,13,4.27,7242035
@SonicSquad,2022-07,14,5.81,7210047
@SonicSquad,2022-08,11,4.39,5019450
@SonicSquad,2022-09,10,4.16,6818362
@SonicSquad,2022-10,19,4.06,7332981
@SonicSquad,2022-11,11,2.86,7428082
@SonicSquad,2022-12,18,2.36,6633926
@SonicSquad,2023-01,15,4.94,7715620
@SonicSquad,2023-02,13,4.94,6139287
@SonicSquad,2023-03,7,2.24,7060985
@SonicSquad,2023-04,17,5.21,6505442
@SonicSquad,2023-05,19,2.04,7718657
@SonicSquad,2023-06,17,4.17,7174086
@SonicSquad,2023-07,6,2.42,6533673
@SonicSquad,2023-08,6,4.22,7149885
@SonicSquad,2023-09,11,3.33,7367344
@SonicSquad,2023-10,17,3.24,7294844
@SonicSquad,2023-11,11,5.03,7348533
@SonicSquad,2023-12,19,4.74,7031246
@RiffRascals,2022-01,18,5.56,6745587
@RiffRascals,2022-02,16,2.48,6898746
@RiffRascals,2022-03,16,5.8,5406351
@RiffRascals,2022-04,9,5.13,6480748
@RiffRascals,2022-05,13,4.5,7485732
@RiffRascals,2022-06,6,3.44,6405658
@RiffRascals,2022-07,5,2.39,5768854
@RiffRascals,2022-08,9,5.4,6432624
@RiffRascals,2022-09,18,5.93,7871357
@RiffRascals,2022-10,13,5.05,5630627
@RiffRascals,2022-11,15,4.68,7172489
@RiffRascals,2022-12,20,3.45,5601275
@RiffRascals,2023-01,13,5.65,6229916
@RiffRascals,2023-02,9,2.94,5122915
@RiffRascals,2023-03,5,3.44,5853065
@RiffRascals,2023-04,16,4.73,7561123
@RiffRascals,2023-05,20,5.13,7656466
@RiffRascals,2023-06,13,3.85,6219190
@RiffRascals,2023-07,19,2.08,6691494
@RiffRascals,2023-08,13,3.35,7163725
@RiffRascals,2023-09,16,4.55,6121876
@RiffRascals,2023-10,5,5.49,6196742
@RiffRascals,2023-11,19,2.88,6987530
@RiffRascals,2023-12,9,3.85,6447585
