Opportunity Name,Amount,Stage,Account Name,Closed
Opportunity 438,"$112,606",Closed Won,"United Oil & Gas, UK",true
Opportunity 383,"$112,535",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 531,"$112,418",Closed Won,Burlington Textiles Corp of America,true
Opportunity 346,"$112,013",Proposal/Price Quote,GenePoint,false
Opportunity 616,"$111,917",Negotiation/Review,"United Oil & Gas, UK",false
Opportunity 571,"$111,705",Closed Won,Dickenson plc,true
Opportunity 661,"$111,701",Needs Analysis,Burlington Textiles Corp of America,false
Opportunity 151,"$111,693",Closed Won,Express Logistics and Transport,true
Opportunity 654,"$111,138",Negotiation/Review,University of Arizona,false
Opportunity 643,"$110,756",Closed Lost,"United Oil & Gas, Singapore",true
Opportunity 55,"$110,667",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 523,"$110,436",Closed Won,"United Oil & Gas, UK",true
Opportunity 388,"$110,373",Proposal/Price Quote,University of Arizona,false
Opportunity 278,"$110,368",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 639,"$110,013",Closed Won,United Oil & Gas Corp.,true
Opportunity 154,"$110,004",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 446,"$109,994",Prospecting,University of Arizona,false
Opportunity 240,"$109,688",Value Proposition,"United Oil & Gas, UK",false
Opportunity 148,"$109,551",Closed Won,Pyramid Construction Inc.,true
Opportunity 263,"$109,528",Value Proposition,University of Arizona,false
Opportunity 16,"$109,148",Closed Won,Dickenson plc,true
Opportunity 482,"$109,108",Id. Decision Makers,United Oil & Gas Corp.,false
Opportunity 125,"$109,005",Closed Won,Pyramid Construction Inc.,true
Opportunity 313,"$108,799",Closed Won,Pyramid Construction Inc.,true
Opportunity 535,"$108,638",Id. Decision Makers,Express Logistics and Transport,false
Opportunity 412,"$108,622",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 700,"$108,554",Needs Analysis,Burlington Textiles Corp of America,false
Opportunity 426,"$108,550",Prospecting,Dickenson plc,false
Opportunity 89,"$108,525",Closed Won,"United Oil & Gas, UK",true
Opportunity 28,"$108,131",Closed Won,sForce,true
Opportunity 280,"$108,057",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 35,"$107,834",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 205,"$107,628",Value Proposition,Pyramid Construction Inc.,false
Opportunity 193,"$107,469",Value Proposition,"United Oil & Gas, UK",false
Opportunity 445,"$107,463",Prospecting,Express Logistics and Transport,false
Opportunity 458,"$107,310",Prospecting,sForce,false
Opportunity 235,"$107,161",Value Proposition,Express Logistics and Transport,false
Opportunity 462,"$106,999",Prospecting,Edge Communications,false
Opportunity 473,"$106,762",Prospecting,"United Oil & Gas, UK",false
Opportunity 448,"$106,554",Prospecting,sForce,false
Opportunity 596,"$106,391",Closed Lost,Burlington Textiles Corp of America,true
Opportunity 352,"$106,300",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 7,"$106,256",Closed Won,University of Arizona,true
Opportunity 303,"$105,210",Proposal/Price Quote,GenePoint,false
Opportunity 505,"$104,832",Id. Decision Makers,Pyramid Construction Inc.,false
Opportunity 162,"$104,716",Closed Won,Dickenson plc,true
Opportunity 143,"$104,576",Closed Won,GenePoint,true
Opportunity 150,"$104,546",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 395,"$104,325",Prospecting,"United Oil & Gas, Singapore",false
Opportunity 422,"$103,560",Prospecting,GenePoint,false
Opportunity 196,"$103,538",Value Proposition,"United Oil & Gas, UK",false
Opportunity 130,"$103,394",Closed Won,United Oil & Gas Corp.,true
Opportunity 573,"$103,314",Negotiation/Review,Express Logistics and Transport,false
Opportunity 116,"$103,222",Closed Won,"United Oil & Gas, UK",true
Opportunity 595,"$103,164",Closed Lost,Edge Communications,true
Opportunity 644,"$103,044",Closed Lost,Burlington Textiles Corp of America,true
Opportunity 242,"$102,505",Value Proposition,Edge Communications,false
Opportunity 415,"$101,704",Prospecting,Pyramid Construction Inc.,false
Opportunity 538,"$101,591",Id. Decision Makers,"United Oil & Gas, Singapore",false
Opportunity 414,"$101,549",Prospecting,Burlington Textiles Corp of America,false
Opportunity 19,"$101,365",Closed Won,GenePoint,true
Opportunity 75,"$101,205",Closed Won,Edge Communications,true
Opportunity 667,"$101,067",Needs Analysis,Pyramid Construction Inc.,false
Opportunity 259,"$100,922",Value Proposition,Pyramid Construction Inc.,false
Opportunity 188,"$100,885",Value Proposition,Edge Communications,false
Opportunity 401,"$100,660",Prospecting,Express Logistics and Transport,false
Opportunity 568,"$100,584",Negotiation/Review,Edge Communications,false
Opportunity 336,"$100,407",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 239,"$100,311",Value Proposition,GenePoint,false
Opportunity 131,"$100,142",Closed Won,sForce,true
Opportunity 359,"$100,069",Proposal/Price Quote,Express Logistics and Transport,false
Opportunity 82,"$100,053",Closed Won,Pyramid Construction Inc.,true
University of AZ Installations,"$100,000",Proposal/Price Quote,University of Arizona,false
Pyramid Emergency Generators,"$100,000",Prospecting,Pyramid Construction Inc.,false
Opportunity 677,"$99,812",Closed Won,Edge Communications,true
Opportunity 47,"$99,652",Closed Won,Burlington Textiles Corp of America,true
Opportunity 589,"$99,477",Needs Analysis,"United Oil & Gas, Singapore",false
Opportunity 549,"$99,319",Id. Decision Makers,"United Oil & Gas, UK",false
Opportunity 501,"$99,138",Id. Decision Makers,"United Oil & Gas, UK",false
Opportunity 315,"$99,062",Proposal/Price Quote,Grand Hotels & Resorts Ltd,false
Opportunity 520,"$98,109",Closed Won,United Oil & Gas Corp.,true
Opportunity 615,"$98,061",Negotiation/Review,GenePoint,false
Opportunity 353,"$97,843",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 701,"$97,692",Needs Analysis,Pyramid Construction Inc.,false
Opportunity 532,"$97,622",Closed Won,Pyramid Construction Inc.,true
Opportunity 594,"$97,440",Closed Lost,"United Oil & Gas, Singapore",true
Opportunity 275,"$97,346",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 256,"$97,317",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 268,"$97,020",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 169,"$96,962",Closed Won,"United Oil & Gas, UK",true
Opportunity 702,"$96,807",Needs Analysis,Dickenson plc,false
Opportunity 81,"$96,766",Closed Won,Burlington Textiles Corp of America,true
Opportunity 447,"$96,697",Prospecting,United Oil & Gas Corp.,false
Opportunity 592,"$96,491",Closed Won,GenePoint,true
Opportunity 306,"$96,142",Proposal/Price Quote,Edge Communications,false
Opportunity 254,"$95,928",Value Proposition,GenePoint,false
Opportunity 493,"$95,754",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 427,"$95,396",Prospecting,Grand Hotels & Resorts Ltd,false
Opportunity 115,"$95,373",Closed Won,GenePoint,true
Opportunity 266,"$95,241",Value Proposition,GenePoint,false
Opportunity 389,"$94,591",Proposal/Price Quote,United Oil & Gas Corp.,false
Opportunity 562,"$94,331",Id. Decision Makers,"United Oil & Gas, Singapore",false
Opportunity 179,"$94,325",Value Proposition,United Oil & Gas Corp.,false
Opportunity 513,"$94,240",Closed Won,"United Oil & Gas, UK",true
Opportunity 211,"$94,146",Value Proposition,sForce,false
Opportunity 241,"$94,024",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 450,"$93,857",Prospecting,Edge Communications,false
Opportunity 510,"$93,579",Closed Won,United Oil & Gas Corp.,true
Opportunity 276,"$93,470",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 629,"$92,807",Negotiation/Review,GenePoint,false
Opportunity 197,"$92,705",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 322,"$92,539",Proposal/Price Quote,GenePoint,false
Opportunity 504,"$92,064",Id. Decision Makers,Burlington Textiles Corp of America,false
Opportunity 625,"$92,003",Closed Won,"United Oil & Gas, UK",true
Opportunity 110,"$91,708",Closed Won,Grand Hotels & Resorts Ltd,true
Opportunity 419,"$90,784",Prospecting,University of Arizona,false
Opportunity 379,"$90,688",Proposal/Price Quote,GenePoint,false
Opportunity 397,"$90,547",Prospecting,Burlington Textiles Corp of America,false
Opportunity 378,"$90,438",Proposal/Price Quote,Burlington Textiles Corp of America,false
Opportunity 578,"$90,383",Negotiation/Review,"United Oil & Gas, UK",false
Opportunity 416,"$90,047",Prospecting,Dickenson plc,false
Grand Hotels SLA,"$90,000",Closed Won,Grand Hotels & Resorts Ltd,true
University of AZ SLA,"$90,000",Closed Won,University of Arizona,true
Opportunity 210,"$89,707",Value Proposition,United Oil & Gas Corp.,false
Opportunity 471,"$89,286",Prospecting,Grand Hotels & Resorts Ltd,false
Opportunity 376,"$89,232",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 234,"$88,117",Value Proposition,Grand Hotels & Resorts Ltd,false
Opportunity 632,"$88,067",Negotiation/Review,Edge Communications,false
Opportunity 94,"$87,790",Closed Won,Edge Communications,true
Opportunity 310,"$87,782",Proposal/Price Quote,"United Oil & Gas, Singapore",false
Opportunity 354,"$87,606",Proposal/Price Quote,Edge Communications,false
Opportunity 441,"$87,505",Prospecting,Burlington Textiles Corp of America,false
Opportunity 610,"$87,148",Negotiation/Review,GenePoint,false
Opportunity 187,"$86,851",Value Proposition,"United Oil & Gas, Singapore",false
Opportunity 163,"$86,761",Closed Won,sForce,true
Opportunity 403,"$86,725",Prospecting,United Oil & Gas Corp.,false
Opportunity 656,"$86,534",Negotiation/Review,sForce,false
Opportunity 433,"$86,334",Prospecting,"United Oil & Gas, UK",false
Opportunity 17,"$86,143",Closed Won,United Oil & Gas Corp.,true
Opportunity 287,"$85,965",Closed Won,Express Logistics and Transport,true
Opportunity 408,"$85,909",Prospecting,Edge Communications,false
Opportunity 93,"$85,709",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 109,"$85,478",Closed Won,Dickenson plc,true
Opportunity 586,"$85,440",Closed Won,sForce,true
GenePoint Standby Generator,"$85,000",Closed Won,GenePoint,true
Opportunity 678,"$84,905",Closed Won,Burlington Textiles Corp of America,true
Opportunity 298,"$84,637",Proposal/Price Quote,Grand Hotels & Resorts Ltd,false
Opportunity 247,"$84,516",Value Proposition,Edge Communications,false
Opportunity 3,"$83,994",Closed Won,Burlington Textiles Corp of America,true
Opportunity 611,"$83,853",Negotiation/Review,"United Oil & Gas, UK",false
Opportunity 284,"$83,433",Proposal/Price Quote,Pyramid Construction Inc.,false
Opportunity 621,"$83,143",Negotiation/Review,University of Arizona,false
Opportunity 292,"$82,923",Proposal/Price Quote,"United Oil & Gas, UK",false
Opportunity 23,"$82,713",Closed Won,"United Oil & Gas, Singapore",true
Opportunity 478,"$82,486",Id. Decision Makers,Dickenson plc,false
Opportunity 176,"$82,222",Value Proposition,Edge Communications,false
Opportunity 546,"$82,060",Id. Decision Makers,United Oil & Gas Corp.,false
Opportunity 400,"$81,939",Prospecting,Grand Hotels & Resorts Ltd,false
Opportunity 100,"$81,332",Closed Won,GenePoint,true
Opportunity 694,"$81,218",Needs Analysis,Edge Communications,false
Opportunity 274,"$81,170",Proposal/Price Quote,GenePoint,false
Opportunity 601,"$80,639",Negotiation/Review,"United Oil & Gas, Singapore",false
Opportunity 483,"$80,264",Id. Decision Makers,sForce,false
Opportunity 260,"$80,126",Value Proposition,Dickenson plc,false
Opportunity 24,"$80,057",Closed Won,Dickenson plc,true
